abu,abu,aon,,,,,,,,
adopsi,adopsi,,,,,,,,,
aduh,aduh,adah,,,,,,,,
aktif,aktip,bincuh,,,,,,,,
aku,tiyang,cang,awake,rage,titiang,,,,,
alam,jagat,gumi,,,,,,,,
alasan,alesan,,,,,,,,,
aman,aman,,,,,,,,,
amat,gati,sajaan,pesan,,,,,,,
ambil,jemak,,,,,,,,,
ancam,ancem,,,,,,,,,
ancaman,anceman,,,,,,,,,
aneh,soleh,sanglir,,,,,,,,
anehnya,solehne,,,,,,,,,
anggun,abra,,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,antisipasi,,,,,,,,,
api,teja,api,geni,,,,,,,
apresiasi,apresiasi,,,,,,,,,
asing,tawah,soleh,,,,,,,,
asyik,geleng,iteh,,,,,,,,
badass,nakal,kual,,,,,,,,
bagi,dum,,,,,,,,,
bagus,luung,melah,becik,,,,,,,
bahagia,bagia,,,,,,,,,
bahaya,baya,,,,,,,,,
baik,becik,,,,,,,,,
ban,ban,,,,,,,,,
bangga,bonggan,,,,,,,,,
bantu,tulung,olas,,,,,,,,
batal,buung,,,,,,,,,
batas,wates,,,,,,,,,
bebas,bebas,,,,,,,,,
beberapa,makudang-kudang,,,,,,,,,
bela,mela,,,,,,,,,
belakang,duri,,,,,,,,,
benar,beneh,,,,,,,,,
bencana,bencana,,,,,,,,,
benci,sengit,,,,,,,,,
berani,bani,,,,,,,,,
berarti,artine,,,,,,,,,
berat,baat,,,,,,,,,
berbahaya,baya,,,,,,,,,
berdarah,megetih,,,,,,,,,
berdoa,mebakti,,,,,,,,,
berduka,sungsut,,,,,,,,,
berguna,maguna,,,,,,,,,
berhak,kuasa,,,,,,,,,
berharap,ngarep,,,,,,,,,
beri,maang,,,,,,,,,
berkomitmen,makomitmen,,,,,,,,,
berlebihan,lebihan,,,,,,,,,
bermanfaat,maguna,,,,,,,,,
bersaing,mesaing,mepadu,,,,,,,,
bersama,sareng,,,,,,,,,
bersedih,sedih,,,,,,,,,
bersembunyi,mengekeb,,,,,,,,,
bersorak,masuryak,,,,,,,,,
besar,gede,ageng,,,,,,,,
biadab,sahasa,gemes,,,,,,,,
biaya,bea,prabiya,,,,,,,,
bingung,bingung,,,,,,,,,
bodoh,lengeh,,,,,,,,,
bohong,bogbog,mogbog,,,,,,,,
bom,bom,,,,,,,,,
buka,gagah,bungkah,ampak,,,,,,,
bunga,sekar,,,,,,,,,
bungkam,bungkem,,,,,,,,,
bunuh,matiang,pademang,,,,,,,,
bunuh diri,ngematiang raga,,,,,,,,,
buruk,jele,bodo,,,,,,,,
buta,buta,,,,,,,,,
cantik,jegeg,,,,,,,,,
capai,kenyel,kenjel,,,,,,,,
cari,alih,rereh,,,,,,,,
cedera,cidera,,,,,,,,,
cegah,cegah,,,,,,,,,
cemas,sumangsaya,,,,,,,,,
cepat,enggal,gelis,,,,,,,,
cerdas,pradnya,wikan,,,,,,,,
cinta,tresna,,,,,,,,,
cium,mik,diman,,,,,,,,
cocok,adung,cocok,,,,,,,,
copet,maling,,,,,,,,,
damai,dame,santi,,,,,,,,
dapat,maan,,,,,,,,,
daya,daya,,,,,,,,,
diabaikan,tusing runguanga,sing runguanga,,,,,,,,
diam,siep,ngoyong,mendep,nongos,nengil,,,,,
diancam,ancema,,,,,,,,,
dibersihkan,kedasina,,,,,,,,,
dicuri,malinga,,,,,,,,,
dihukum,hukuma,,,,,,,,,
dikalahkan,kalahina,,,,,,,,,
dipercaya,gugua,percayina,,,,,,,,
dipermalukan,lekina,kemadina,,,,,,,,
dipertanyakan,takonina,,,,,,,,,
diprovokasi,provokasina,,,,,,,,,
disebut-sebut,oranga,,,,,,,,,
ditakuti,jejehina,takutina,,,,,,,,
ditangkap,tangkepa,ejuka,dakepa,,,,,,,
diteror,terora,,,,,,,,,
ditinggalkan,kalaina,,,,,,,,,
ditingkatkan,tingkatina,,,,,,,,,
dituduh,daliha,tuduha,,,,,,,,
ditunda,matunda,,,,,,,,,
doa,puja,,,,,,,,,
doktrin,doktrin,,,,,,,,,
duka,duka,,,,,,,,,
dukung,dukung,,,,,,,,,
dukungan,dukungan,,,,,,,,,
efektif,efektip,,,,,,,,,
eksklusif,ekslusip,,,,,,,,,
empati,empati,,,,,,,,,
fitnah,pisuna,,,,,,,,,
fokus,pokus,,,,,,,,,
gagah,kukuh,siteng,ganggas,,,,,,,
gagal,gagal,,,,,,,,,
gampang,aluh,,,,,,,,,
ganggu,uyak,,,,,,,,,
gaya,gaya,,,,,,,,,
gelap,peteng,,,,,,,,,
gentar,nyeh,jejeh,getap,,,,,,,
gertak,gertak,,,,,,,,,
gila,sedeng,buduh,,,,,,,,
guncang,guncang,,,,,,,,,
guncangan,guncangan,,,,,,,,,
ha,ha,,,,,,,,,
habis,telah,suud,pragat,,,,,,,
hal,unduk,indik,,,,,,,,
hancur,benyah,,,,,,,,,
hantu,memedi,,,,,,,,,
harapan,harapan,,,,,,,,,
harga,ajin,,,,,,,,,
