,indonesian,balinese
0,abu,abu
1,abu,aon
2,abu,aon 
3,abu,awu
4,adopsi,adopsi
5,aduh,adah
6,aduh,aduh
7,aduh,beh
8,aktif,aktip
9,aktif,bincuh
10,aktif,lincah 
11,aku,awake
12,aku,cang
13,aku,iraga
14,aku,rage
15,aku,tiang 
16,aku,titiang
17,aku,tiyang
18,aku,yang
19,alam,gumi
20,alam,jagat
21,alam,praja
22,alasan,alesan
23,alasan,dadalan
24,aman,aman
25,aman,rahayu
26,amat,bas
27,amat,gati
28,amat,pesan
29,amat,pisan 
30,amat,sajaan
31,ambil,ambil
32,ambil,jemak
33,ancam,ancem
34,ancaman,anceman
35,aneh,sanglir
36,aneh,soleh
37,aneh,soleh 
38,aneh,tawah
39,anehnya,soleh ne 
40,anehnya,solehne
41,anehnya,tawah ne 
42,anggun,abra
43,anti,anti
44,antisipasi,antisipasi
45,api,api
46,api,api 
47,api,apui
48,api,geni
49,api,teja
50,apresiasi,apresiasi
51,asing,soleh
52,asing,tawah
53,asyik,geleng
54,asyik,iteh
55,badass,kual
56,badass,nakal
57,bagi,cacarang
58,bagi,dum
59,bagus,becik
60,bagus,becik 
61,bagus,luung
62,bagus,luung 
63,bagus,melah
64,bahagia,bagia
65,bahagia,kendel
66,bahaya,baya
67,bahaya,durgama
68,bahaya,ila
69,baik,becik
70,baik,becik 
71,baik,luung 
72,ban,ban
73,bangga,ajumang 
74,bangga,bangga
75,bangga,banggaang 
76,bangga,bonggan
77,bantu,nguotin 
78,bantu,ngwantu
79,bantu,olas
80,bantu,tulung
81,batal,buung
82,batal,buungang 
83,batal,wangde 
84,batas,belat
85,batas,sengker 
86,batas,wates
87,batas,wates 
88,bebas,bebas
89,bebas,senggang 
90,beberapa,makudang-kudang
91,beberapa,makudang-kudang 
92,bela,mela
93,belakang,duri
94,belakang,duri 
95,belakang,kuri 
96,belakang,pungkur
97,benar,beneh
98,benar,patut 
99,bencana,bencana
100,bencana,biseka 
101,bencana,sangkala 
102,benci,duleg 
103,benci,pedih 
104,benci,sengit
105,berani,bani
106,berani,bani 
107,berani,purun 
108,berarti,artine
109,berarti,marti 
110,berat,abot 
111,berat,baat
112,berat,baat 
113,berbahaya,baya
114,berbahaya,mabaya 
115,berdarah,magetih 
116,berdarah,megetih
117,berdoa,mebakti
118,berdoa,ngacep 
119,berduka,kasungkawan 
120,berduka,sungsut
121,berguna,maguna
122,berguna,mapikenoh 
123,berhak,kuasa
124,berhak,wenang 
125,berharap,ngarep
126,berharap,ngarep 
127,beri,aturang 
128,beri,baang 
129,beri,maang
130,berkomitmen,makomitmen
131,berkomitmen,masemaya
132,berlebihan,lebihan
133,berlebihan,meliah 
134,bermanfaat,maguna
135,bermanfaat,mapiguna
136,bersaing,masaat-saatang 
137,bersaing,mepadu
138,bersaing,mesaing
139,bersama, bareng-bareng 
