,indonesian,banjarese
0,abu,habu
1,adopsi,angkat 
2,adopsi,gaduh
3,adopsi,haragu
4,aduh,aduh
5,aduh,akay
6,aktif,kada baranai
7,aku,aku
8,aku,aku 
9,aku,ulun
10,aku,ulun (saya)
11,aku,"unda (semacam ""gue"")"
12,alam,alam
13,alam,dunia
14,alasan,alasan
15,aman,aman
16,amat,banar
17,amat,liwar
18,ambil,ambil
19,ambil,bibit
20,ambil,jumput
21,ancam,ancam
22,ancaman,ancaman
23,ancaman,mambari takutan
24,aneh,aneh
25,aneh,anih
26,anehnya,anehnya
27,anehnya,anihnya
28,anggun,bungas
29,anggun,bungas ambak
30,anggun,langkar
31,anti,anti
32,anti,kada
33,antisipasi,bajaga kalu kalupina
34,antisipasi,bajaga-jaga
35,api,api
36,apresiasi,maharagai
37,apresiasi,pujian
38,asing,asing
39,asing,kada kenal
40,asyik,asik
41,asyik,rami
42,badass,"(jika badass yg bermakna bajingan maka dalam bahasa banjar bisa disebut ""tambuk"" )"
43,badass,hungang
44,badass,kada baik
45,bagi,bagi
46,bagi,gasan
47,bagi,"maaf saya beri keterangan disini : ""bagi"" dalam makna ""untuk"" maka terjemahannya adalah di kolom b dan c , sedangkan ""bagi"" dalam makna ""berbagi"" terjemahannya dalam kolom d, jika ""berbagi"" maka menjadi ""babagi"""
48,bagi,sagan
49,bagus,bagus
50,bagus,baik
51,bagus,bengkeng
52,bahagia,himung
53,bahagia,sanang
54,bahaya,babahaya
55,bahaya,bahaya
56,baik,bagus
57,baik,baik
58,ban,ban
59,bangga,bangga
60,bangga,salut
61,bantu,bantu
62,bantu,dangani
63,bantu,ganii
64,bantu,tulung
65,batal,batal
66,batal,kada jadi
67,batas,batas
68,batas,inggan
69,batas,tikas
70,bebas,bebas
71,bebas,bibas
72,beberapa,barapa
73,beberapa,sapalih
74,bela,bela
75,bela,lawanakan
76,belakang,balakang
77,benar,bujur
78,bencana,bala
79,bencana,bala 
80,benci,muar
81,berani,wani
82,berarti,baarti (bermakna)
83,berarti,baharaga
84,berarti,baharaga (berharga)
85,berat,barat
86,berbahaya,babahaya
87,berdarah,badarah
88,berdoa,badoa
89,berduka,marista
90,berduka,sadih
91,berguna,baguna
92,berguna,tapakai
93,berhak,berhak
94,berhak,bisi hak
95,berharap,baharap
96,beri,bari
97,berkomitmen,bajanji
98,berkomitmen,tanggungjawab
99,berlebihan,kalabihan
100,berlebihan,kalimpatan
101,berlebihan,kaliwaran
102,bermanfaat,bamanfaat
103,bermanfaat,tapakai
104,bersaing,baadu
105,bersaing,basaing
106,bersama,"badua (""dua siapa ikam tulak?"" = ""bersama siapa kamu pergi"")"
107,bersama,baimbai
108,bersama,"baimbai (""lakasi makan baimbai"" = ""cepetan makan bersama"""
109,bersedih,sadih
110,bersembunyi,basambunyi
111,bersembunyi,batabun
112,bersorak,barsurak
113,bersorak,basurak
114,besar,ganal
115,biadab,kurang ajar
116,biadab,liwar jahat
117,biaya,haraga
118,biaya,ungkus
119,bingung,bingung
120,bingung,nganga
121,bodoh,bungul
122,bohong,dusta
123,bom,bom
124,buka,buka
125,buka,ungkap (membuka tudung saji =maungkap tatudung)
126,buka,urak
127,bunga,kambang
128,bungkam,diam bakut
129,bungkam,hinip
130,bungkam,tutup
131,bunuh,bunuh
132,bunuh,matii
133,bunuh diri,bunuh diri
134,buruk,buruk
135,buta,picak
136,cantik,bungas
137,capai,gapai
138,capai,tatulus 
139,cari,cari
140,cedera,luka
141,cegah,tagur
142,cegah,tangati
143,cemas,baganangan
144,cemas,gair
145,cemas,hara
146,cemas,kutan
147,cepat,hancap
148,cepat,laju
149,cepat,lakas
150,cerdas,pintar
151,cinta,cinta
152,cinta,handak (aku cinta kamu = aku handak wan ikam)
153,cinta,sayang
154,cium,cium
155,cium,mangit
156,cocok,cucuk
157,cocok,pas
158,copet,copet
159,copet,cupit
160,copet,jambrit
161,damai,akur
162,damai,damai
163,dapat, 
164,dapat,dapat
165,daya,daya
166,daya,kawa 
167,daya,sanggup
168,daya,tanaga
169,diabaikan,diliatakan
170,diabaikan,kada diherani
171,diam,"bagana (semacam berdiam , misalkan berdiam diri di rumah = bagana di rumah)"
172,diam,diam
173,diam,hinip
174,diam,ranai
175,diancam,diancam
176,dibersihkan,dibarasihakan
177,dibersihkan,dibarasihiakan
178,dicuri,dicuntan
179,dihukum,dihukum
180,dikalahkan,dialahakan
181,dikalahkan,dikalahakan
182,dipercaya,diparcaya
183,dipermalukan,disupanakan
184,dipertanyakan,"(bisa juga orang banjar mengatakan dengan ""mbahhhh ayy iyaa gerang ?"")"
185,dipertanyakan,asa kada yakin
186,dipertanyakan,ditakuniakan
187,diprovokasi,dihabui
188,disebut-sebut,disambat-sambat
189,ditakuti,ditakutani
190,ditangkap,ditangkap
191,diteror,dicamuhi
192,diteror,ditakutani
193,ditinggalkan,ditinggalakan
194,ditingkatkan,ditambahi
195,ditingkatkan,ditambahiakan
196,dituduh,dituduh
197,ditunda,batunda
198,ditunda,diundur
199,ditunda,kaina
200,doa,doa
201,doktrin,dipangaruhi
202,duka,sadih
203,dukung,dukung
204,dukungan,dukungan
205,dukungan,mendukung
206,efektif,bamula
207,efektif,hanyar dimulai
208,efektif,pas
209,eksklusif,larang
210,eksklusif,tatunggal nitu ja
211,empati,maras
212,fitnah,fitnah
213,fokus,fokus
214,fokus,tatunggal nitu ja
215,gagah,gagah
216,gagal,gagal
217,gagal,kada jadi
218,gampang,"""nyaman juga berarti enak"""
219,gampang,nyaman
220,gampang,nyaman haja (gampang saja)
221,ganggu,ganggu
222,ganggu,haur
223,gaya,gaya
224,gaya,piragah
225,gelap,kadap
226,gentar,gair
227,gertak,garatak
228,gertak,gatap
229,gila,gila
230,gila,kurang sa ons
231,gila,mereng
232,gila,pagat lambaran
233,gila,tagantar
234,guncang,gantar
235,guncang,guncang
236,guncang,gunjah
237,guncangan,"bagantar (""goncangan gempa""= bagantar dapatnya gempa"")"
238,guncangan,guncangan
239,ha,ha
240,habis,habis
241,habis,lingis (untuk habis tak bersisa)
242,hal,hal
243,hal,sual
244,hancur,hancur
245,hantu,hantu
246,harapan,harapan
247,harapan,kahandak
248,harga,haraga
249,harta,harta
250,hasil,hasil
251,hasil,kulihan
252,hasil,pakoleh
253,hati,hati
254,hati-hati,hati-hati
255,hebat,"harat (""harat banar inya banyanyi""=""hebat benar dia bernyanyi"")"
256,hebat,"harat (""harat banar muha nyawa neh""= ""sok banget lo"")"
257,hebat,hibat
258,heboh,rami
259,heboh,tumbur
260,heroik,jagau
261,hidup,hidup
262,hilang,hilang
