abu,awu,,,
adopsi,mattarana,,,
aduh,awwe,,,
aktif,atti,tuo,,
aku,iyya',,,
alam,lino,,,
alasan,alasang,,,
aman,amang,,,
amat,maladde,,,
ambil,ala,,,
ancam,geretta',,,
ancaman,appabbittaureng,,,
aneh,makaleang laeng,,,
anehnya,makaleang laengna,,,
anggun,malebbi,,,
anti,mabacci,,,
antisipasi,jaga-jaga,,,
api,api,,,
apresiasi,appakarajang,,,
asing,laeng,,,
asyik,nyameng,,,
badass,jasipa',,,
bagi,bage,,,
bagus,kanja,kessing,bello,
bahagia,mario,,,
bahaya,perri',,,
baik,kanja,kessing,deceng,
ban,bang,,,
bangga,mario,,,
bantu,tulung,,,
batal,were,bali,,
batas,paggangka,cappa',,
bebas,leppe',,,
beberapa,siaga siaga,,,
bela,ewang,,,
belakang,monri,,,
benar,tongeng,coco',,
bencana,sussa,,,
benci,cecca,,,
berani,warani,segge',,
berarti,bettuang,,,
berat,tane',,,
berbahaya,abala,,,
berdarah,ma'dara,,,
berdoa,millau doang,,,
berduka,masara nyawa,,,
berguna,makkiguna,,,
berhak,mappunna,,,
berharap,mattajang,,,
beri,bere,,,
berkomitmen,ma'janci,,,
berlebihan,talliwe'-liwe',,,
bermanfaat,makkiguna,,,
bersaing,mallaga,,,
bersama,sibawa,,,
bersedih,masara,messing nyawa,,
bersembunyi,makkalicubbu,,,
bersorak,mario,gora,,
besar,maloppo,,,
biadab,meja ati,,,
biaya,pakkamaja,,,
bingung,benga,,,
bodoh,benggo,bebe',beleng,
bohong,belle,,,
bom,bong,,,
buka,bukka,timpa',,
bunga,unga,,,
bungkam,pepe,,,
bunuh,mappamate,wunu,,
bunuh diri,wunu ale,mappamate ale,,
buruk,meja',,,
buta,buta,,,
cantik,macanti',mabello,,
capai,runtu',,,
cari,sappa,,,
cedera,mapeddi,,,
cegah,massalai,,,
cemas,magulisa,,,
cepat,masija',,,
cerdas,macca,,,
cinta,cinta,,,
cium,bau,cippo',menning,
cocok,sicoco',,,
copet,panga,,,
damai,siame'-ame',,,
