,indonesian,buginese
0,abu,abu
1,abu,awu
2,adopsi,malana'
3,adopsi,mattarana
4,aduh,aduh
5,aduh,awwe
6,aktif,atti
7,aktif,atti'
8,aktif,tuo
9,aku,aleku
10,aku,iya'
11,aku,iyya'
12,aku,yaku
13,alam,alang
14,alam,lino
15,alasan,alasang
16,alasan,passaba'
17,aman,amang
18,amat,maladde
19,amat,maladde'
20,ambil,ala
21,ambil,mala
22,ambil,wata'
23,ancam,ancang
24,ancam,geretta'
25,ancaman,ancangeng
26,ancaman,appabbittaureng
27,aneh,makaleang laeng
28,aneh,makalelleang
29,anehnya,akkaleangeng
30,anehnya,makaleang laengna
31,anggun,mabello
32,anggun,macakka
33,anggun,malebbi
34,anti,de nacoco'
35,anti,de nasikenna
36,anti,mabacci
37,antisipasi,jaga-jaga
38,antisipasi,mappassadia
39,api,api
40,apresiasi,appakarajang
41,apresiasi,mappakaraja
42,asing,asing
43,asing,laeng
44,asyik,nyameng
45,badass,ja sipa'
46,badass,jamuta
47,badass,jasipa'
48,bagi,bage
49,bagus,bello
50,bagus,kanja
51,bagus,kessing
52,bagus,makanja'
53,bahagia,mario
54,bahagia,masennang
55,bahaya,bahaya
56,bahaya,perri'
57,baik,deceng
58,baik,kanja
59,baik,kessing
60,baik,madeceng
61,baik,makanja'
62,baik,makessing
63,ban,bang
64,bangga,mario
65,bantu,beli
66,bantu,tulung
67,batal,bali
68,batal,denajaji
69,batal,paja
70,batal,were
71,batas,cappa'
72,batas,paggangka
73,bebas,agi-agi
74,bebas,leppe'
75,beberapa,masiaga
76,beberapa,siaga siaga
77,bela,ewang
78,bela,welai
79,belakang,monri
80,benar,coco'
81,benar,tongeng
82,bencana,paccoba
83,bencana,sussa
84,benci,cecca
85,benci,temmappoji
86,berani,materru
87,berani,segge'
88,berani,warani
89,berarti,bettuang
90,berat,matane'
91,berat,tane'
92,berbahaya,abala
93,berbahaya,mabahaya
94,berdarah,ma'dara
95,berdarah,maddara
96,berdarah,malao
97,berdoa,millau doang
98,berduka,masara nyawa
99,berduka,massi nyawa
100,berguna,makkeguna
101,berguna,makkiguna
102,berhak,mappunna
103,berharap,macinna
104,berharap,maelo
105,berharap,mattajang
106,beri,bere
107,beri,were
108,berkomitmen,ma'janci
109,berkomitmen,mattaro ada
110,berlebihan,malebbi
111,berlebihan,talliwe'-liwe'
112,bermanfaat,makkeguna
113,bermanfaat,makkiguna
114,bersaing,mallaga
115,bersaing,sissaingeng
116,bersama,sibawa
117,bersedih,masara
118,bersedih,masara ati
119,bersedih,masara nyawa
120,bersedih,messing nyawa
121,bersedih,peccu
122,bersembunyi,makkalicubbu
123,bersorak,gora
124,bersorak,mario
125,besar,loppo
126,besar,maloppo
127,besar,wessa
128,biadab,ja sipa'
129,biadab,meja ati
130,biaya,elli
131,biaya,ongkoso'
132,biaya,pakkamaja
133,bingung,benga
134,bingung,magulisa
135,bingung,malasa ulu
136,bodoh,banta' 
137,bodoh,bebe'
138,bodoh,beleng
139,bodoh,benggo
140,bohong,belle
141,bom,bong
142,buka,bukka
143,buka,timpa'
144,bunga,bunga
145,bunga,unga
146,bungkam,pedde
147,bungkam,pepe
148,bunuh,mappamate
149,bunuh,pamate
150,bunuh,wunu
151,bunuh diri,mappamate ale
152,bunuh diri,pamate ale
153,bunuh diri,wunu ale
154,buruk,ma ja'
155,buruk,meja'
156,buta,buta
157,cantik,mabello
158,cantik,macakka
159,cantik,macanti'
160,capai,genne'
161,capai,lettu'
162,capai,runtu'
163,cari,sappa
164,cedera,malasa
165,cedera,mapeddi
166,cegah,mappassadia
167,cegah,massalai
168,cegah,salai
169,cemas,magulisa
170,cepat,malinta'
171,cepat,masija'
172,cerdas,macca
173,cinta,appojiang
174,cinta,cinta
175,cium,bau
176,cium,cippo'
177,cium,mabbau
178,cium,menning
179,cium,mimmau
180,cocok,coco'
181,cocok,sicoco'
182,cocok,sikanangeng
183,cocok,sikenna
184,copet,panga
185,damai,masumange'
186,damai,matennang
187,damai,siame'-ame'
188,dapat,mala
189,dapat,poleang
190,dapat,runtu
191,dapat,runtu'
192,daya,agalakeng
193,daya,akkulleang
194,daya,awatangeng
195,diabaikan,de' lai jampangi
196,diabaikan,tenri jampang
197,diam,mangimpuru
198,diam,mekko
199,diam,temmette'
200,diam,tennag
201,diancam,laipitauri
202,diancam,laiyancang
203,dibersihkan,laipaccingi
204,dicuri,laiyinnau
205,dihukum,laihukung
206,dihukum,laijama
207,dihukum,laikenna
208,dihukum,laisessa
209,dikalahkan,laikala
210,dipercaya,laitepepri
211,dipercaya,laitepperi
212,dipermalukan,laipakasiri
213,dipertanyakan,laiyakkutanang
214,diprovokasi,laikompa
215,diprovokasi,laipellai
216,diprovokasi,laitamai
217,disebut-sebut,lai teppu teppu
218,disebut-sebut,laipaupau
219,disebut-sebut,laiteppu-teppu
220,disebut-sebut,laiyaseng
221,ditakuti,laipitauri
222,ditakuti,laiyitauri
223,ditangkap,laitikkeng
224,ditangkap,laiyala
225,diteror,laipabbittau
226,diteror,laipitauri
227,ditinggalkan,laisalai
228,ditingkatkan,laipatanre
229,ditingkatkan,laipenre'
230,dituduh,laitudu
231,dituduh,laiyaseng
232,ditunda,laitahang
233,ditunda,laitunda
234,doa,doang
235,doa,pangeloreng
236,doktrin,laitamai
237,doktrin,tama tamai
238,duka,maperri
239,duka,peddi
240,duka,sara nyawa
241,dukung,appakario
242,dukung,pakario
243,dukung,passorong
244,dukungan,appakarioang
245,dukungan,assorongeng
246,efektif,makkanre
247,efektif,sikkenna
248,eksklusif,khussusu
249,eksklusif,khususu'
250,eksklusif,masoli
251,eksklusif,spesial
252,empati,masenge
253,empati,massi nyawa
254,empati,messing nyawa
255,fitnah,pau sala
256,fitnah,pitna
257,fokus,mattuju
258,gagah,garetta'
259,gagah,magaretta'
260,gagah,makessing
261,gagal,kala
262,gagal,maperri
263,gampang,mabiasa
264,gampang,magampang
265,ganggu,ganggu
266,ganggu,roca'
267,gaya,gaya
268,gaya,modele'
269,gelap,kape'
270,gelap,pettang
271,gentar,maperri
272,gentar,mitau
273,gentar,seleng
274,gertak,garatta'
275,gertak,gerra'
276,gila,jangeng
277,gila,malasa
278,guncang,goncang
279,guncang,kedo
280,guncangan,akkedoang
281,guncangan,goccangeng
282,ha,ha
283,habis,cappu
284,habis,labe'
285,hal,aga-aga
286,hal,hal
287,hancur,bonynya
288,hancur,bonynyo'
289,hancur,masolang
290,hancur,tabbure
291,hantu,are'
292,hantu,hallusu'
293,hantu,setang
294,harapan,a'dennuang
295,harapan,elo
296,harga,angke'
297,harga,elli
298,harga,ongkoso'
299,harga,tampa
300,harta,aga-aga
301,harta,warang parang
302,hasil,hassele
303,hasil,hassele'
304,hati,ate
305,hati,ati
306,hati-hati,kari tutu
307,hati-hati,salama'
308,hebat,jago
309,hebat,macca'
310,hebat,majago
311,heboh,maroa
312,heroik,magala'
313,heroik,majago
314,hidup,tuo
315,hilang,lenynye'
316,hilang,teddeng
317,hukum,hukung
318,hukum,passessa
319,ikut,cio
320,ikut,maccio
321,ilham,illang
322,ilham,pammase
323,iman,ateppereng
324,iman,imang
325,indah,bello
326,indah,kanja'
327,indah,mabello
328,indah,macakka'
329,indah,magaretta'
330,indah,makanja'
331,ingat,aringngerrang
332,ingat,ingngerrang
333,ingin,cinna
334,ingin,elo
335,ingin,maelo
336,interogasi,makkutana
337,interogasi,pakkutanang
338,isi,ise'
339,istimewa,ipakaraja
340,istimewa,khussusu
341,istimewa,spesial
342,jahat,jasipa'
343,jahat,meja ati
344,jahat,meja sipa'
345,jamin,jaming
346,jatuh,buang
347,jatuh,taddenne'
348,jawab,bali
349,jaya,jaya
350,jaya,tolo'
351,jelas,manessa
352,jelas,mannessa
353,jelas,mattongeng
354,jelek,maja'
355,jelek,meja
356,jenis,are'
357,jenis,modele
358,jenis,tungke'
359,jual,balu
360,jual,balu'
361,jual,elliang
362,kalah,cau'
363,kalah,ibeta
364,kalah,kala
365,kalah,laicau
366,kalimat,kalima'
367,kalimat,pau-pau
368,kapal,kappala'
369,karya,hassele'
370,karya,pigau
371,kasihan,massi nyawa
372,kasihan,messing nyawa
373,kaya,sogi
374,keadilan,adelekeng
375,keadilan,akkadelekeng
376,keamanan,akkaamangeng
377,keamanan,akkatennangeng
378,kebaikan,akanjakeng
379,kebaikan,akkanjakeng
380,kebaikan,attongengeng
381,kebencian,acaireng
382,kebencian,appeddireng ati
383,kebencian,appedireng ati
384,keberanian,accapakeng
385,keberanian,akkawaraniang
386,kebetulan,mattangang
387,kecewa,massing nyawa
388,kecewa,sara ati
389,kecewa,sara nyawa
390,kehancuran,akkasolangeng
391,kehilangan,alabereng
392,kehilangan,ateddengeng
393,kehilangan,atteddengeng
394,kejahatan,aja sipakeng
395,kejahatan,ajasipareng
396,kejam,ja sipa'
397,kejam,jasipa'
398,keji,ja sipa'
399,keji,jasipa'
400,kekayaan,asogireng
401,kekayaan,assogireng
402,kekerasan,akkeddoangeng
403,kekerasan,akkedoangeng
404,kekerasan,ateddekeng
405,kekuatan,akkulleang
406,kekuatan,ateddekeng
407,kelaparan,aliwasengeng
408,kelaparan,alliwasengeng
409,kelaparan,allupureng
410,keluar,massu
411,keluar,massu'
412,kematian,alabereng
413,kematian,ammateang
414,kematian,ammateangeng
415,kembali,lisu
416,kembali,pole
417,kembali,rewe'
418,kena,kenna
419,kenal,isseng
420,kenal,rupa
421,kenyamanan,anyamengeng
422,kenyamanan,anynyamangeng
423,kepentingan,eloreng
424,kepentingan,pakkeloreng
425,keras,keddo
426,keren,garetta'
427,keren,kanja'
428,keren,mabello
429,keren,makanja'
430,keren,makessing
431,kerugian,arogiang
432,kerugian,arogieng
433,kerusakan,asolangeng
434,kerusakan,assolangeng
435,kesalahan,asisalang
436,kesalahan,assisalang
437,kesan,appeneddingeng
438,kesan,appirasang
439,kesan,penedding
440,kesempatan,akkulleang
441,kesempatan,tawa
442,kesempatan,wettu
443,kesepian,accadiddiang
444,kesepian,atennangeng
445,kesulitan,assussang
446,kesulitan,awatangeng
447,ketakutan,akkitaureng
448,ketakutan,appabbittaureng
449,ketat,ketta'
450,ketat,merre'
451,ketegangan,aselengeng
452,ketegangan,attenreang
453,kompak,massiddi
454,kompak,sicoco'
455,konflik,allagang
456,konflik,assisalang
457,konspirasi,assikongkolokeng
458,korban,tau nakenna
459,korban,tau natuju
460,korban jiwa,tau labe'
461,korban jiwa,tau mate
462,korban jiwa,to mate
463,kosong,deggaga
464,kosong,kosong
465,kosong,metti
466,kosong,nolo'
467,kotor,carepa
468,kotor,jamuta
469,kotor,ronto'
470,kuat,gala'
471,kuat,segge'
472,kuat,tedde'
473,kurang,cedde'
474,kurang,de nagenne'
475,kurang,kurang
476,kutuk,sompa
477,kutuk,tanro
478,kutukan,assompangeng
479,kutukan,attanroang
480,kutukan,pattanro
481,langgar,sala
482,larang,yatteang
483,larangan,atteangeng
484,lawan,bali
485,lawan,musu
486,layak,nulle
487,layak,sicoco'
488,layak,sikanangeng
489,layak,wedding
490,lebih,lebbi
491,lebih baik,lebbi kanja' na
492,lebih baik,makanja'pi
493,lembut,halusu'
494,lembut,malemma'
495,lembut,malengngo
496,lengkap,lengka'
497,lengkap,makkamaneng
498,lenyap,teddeng
499,lewat,lalo
500,lihat,ita
501,lihat,makkatita
502,lihat,mita
503,lmao,boreng
504,lmao,kaka'
505,lmao,micawa
506,lmao,micawa loppo
507,lmao,takkeke'
508,luar biasa,ladde'
509,lucu,lucu
510,lucu,mappabbekka cawa
511,luka,alaoreng
512,luka,lasa
513,luka,peddi
514,lupa,mallupai
515,lupa,takkalupa
516,maaf,addampengeng
517,maaf,tabe'
518,mahal,masoli
519,mampu,mulle
520,mampu,nullei
521,marah,cella
522,marah,macai
523,masalah,masala
524,mati,leppu
525,mati,mate
526,mati,nasalai nyawa
527,mayat,maya'
528,mayat,tau mate
529,melakukan,majjama
530,melakukan,mappigau
531,melanggar,jama sala
532,melanggar,jama salang
533,melemahkan,mappalemma
534,melemahkan,mappallemma
535,melindungi,ma'jaga
536,melindungi,mattahang
537,melumpuhkan,mappabuang
538,melumpuhkan,mappacau
539,melumpuhkan,mappataddene'
540,melumpuhkan,pakenna
541,memastikan,mappacoco'
542,memastikan,mappamanessa
543,membahayakan,mappabahaya
544,membantu,mabbali
545,membantu,mattulung
546,membatalkan,mappabatala'
547,membenci,de napoji
548,membenci,temmappoji
549,membenci,temmelo
550,membuka,mabbukka
551,membuka,mattimpa'
552,membunuh,mappamate
553,membunuh,mawwunu
554,membunuh,naunu
555,memerangi,mammusu
556,memerangi,mewa
557,memerangi,mewai
558,mempertanyakan,makkutana
559,mempertanyakan,makkutanang
560,memuji,mappakalebbi
561,memuji,pakalebbi
562,menahan,mattahang
563,menanti,mattajang
564,menanti,mattajeng
565,menarik,maggetteng
566,menarik,makanja'
567,mencurigakan,mappesangkareng
568,mencurigakan,penno pakkutana
569,mendapatkan,naruntu'
570,mendapatkan,poleang
571,mendapatkan,runtu'
572,menderita,maddareke
573,menderita,maperri
574,menderita,masussa
575,mendoktrin,mappangaru
576,mendoktrin,mattama
577,mendorong,massorong
578,mendukung,mappakario
579,mendukung,massorong
580,mendung,mallung
581,mendung,marallung
582,menembak,mattemba'
583,menerima,mattarima
584,menerima,runtu'
585,mengakui,mangaku
586,mengakui,mappatongeng
