abu,awu,,,,,,,,,
adopsi,adopsi,,,,,,,,,
aduh,adhuh,wadhuh,athuh,,,,,,,
aktif,aktif,,,,,,,,,
aku,aku,kula,awakku,,,,,,,
alam,alam,,,,,,,,,
alasan,alesan,,,,,,,,,
aman,aman,,,,,,,,,
amat,mirsani,ndelok,,,,,,,,
ambil,jikuk,njupuk,,,,,,,,
ancam,ancem,,,,,,,,,
ancaman,anceman,,,,,,,,,
aneh,aneh,,,,,,,,,
anehnya,anehe,,,,,,,,,
anggun,anggun,,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,antisipasi,,,,,,,,,
api,geni,,,,,,,,,
apresiasi,apresiasi,,,,,,,,,
asing,asing,,,,,,,,,
asyik,asik,,,,,,,,,
badass,bajingan,,,,,,,,,
bagi,kanggo,,,,,,,,,
bagus,apik,sae,,,,,,,,
bahagia,seneng,bungah,,,,,,,,
bahaya,bahaya,bebaya,,,,,,,,
baik,apik,sae,,,,,,,,
ban,ban,,,,,,,,,
bangga,bangga,,,,,,,,,
bantu,ngewangi,ngrewangi,mbiyantu,,,,,,,
batal,batal,,,,,,,,,
batas,wates,,,,,,,,,
bebas,bebas,,,,,,,,,
beberapa,sawetara,,,,,,,,,
bela,mbelo,,,,,,,,,
belakang,mburi,wingking,,,,,,,,
benar,bener,,,,,,,,,
bencana,bencana,mala petaka,,,,,,,,
benci,gething,anyel,,,,,,,,
berani,wani,,,,,,,,,
berarti,tegese,,,,,,,,,
berat,abot,,,,,,,,,
berbahaya,mbebayani,,,,,,,,,
berdarah,getihen,,,,,,,,,
berdoa,ndonga,,,,,,,,,
berduka,sungkawa,,,,,,,,,
berguna,migunani,,,,,,,,,
berhak,nduwe hak,,,,,,,,,
berharap,ngarep,ngarep-arep,,,,,,,,
beri,ngeki,menehi,wenehi,nyukani,maringi,nyaosi,,,,
berkomitmen,setya,komitmen,,,,,,,,
berlebihan,kakehan,,,,,,,,,
bermanfaat,mupangati,,,,,,,,,
bersaing,saingan,,,,,,,,,
bersama,bareng-bareng,bebarengan,,,,,,,,
bersedih,susah,sedhih,,,,,,,,
bersembunyi,ndelik,,,,,,,,,
bersorak,surak-surak,,,,,,,,,
besar,gedhi,gedhe,,,,,,,,
biadab,dancuk,janjuk,bajingan,asu,,,,,,
biaya,bea,biaya,,,,,,,,
bingung,bingung,,,,,,,,,
bodoh,bodho,goblok,,,,,,,,
bohong,ngapusi,apus-apus,,,,,,,,
bom,bom,,,,,,,,,
buka,mbukak,,,,,,,,,
bunga,kembang,,,,,,,,,
bungkam,bungkem,,,,,,,,,
bunuh,mateni,,,,,,,,,
bunuh diri,bunuh diri,,,,,,,,,
buruk,ala,,,,,,,,,
buta,wuta,,,,,,,,,
cantik,ayu,,,,,,,,,
capai,nggayuh,,,,,,,,,
cari,nggolek,,,,,,,,,
cedera,tatu,cidera,,,,,,,,
cegah,nyegah,,,,,,,,,
cemas,was-was,kuwatir,,,,,,,,
cepat,cepet,,,,,,,,,
