abu,abu,,,,,,,,,
adopsi,ngala' anak,,,,,,,,,
aduh,aduh,addu,,,,,,,,
aktif,aktif,,,,,,,,,
aku,êngkok,êngko' ,sèngko',bulâ,bulê,kaulâ,kaulê,kulâ,kulê,
alam,alam,dhunnya,,,,,,,,
alasan,alêssan,,,,,,,,,
aman,aman,,,,,,,,,
amat,sangêt,cèk,,,,,,,,
ambil,kala',,,,,,,,,
ancam,ancêm,,,,,,,,,
ancaman,ancêmman,,,,,,,,,
aneh,anèh,,,,,,,,,
anehnya,anèhna,mengnga'na,,,,,,,,
anggun,anggun,,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,antisipasi,,,,,,,,,
api,apoy,,,,,,,,,
apresiasi,panilaian,,,,,,,,,
asing,asing,anêh,,,,,,,,
asyik,asyik,sênnêng,lèbur,,,,,,,
badass,badass,,,,,,,,,
bagi,bâgi,bêgi,,,,,,,,
bagus,bâgus,bhêgus,mapan,lèbur,,,,,,
bahagia,bhungah,sênnêng,,,,,,,,
bahaya,bahaya,,,,,,,,,
baik,baik,,,,,,,,,
ban,ban,,,,,,,,,
bangga,bangga,,,,,,,,,
bantu,bhânto,bhênto,nolongi,,,,,,,
batal,burung,bhâttal,bhêttal,,,,,,,
batas,bâtes,bêtês,,,,,,,,
bebas,bebas,,,,,,,,,
beberapa,bêbêrêmpa ,,,,,,,,,
bela,bèla,,,,,,,,,
belakang,budi,,,,,,,,,
benar,bânder,bhêndêr,bêttol,têppa',,,,,,
bencana,bêncana,,,,,,,,,
benci,bâjhi' ,bêjhi',,,,,,,,
berani,bêngal,bângal,,,,,,,,
berarti,bêrarti,aghuna,,,,,,,,
berat,bêrre',bârrâ',,,,,,,,
berbahaya,bâdâ bahayana,bêdê bahayana,,,,,,,,
berdarah,adârâ,adêrê,,,,,,,,
berdoa,adua',adhuwê,,,,,,,,
berduka,berduka,,,,,,,,,
berguna,aghuna,,,,,,,,,
berhak,berhak,pantês,,,,,,,,
berharap,ngarêp,,,,,,,,,
beri,bârri',bêrri',,,,,,,,
berkomitmen,ândi' komitmen,êndi' komitmên,,,,,,,,
berlebihan,bânnya' sarah,bânnya' ghâllu,bênnya' sarah,bênnya' ghellu,,,,,,
bermanfaat,ândi' manfaat,êndi' manfaat,,,,,,,,
bersaing,asaèng,,,,,,,,,
bersama,abârâng,abêrêng,,,,,,,,
bersedih,ândi' sêddhi,ândi' sossa,mêllas,,,,,,,
bersembunyi,ngițek,,,,,,,,,
bersorak,asorak,,,,,,,,,
besar,rajâ,rajê,,,,,,,,
biadab,biadab,korang ajâr,korang ajhêr,,,,,,,
biaya,biaya,ongkos,,,,,,,,
bingung,bhigung,posang,,,,,,,,
bodoh,bhudhuh,bunggân,bunggên,tambâng,tambêng,,,,,
bohong,bêllèng,lècèk ,carpak,,,,,,,
bom,bom,,,,,,,,,
buka,bukka',,,,,,,,,
bunga,kembhâng,,,,,,,,,
bungkam,èsêp,dièm,,,,,,,,
bunuh,patè'è,,,,,,,,,
bunuh diri,araddhâ',araddhê',,,,,,,,
buruk,jhubâ',jhubê',,,,,,,,
buta,buta,,,,,,,,,
cantik,raddhin,,,,,,,,,
capai,capai,dâpa',dêpa',,,,,,,
cari,sarè,,,,,,,,,
cedera,cêdêra,cacat,loka,,,,,,,
cegah,cêgah,nyêgghêh,nahan,,,,,,,
cemas,cêmmas,kabêtèr,,,,,,,,
cepat,santa',lêkkas,kancang,,,,,,,
cerdas,cerdas,,,,,,,,,
cinta,cinta,,,,,,,,,
cium,sèom,sèyom,,,,,,,,
cocok,cocok,pantês,,,,,,,,
copet,malèng,,,,,,,,,
damai,damai,akor,,,,,,,,
dapat,ollè,,,,,,,,,
daya,daya,kakoatan,,,,,,,,
diabaikan,èabayyaghi,,,,,,,,,
diam,èsep,diêm,diyêm,,,,,,,
diancam,èancêm,èyancêm,,,,,,,,
dibersihkan,èbârsè'è,èbhêrsè'è,,,,,,,,
dicuri,èkèco',,,,,,,,,
dihukum,èyokom,,,,,,,,,
dikalahkan,èpakala,,,,,,,,,
dipercaya,èparcajê,èparcajâ,,,,,,,,
dipermalukan,èpatodus,èpamalo,,,,,,,,
dipertanyakan,èpêrtanya'aghi,,,,,,,,,
diprovokasi,èprovokasi,,,,,,,,,
disebut-sebut,èbhut-sebbhut,,,,,,,,,
ditakuti,ètako'è,èkatako'è,,,,,,,,
ditangkap,ètangkep,èpèghâ',èpeghê',,,,,,,
diteror,ètèror,,,,,,,,,
ditinggalkan,èdhina'aghi,,,,,,,,,
ditingkatkan,ètingkattaghi,,,,,,,,,
dituduh,ètuduh,,,,,,,,,
ditunda,ètunda,èundur,,,,,,,,
doa,duâ,dhuwe,,,,,,,,
doktrin,ajhârân,ajhêrên,doktrin,,,,,,,
duka,duka,sêddhi atè,sossa atè,,,,,,,
dukung,dukung,,,,,,,,,
dukungan,dukungan,,,,,,,,,
efektif,èfèktif,bâdâ hasèlla,manjur,,,,,,,
eksklusif,tak tamasok,khusus,bhidâ,,,,,,,
empati,êmpati,,,,,,,,,
fitnah,fitnah,,,,,,,,,
fokus,fokus,,,,,,,,,
gagah,gêgêk,koat,,,,,,,,
gagal,gagal,tak berhasèl,,,,,,,,
gampang,gâmpang,ghempang,,,,,,,,
ganggu,gânggu,gênggu,,,,,,,,
gaya,gaya,,,,,,,,,
gelap,pêttêng,pâttâng,,,,,,,,
gentar,gêntar,,,,,,,,,
gertak,ghêrtak,,,,,,,,,
gila,ghilê,,,,,,,,,
guncang,ghuncang,,,,,,,,,
guncangan,ghuncangan,,,,,,,,,
ha,ha,hah,,,,,,,,
habis,èyabik,obus,tadâ',tadê',lobêr,,,,,
hal,hal,,,,,,,,,
hancur,ancor,,,,,,,,,
hantu,cobhâ,cobhê,,,,,,,,
harapan,arêppan,,,,,,,,,
harga,râgghâ,rêgghê,,,,,,,,
harta,harta,,,,,,,,,
hasil,hasèl,,,,,,,,,
hati,atè,,,,,,,,,
hati-hati,tèngatè,awas,sènga'an,,,,,,,
hebat,hèbat,,,,,,,,,
heboh,hèboh,,,,,,,,,
heroik,hèroik,,,,,,,,,
hidup,odi',,,,,,,,,
hilang,èlang,,,,,,,,,
hukum,okom,,,,,,,,,
ikut,nuro',,,,,,,,,
ilham,ilham,,,,,,,,,
iman,iman,,,,,,,,,
indah,indah,,,,,,,,,
ingat,ènga' ,,,,,,,,,
ingin,terro,,,,,,,,,
interogasi,pêrtanyaan,,,,,,,,,
isi,èsè,,,,,,,,,
istimewa,istimèwa,,,,,,,,,
jahat,jahat,,,,,,,,,
jamin,jamin,tangghung,,,,,,,,
jatuh,labu,ghêgghêr,ghâgghâr,,,,,,,
jawab,jêwêb,,,,,,,,,
jaya,jaya,,,,,,,,,
jelas,jêllas,têrrang,,,,,,,,
jelek,jhube',,,,,,,,,
jenis,jennis,macâm,macêm,,,,,,,
jual,jhuwêl,,,,,,,,,
kalah,kalah,,,,,,,,,
kalimat,kalimat,,,,,,,,,
kapal,kapal,,,,,,,,,
karya,karya,,,,,,,,,
kasihan,nisêr,,,,,,,,,
kaya,soghi,,,,,,,,,
keadilan,kaadhilên,kaadilân,,,,,,,,
keamanan,kaamanan,,,,,,,,,
kebaikan,kabhêghusên,kabhâghusân,,,,,,,,
