,indonesian,madurese
0,abu,abu
1,abu,buabuh
2,adopsi,ngadopsi
3,adopsi,ngala' anak
4,adopsi,ngalak
5,aduh,adau
6,aduh,addu
7,aduh,adduh
8,aduh,adoh
9,aduh,aduh
10,aduh,waduh
11,aktif,aktif
12,aktif,aktip
13,aku,abdhina
14,aku,bulâ
15,aku,bulê
16,aku,engkok
17,aku,gule
18,aku,kaulâ
19,aku,kaulê
20,aku,kulâ
21,aku,kulê
22,aku,sèngko'
23,aku,sèngkok
24,aku,êngko' 
25,aku,êngkok
26,alam,alam
27,alam,dhunnya
28,alam,dunynya.
29,alasan,alesan
30,alasan,alêssan
31,aman,aman
32,amat,cèk
33,amat,sangêt
34,amat,sarah
35,ambil,kala'
36,ambil,ngalak
37,ancam,ancêm
38,ancam,ngancem
39,ancaman,ancêmman
40,ancaman,nganceman
41,aneh,ani
42,aneh,anih
43,aneh,anèh
44,anehnya,aninah
45,anehnya,anèhna
46,anehnya,mengnga'na
47,anggun,anggun
48,anggun,raddhin
49,anti,anti
50,antisipasi,antisipasi
51,antisipasi,nyage'i
52,antisipasi,nyagherri
53,api,apoi
54,api,apoy
55,apresiasi,ngalem
56,apresiasi,ngarghein
57,apresiasi,panilaian
58,asing,anêh
59,asing,asing
60,asyik,asik
61,asyik,asyik
62,asyik,lèbur
63,asyik,sênnêng
64,badass,badass
65,bagi,begi
66,bagi,bâgi
67,bagi,bêgi
68,bagus,bagos
69,bagus,bheghus
70,bagus,bhêgus
71,bagus,bâgus
72,bagus,lèbur
73,bagus,mapan
74,bahagia,bahagia
75,bahagia,bhunga
76,bahagia,bhungah
77,bahagia,senneng
78,bahagia,sênnêng
79,bahaya,bahaya
80,baik,baik
81,baik,baèk
82,baik,bhegus
83,ban,ban
84,bangga,bangga
85,bangga,bhunga
86,bantu,bhento
87,bantu,bhânto
88,bantu,bhênto
89,bantu,nolongi
90,bantu,nolongin
91,batal,bhental
92,batal,bhâttal
93,batal,bhêttal
94,batal,burung
95,batas,betes
96,batas,bâtes
97,batas,bêtês
98,batas,engghen
99,bebas,bebas
100,beberapa,bêbêrêmpa 
101,beberapa,panberempan
102,bela,bèla
103,belakang,budi
104,belakang,budih
105,benar,bendher
106,benar,bhêndêr
107,benar,bânder
108,benar,bêttol
109,benar,têppa'
110,bencana,bêncana
111,bencana,celakak
112,bencana,cobheh
113,benci,bejhik
114,benci,bâjhi' 
115,benci,bêjhi'
116,berani,bengal
117,berani,bângal
118,berani,bêngal
119,berarti,aghuna
120,berarti,berartèh
121,berarti,bêrarti
122,berat,berre'
123,berat,bârrâ'
124,berat,bêrre'
125,berbahaya,bahaya
126,berbahaya,bâdâ bahayana
127,berbahaya,bêdê bahayana
128,berbahaya,celakah
129,berdarah,adere'en
130,berdarah,adârâ
131,berdarah,adêrê
