,indonesian,minangkabau
0,abu,abu
1,abu,abuw
2,adopsi,adopsi
3,aduh,aduh
4,aduh,ndeh
5,aktif,aktif
6,aku,ambo
7,aku,awak
8,aku,den
9,aku,wak
10,alam,alam
11,alasan,alasan
12,aman,aman
13,amat,"sabana, sangaik"
14,amat,sangaik
15,ambil,ambiak
16,ancam,ancam
17,ancaman,ancaman
18,aneh,aneh
19,aneh,balain
20,aneh,lain
21,anehnya,anehnyo
22,anggun,anggun
23,anggun,rancak
24,anti,anti
25,antisipasi,antisipasi
26,api,api
27,api,apiy
28,apresiasi,apresiasi
29,apresiasi,maharagoi
30,asing,asiang
31,asyik,asik
32,asyik,asyik
33,badass,badass
34,badass,paten
35,bagi,bagi
36,bagi,dek
37,bagi,untuak
38,bagus,ancak
39,bagus,rancak
40,bahagia,bahagia
41,bahagia,sanang
42,bahaya,bahayo
43,baik,baiak
44,baik,elok
45,ban,ban
46,bangga,bangga
47,bantu,bantu
48,bantu,tolong
49,batal,bata
50,batal,ndak jadi
51,batas,bateh
52,bebas,bebas
53,beberapa,babarapo
54,beberapa,ciek ciek
55,bela,bela
56,belakang,balakang
57,benar,bana
58,bencana,bancano
59,bencana,musibah
60,benci,banci
61,berani,bagak
62,berani,barani
63,berarti,bararti
64,berat,barek
65,berbahaya,babahayo
66,berdarah,badarah
67,berdoa,badoa
68,berduka,baduka
69,berduka,baduko
70,berguna,baguno
71,berhak,bahak
72,berharap,baarok
73,berharap,baharok
74,beri,agiah
75,berkomitmen,bakomitmen
76,berlebihan,bakalabiahan
77,berlebihan,balabiahan
78,bermanfaat,baguno
79,bermanfaat,bamanfaaik
80,bermanfaat,bamanpaaik
81,bersaing,basaiang
82,bersama,basamo
83,bersedih,baibo hati
84,bersedih,basadiah
85,bersembunyi,bamandok
86,bersembunyi,mandok
87,bersorak,basorak
88,besar,gadang
89,biadab,biadab
90,biadab,kalera
91,biaya,biaya
92,biaya,biayo
93,bingung,binguang
94,bodoh,ele
95,bodoh,engak
96,bodoh,pandia
97,bohong,duto
98,bom,bom
99,buka,bukak
100,bunga,bungo
101,bungkam,-
102,bungkam,anok
103,bungkam,diam
104,bunuh,bunuah
105,bunuh diri,bunuah diri
106,buruk,buruak
107,buta,buto
108,cantik,ancak
109,cantik,rancak
110,capai,capai
111,capai,panek
112,cari,cari
113,cedera,luko
114,cegah,ambek
115,cegah,cegah
116,cegah,tagahan
117,cemas,cameh
118,cepat,capek
119,cerdas,cadiak
120,cerdas,santiang
121,cinta,cinto
122,cinta,scinto
123,cium,cium
124,cium,sungok
125,cocok,cocok
126,copet,copet
127,copet,pancilok
128,damai,damai
129,dapat,dapek
130,daya,daya
131,daya,dayo
132,diabaikan,diabaian
133,diabaikan,diacuahan
134,diam,anok
135,diam,diam
136,diancam,-
137,diancam,diancam
138,dibersihkan,barasiahan
139,dibersihkan,dibarasiahan
140,dicuri,dicilok
141,dicuri,diciluik
142,dihukum,dihukum
143,dikalahkan,dikalahan
144,dipercaya,dipacayo
145,dipercaya,dipicayo
146,dipermalukan,dipamaluan
147,dipertanyakan,dipatanyoan
148,dipertanyakan,ditanyoan
149,diprovokasi,diasuang
150,diprovokasi,diprovokasi
151,disebut-sebut,disabuik-sabuik
152,ditakuti,ditakuikan
153,ditakuti,ditakuiki
154,ditangkap,ditangkok
155,diteror,diteror
156,ditinggalkan,ditinggaan
157,ditingkatkan,ditingkekan
158,dituduh,dituduah
159,ditunda,ditundo
160,doa,doa
161,doktrin,doktrin
162,duka,duka
163,duka,duko
164,dukung,dukuang
165,dukungan,dukuangan
166,efektif,efektif
167,eksklusif,eksklusif
168,eksklusif,khusus
169,empati,empati
170,fitnah,fitnah
