bulu	abbulu
telur	tinaru
telur	tolór
telor	tinaru
telor	tolór
memukul	madduda
menumbuk	madduda
membuka	mabbukka
membeli	manuhor
menggali	makkuar
burung	pidoŋ
buruŋ	pidoŋ
anjing	asu
anjing	biaŋ
anjing	panaŋgai
anjiŋ	asu
anjiŋ	biaŋ
anjiŋ	panaŋgai
jatuh	madabu
melempar	maddaŋgurhon
melémparkan	maddaŋgurhon
datang	ro
ikut	ro
serta	ro
dataŋ	ro
mendataŋ	ro
mendataŋi	ro
mendekati	ro
jalan	dalan
berjalan	mardalan
kaki	pat
kanan	sihamun
kiri	sihambiraŋi
tangan	taŋan
taŋan	taŋan
berenang	marlaŋe
berenaŋ	marlaŋe
belok	gelok
bélok	gelok
mangunyah	makkilhil
meŋuñah	makkilhil
muntah	muta-uta
malam	borNin
perut	butuha
tulang	holi-holi
tulaŋ	holi-holi
hati	ate-ate
kulit	hulikkuliŋ
punggung	taŋguruŋ
belakaŋ	taŋguruŋ
%kupiN	piNg~ol
teliNa	piNg~ol
hiduN	iguN
gigi	NiNi
lidah	dila
lemak	tabo-tabo
luas	bidaŋ
lebar	bidaŋ
lébar	bidaŋ
sempit	soppit
panjang	ganjaŋ
panjaŋ	ganjaŋ
pendek	jeppek
péndék	jeppek
tebal	hapal
tipis	nipis
hijau	rata-rata
kuning	gorsiŋ
kuniŋ	gorsiŋ
besar	balga
kecil	gėlleŋ
kecil	met-met
lima	lima
tujuh	pitu
enam	onom
satu	sada
tiga	tolu
kutu	hutu
nyamuk	roŋit
ñamuk	roŋit
ular	ulok
cacing	panahit
caciŋ	panahit
ekor	ihur
ekor	kalai
ékor	ihur
ékor	kalai
tikus	baguduŋ
tikus	monci
daging	sibuk
dagiŋ	sibuk
sayap	haboŋ
terbang	habaŋ
terbaŋ	habaŋ
api	api
ikan	dekke
ikan	ihan
daun	buluŋ
tanah	tano
atap	tarup
dua	duwa
minum	minim
susu	susu
buah dada	susu
%payudara	susu
taNan	taNan
bukan	daoŋ
bukan	daŋ
tidak	daoŋ
tidak	daŋ
lain	asiŋ
panas	law
panas	mohop
kami	hita
kita	hita
nen	hita
