,source,target
0,Abad Pencerahan,Jaman Pepadhang
1,Abad Pertengahan,Abad Tengahan
2,abang,dimas
3,Abbesinia,Abisinia
4,abdomen,weteng
5,abjad,alfabèt
6,Abraham Lincoln,Abraham Lincoln
7,abu,awu
8,Accra,Accra
9,Addis Ababa,Addis Ababa
10,adik,ari
11,adik perempuan,mbak
12,adil,adil
13,Afganistan,Afganistan
14,Afghanistan,Afganistan
15,Afrika,Afrika
16,agak,radi
17,agama,agama
18,Agama Abrahamik,Agama Abrahamik
19,Agama Kristen,Agami Kristen
20,Agama Yahudi,Agami Yahudi
21,Agustus,agustus
22,agustus,agustus
23,Ain,Ain
24,air,banyu
25,air mata,luh
26,air terjun,grojogan
27,Aisne,Aisne
28,akan,arep
29,akar,oyot
30,aksara,alfabèt
31,aku,aku
32,Aku cinta kamu,Kula tresna sampeyan
33,aku cinta kamu,aku tresna sampeyan
34,Aku cinta kepadamu,Kula tresna sampeyan
35,aku cinta kepadamu,aku tresna sampeyan
36,Aku cinta padamu,Kula tresna sampeyan
37,aku cinta padamu,aku tresna sampeyan
38,Aku sayang kamu,Aku tresna sampeyan
39,aku sayang kamu,kula tresna sampeyan
40,Aku suka sama kamu,Aku tresna sampeyan
41,aku suka sama kamu,kula tresna sampeyan
42,alam,alam
43,alam semesta,alam semesta
44,alasan,alesan
45,Albania,Albania
46,Alexander Agung,Alexander Agung
47,Alexander yang Agung,Alexander Agung
48,alfabet,alfabèt
49,alis,alis
50,aliterasi,purwakanthi
51,Aljazair,Aljazair
52,Aljir,Aljir
53,alkana,alkana
54,Alkitab,Alkitab
55,alkuna,alkuna
56,Allah,Allah
57,almari,lemari
58,Al-Qur'an,Al-Qur'an
59,Al-Qur’an,Al-Qur’an
60,aluminium,alumunium
61,aluminum,aluminium
62,Amazon,Amazon
63,Amerika,Amérika
64,Amos,Amos
65,Amsal,Wulang Bebasan
66,Amsterdam,Amsterdam
67,Amu Darya,Amu Darya
68,anai-anai,laron
69,anak,lare
70,anak babi,genjik
71,anak mata,pupil
72,anak perempuan,putri
73,anarkisme,anarkisme
74,ancuk,ancok
75,anda,ko
76,Andora,Andorra
77,Andorra,Andorra
78,Andorra la Vella,Andorra la Vella
79,anestesi,anestesi
80,anggar,anggar
81,anggur,anggur
82,angin,angin
83,Angola,Angola
84,angsa,banyak
85,Anguilla,Anguilla
86,anion,anion
87,anjing,asu
88,anjing gembala Jerman,asu herder Jerman
89,anjing rakun,rakun
90,anjiŋ,asu
91,Antartika,Antartika
92,antibodi,antibodi
93,Antillen Belanda,Antillen Walanda
94,antimon,antimon
95,antioksidan,antioksidan
96,antraks,antraks
97,anus,anus
98,aorta,aorta
99,apa,apa
100,apel,apel
101,apendiks,umbai cacing
102,api,geni
103,April,April
104,april,april
105,Arab Saudi,Arab Saudi
106,araneo,angga-angga
107,Argentina,Argentina
108,Aries,Aries
109,Aristoteles,Aristoteles
110,arsenik,arsenik
111,arsitektur,arsitéktur
112,arteri,pambuluh nadi
113,Aruba,Aruba
114,asam,asam
115,asam amino,asam amino
116,asam asetat,hidrogen asetat
117,asam cuka,hidrogen asetat
118,asam deoksiribonukleat,asem déoksiribonukleat
119,asam etanoat,hidrogen asetat
120,asam jawa,asem jawa
121,asam metanakarboksilat,asam asetat
122,asam nitrat,hidrogen nitrat
123,asam sulfat,asam sulfat
124,asap,kukus
125,asetilena,asetilena
126,asetil hidroksida,hidrogen asetat
127,Asia,Asia
128,Asia Selatan,Asia Kidul
129,Asia Tenggara,Asia Kidul-wétan
130,asin,asin
131,askariasis,askariasis
132,astrologi,astrologi
133,astronomi,astronomi
134,atap,empyak
135,atau,utawa
136,ateisme,atéisme
137,Athena,Athena
138,atlas,atlas
139,Australia,Australia
140,Austria,Austria
141,Austria-Hongaria,Austria-Hungaria
142,awan,mega
143,Awan Oort,Awan Oort
144,awas,ati-ati
145,ayah,bapak
146,ayahanda,bapak
147,ayam,pitik
148,ayatullah,ayatollah
149,Ayub,Ayub
150,Azerbaijan,Azerbaijan
151,aŋin,hangin
152,babi,babi
153,babi hutan,celeng
154,babi jantan,celeng
155,bacot,congor
156,badai,prahara
157,badak,warak
158,badan,badan
159,"Badan Pendidikan, Ilmu Pengetahuan dan Budaya Perserikatan Bangsa-Bangsa","Organisasi Pendhidhikan, Èlmu Kawruh, lan Kabudayan Perserikatan Bangsa-Bangsa"
160,bagaimana,kados pundi
161,bagian,bagean
162,bagus,apik
163,bahasa,basa
164,bahasa aceh,basa aceh
165,bahasa akkadia,basa inggris
166,bahasa albania,basa albania
167,bahasa aragon,basa yunani
168,bahasa bali,basa bali
169,Bahasa Bosnia,Basa Bosnia
170,bahasa bosnia,basa bosnia
171,bahasa bugis,basa bugis
172,Bahasa Faroe,basa Faroe
173,bahasa Ibrani,basa Ibrani
174,bahasa ibrani,basa ibrani
175,bahasa Indonesia,basa Indonesia
176,bahasa indonesia,basa indonésia
177,Bahasa Inggris,Basa Inggeris
178,bahasa Inggris,basa Inggris
179,bahasa inggris,basa inggris
180,Bahasa Jawa,Basa Jawa
181,bahasa Jawa,basa Jawa
182,bahasa jawa,basa jawa
183,Bahasa Jepang,basa Jepang
184,bahasa Jepang,basa Jepang
185,bahasa Jerman,basa Jerman
186,bahasa jerman,basa jerman
187,bahasa kasar,pisuhan
188,bahasa kawi,Kawi
189,bahasa kotor,pisuhan
190,bahasa kroasia,basa kroasia
191,bahasa latin,basa latin
192,bahasa Madura,basa Madura
193,bahasa madura,basa madura
194,bahasa Melayu,basa Melayu
195,bahasa melayu,basa melayu
196,bahasa Moldova,basa Moldova
197,bahasa Navajo,basa Navajo
198,bahasa nepal,basa nepal
199,bahasa pali,basa pali
