,source,target
0,abu,abu
1,adik,dunsanak
2,Afganistan,Afganistan
3,Afghanistan,Afganistan
4,air,aie
5,akar,ureʔ
6,aku,ambo
7,Albania,Albania
8,Aljazair,Aljazair
9,Allah,Allah
10,anak,anaʔ
11,anda,aŋ
12,Andorra,Andorra
13,angin,angin
14,anjiN,anj~iaN
15,anjing,anjiang
16,anjiŋ,anjiaŋ
17,anZiN,anj~iaN
18,apa,apo
19,api,api
20,Artikel Wikipedia,Artikel Wikipedia
21,asap,asoʔ
22,atap,atok
23,awan,awan
24,ayah,apaʔ
25,aŋin,angin
26,bagaimana,baʔa
27,bagus,eloʔ
28,bahasa,baso
29,bahasa Inggris,baso Inggirih
30,bahasa Minangkabau,Baso Minang
31,bahasa Sunda,bahaso Sunda
32,bahu,bāu
33,baik,eloʔ
34,bapak,apaʔ
35,baru,baru
36,basah,busah
37,batu,batu
38,bekerja,bakarajo
39,belakaŋ,puŋguaŋ
40,belok,keloʔ
41,bélok,keloʔ
42,belulaN,kulik
43,benar,bana
44,berat,bareʔ
45,berbaring,bagoleʔ
46,berbariŋ,bagoleʔ
47,berbicara,maŋeceʔ
48,berburu,baburu
49,berdiri,tagaʔ
50,berenang,baranaŋ
51,berenaŋ,baranaŋ
52,berfikir,bapikie
53,berjalan,bajalan
54,berkata,maŋeceʔ
55,bermimpi,barasian
56,bernafas,baaŋoʔ
57,bernapas,baaŋoʔ
58,bersembunyi,mandoʔ
59,bertiup,burambuih
60,besar,gadaŋ
61,bibi,etek
62,bibit,baniah
63,biji,baniah
64,bila,bilo
65,bintaN,bint~aN
66,bintang,bintang
67,bintaŋ,bintang
68,buah,buah-buahan
69,buah-buahan,buah-buahan
70,buah dada,susu
71,buaya,buayo
72,bukan,indaʔ
73,bulan,bulan
74,bulu,bulu
75,bunda,amaʔ
76,bunga,buŋo
77,buntut,ikua
78,burung,buruang
79,buruŋ,buruaŋ
80,busuk,busuaʔ
81,buŋa,buŋo
82,cacing,caciaŋ
83,caciŋ,caciaŋ
84,dada,susu
85,daging,dagiaŋ
86,dagiŋ,dagiaŋ
87,dagu,daguak
88,dahan,dahan
89,dan,dan
90,danau,danau
91,darah,darah
92,dataN,tibo
93,datang,tibo
94,dataŋ,tibo
95,daun,daun
96,debu,abu
97,dekat,dakeʔ
98,delapan,salapan
99,di,di
100,[d]ia,ño
101,dia,ño
102,[di] atas,di ateh
103,di atas,di ateh
104,di bawah,di bawah
105,[di] dalam,di dalam
106,di dalam,di dalam
107,di mana,dima
108,dimana,dima
109,dingin,diŋin
110,divisi,divisi
111,diŋin,diŋin
112,dua,duo
113,duan,daun
114,dua puluh,duo puluah
115,duduk,duduaʔ
116,ekor,ikua
117,ékor,ikua
118,empat,ampek
119,enam,anam
120,eŋkau,aŋ
121,gadis,upiak
122,garam,garam
123,gempa bumi,gampo bumi
124,gemuruh,guruah
125,gigi,gigi
126,gigit,maŋgigiʔ
127,gunting,guntiang
128,guntur,guruah
129,hari,hari
130,hati,jantuang
131,hiduN,iduaN
132,hidung,iduaŋ
133,hidup,iduiʔ
134,hiduŋ,iduaŋ
135,hijau,ijau
136,hitam,itam
137,hujan,hujan
138,hutan,rimbo
139,ibu,amaʔ
140,ikan,ikan
141,ikut,tibo
142,ini,iko
143,%insan,uraN
144,isi perut,tambonsu
145,isteri,bini
146,itu,tu
147,jahat,jaeʔ
148,jalaN,labuah
149,jalan,labuah
150,jamur,cindawan
151,janggut,jangguik
152,jantung,jantuang
153,jarum,pinjaiʔ
154,jatuh,jatuah
155,jauh,juuah
156,Jazirah Arab,Jazirah Arab
157,kabut,kabuiʔ
158,kacoa,lipeh
159,kakak,dunsanak
160,kaki,tuŋkai
161,kaki seribu,kulum-kulum
162,kalau,kalau
163,kami,kito
164,kamu,aŋ
165,kanan,suoʔ
166,kanjut,kalempong
167,kapan,bilo
168,kayu,kayu
169,kecil,keteʔ
170,kecoa,lipeh
171,kecoak,lipeh
172,Kekristenan,Karisten
173,kelabang,sipasan
174,kemaren,kapatang
175,kepala,kapalo
176,kerbau,kabau
177,kering,kariaŋ
178,keringat,paluah
179,keriŋ,kariaŋ
180,ketawa,galaʔ
181,kilat,kileʔ
182,kiri,kida
183,kita,kito
184,kontol,kalempong
185,koronavirus,koronavirus
186,kotor,kumuah
187,Kristen,Karisten
188,kulit,kulik
189,kuning,kuniaŋ
190,kuniŋ,kuniaŋ
191,%kupiN,taliNo
192,kupiŋ,taliŋo
193,kusta,kusta
194,kutu,kutu
195,laba-laba,lawah-lawah
196,lain,lain
197,laki-laki,laki-laki
198,lama,tuo
199,lambuŋ,tambonsu
200,langit,laŋiʔ
201,lapan,salapan
202,laut,lauiʔ
203,laŋit,laŋiʔ
204,lebar,laweh
205,lébar,laweh
206,leher,lihie
207,léhér,lihie
208,lemak,gomoʔ
209,lengan atas,pangka langan
210,lidah,lidah
211,lihat,malie7
212,lima,limo
213,lima puluh,limo puluah
214,lipan,sipasan
215,luas,laweh
216,makan,makan
217,malam,malam
218,malu,malu
219,mangunyah,maŋuñah
220,mata,mato
221,mati,mati
222,melempar,mambaeka...
223,melémparkan,mambaeka...
224,melihat,malieʔ
225,meludah,maliue
226,meludahi,maliue
227,memanjat,naiaʔ
228,memasak,mamasaʔ
229,membakar,mambaka
230,membelah,mambalah
231,membeli,mambali
232,membengkak,mambaŋka
233,membeŋkak,mambaŋka
234,membuka,mambuka
235,membunuh,mambunuah
236,memegang,mamaeiʔ
237,memegaŋ,mamaeiʔ
238,memeras,maramoh
239,memikir,bapikie
240,memilih,mamilieh
241,memotong,maŋareʔ
