,indonesian,sundanese
0,abu,abu
1,abu,hawu
2,abu,lebu
3,adopsi,adopsi
4,aduh,adeuh
5,aduh,aduh
6,aduh,alah
7,aduh,euh
8,aduh,euleuh
9,aktif,aktif
10,aktif,mincrak
11,aku,abdi
12,aku,abdi 
13,aku,aing
14,aku,kuring
15,aku,urang
16,alam,alam
17,alasan,alesan
18,aman,aman
19,amat,meuni
20,amat,pisan
21,ambil,bantun
22,ambil,candak
23,ambil,cokot
24,ambil,gadag
25,ambil,nyandak
26,ambil,nyokot
27,ancam,ancem
28,ancam,ngancam
29,ancaman,ancaman
30,ancaman,anceman
31,aneh,aheng
32,aneh,aneh
33,anehnya,ahengna
34,anehnya,anehna
35,anggun,alus
36,anggun,anggun
37,anggun,geulis
38,anggun,sae
39,anti,anti
40,antisipasi,antisipasi
41,antisipasi,nyegah
42,api,seuneu
43,apresiasi,muji
44,apresiasi,ngahargaan
45,asing,asing
46,asing,sanes
47,asing,sejen
48,asyik,asik
49,asyik,pogot
50,asyik,uplek
51,badass,ajib
52,badass,badass
53,badass,sae
54,bagi,jang
55,bagi,kanggo
56,bagi,ngabagi
57,bagus,alus
58,bagus,hade
59,bagus,sae
60,bahagia,atoh
61,bahagia,bagja
62,bahagia,bingah
63,bahagia,bungah
64,bahagia,seneng
65,bahaya,bahaya
66,bahaya,cilaka
67,baik,alus
68,baik,bageur
69,baik,enya
70,baik,sae
71,ban,ban
72,bangga,agul
73,bangga,reueus
74,bantu,banteun
75,bantu,bantos
76,bantu,bantun
77,bantu,mantuan
78,bantu,tulung
79,batal,batal
80,batal,bedo
81,batal,bolay
82,batas,watas
83,batas,wates
84,bebas,bebas
85,bebas,leupas
86,beberapa,babaraha
87,beberapa,sababaraha
88,bela,bela
89,belakang,pengker
90,belakang,tukang
91,benar,baleg
92,benar,bener
93,benar,ecreug
94,benar,leres
95,bencana,bala
96,bencana,bencana
97,bencana,musibah
98,benci,ceuceub
99,benci,ijid
100,benci,ngewa
101,berani,ludeung
102,berani,wani
103,berani,wantun
104,berarti,hartina
105,berarti,hartosna
106,berat,abot
107,berat,beurat
108,berbahaya,ngabahayakeun
109,berbahaya,ngacilakakeun
110,berbahaya,picilakaeun
111,berdarah,getihan
112,berdoa,ngadoa
113,berdoa,ngadu'a
114,berdoa,ngadua
115,berduka,berduka
116,berduka,hanjelu
117,berguna,guna
118,berguna,mangpaat
119,berhak,berhak
120,berharap,ngaharepkeun
121,berharap,nyangharepan
122,beri,bere
123,beri,masihan
124,beri,mere
125,beri,pasih
126,berkomitmen,komitmen
127,berkomitmen,ngomitmen
128,berlebihan,leuleuwihan
129,berlebihan,mubazir
130,bermanfaat,aya gunana
131,bermanfaat,mangpaat
132,bersaing,nyaingan
133,bersaing,saing
134,bersaing,saingan
135,bersama,bareng
136,bersama,sareng
137,bersedih,hanjelu
138,bersedih,keur sedih
139,bersembunyi,nyumput
140,bersorak,ngagorowok
141,bersorak,nyorakan
142,bersorak,nyurakan
143,besar,ageung
144,besar,badag
145,besar,gede
146,biadab,biadab
147,biadab,telenges
148,biaya,biaya
149,biaya,waragad
150,bingung,bingung
151,bingung,ewed
152,bingung,ruwed
153,bingung,talimbeng
154,bodoh,belet
155,bodoh,bodo
156,bohong,bohong
157,bohong,debul
158,bohong,waduk
159,bohong,wadul
160,bom,bom
161,buka,buka
162,buka,muka
163,bunga,kembang
164,bungkam,balem
165,bungkam,bungkem
166,bungkam,cicing
167,bunuh,maehan
168,bunuh,munuh
169,bunuh,paehan
170,bunuh diri,bunuh diri
171,bunuh diri,maehan sorangan
172,buruk,awon
173,buruk,butut
174,buruk,goreng
175,buruk,teu sae
176,buta,buta
177,buta,lolong
178,cantik,ayu
179,cantik,geulis
180,cantik,sae
181,capai,cape
182,capai,hontal
183,cari,milarian
184,cari,neangan
185,cari,pilari
186,cari,siar
187,cari,teang
188,cedera,bareuh
189,cedera,geuring
190,cedera,luka
191,cegah,cegah
192,cegah,nyegah
193,cegah,pahing
194,cemas,hariwang
195,cemas,ringrang
196,cemas,watir
197,cepat,enggal
198,cepat,gancang
199,cerdas,calakan
200,cerdas,pinter
201,cinta,bogoh
202,cinta,geugeut
203,cinta,tresna
204,cium,ambeu
205,cium,cium
206,cocok,cocog
207,copet,copet
208,damai,damai
209,damai,merenah
210,damai,tengtrem
211,dapat,menang
212,dapat,tiasa
213,daya,daya
214,daya,walakaya
215,diabaikan,diantepkeun
216,diam,anteng
217,diam,cicing
218,diam,jedog
219,diancam,diancam
220,diancam,diancem
221,dibersihkan,diberesihkeun
222,dibersihkan,dikumbah
223,dicuri,dicolong
224,dicuri,dipadog
225,dicuri,dipaling
226,dicuri,dipaok
227,dihukum,dihukum
228,dikalahkan,dielehkeun
229,dikalahkan,dikawonkeun
230,dipercaya,dipercanten
231,dipermalukan,dieera
232,dipermalukan,dipikangewa
233,dipertanyakan,dipertaroskeun
234,dipertanyakan,ditaros
235,diprovokasi,diprovokasi
236,diprovokasi,diwisuna
237,disebut-sebut,dicarioskeun
238,disebut-sebut,disebat
239,ditakuti,disieunan
240,ditakuti,disingsieunan
241,ditangkap,ditangkeup
242,ditangkap,ditewak
243,diteror,diteror
244,ditinggalkan,ditinggal
245,ditinggalkan,ditinggalkeun
246,ditingkatkan,dironjatkeun
247,ditingkatkan,ditingkatkeun
248,dituduh,dituduh
249,ditunda,ditunda
250,doa,du'a
251,doa,dua
252,doktrin,doktrin
253,duka,duka
254,duka,hanjelu
255,duka,sedih 
256,dukung,dukung
257,dukung,rojong
258,dukungan,dukungan
259,dukungan,rojongan
260,efektif,efektif
261,efektif,tokcer
262,eksklusif,eksklusif
263,eksklusif,khusus
264,empati,empati
265,fitnah,fitnah
266,fitnah,jerum
267,fokus,fokus
268,gagah,digjaya
269,gagah,gagah
270,gagah,mandraguna
271,gagal,bedo
272,gagal,bolay
273,gagal,gagal
274,gampang,cetek
275,gampang,gampang
276,gampang,gampil
277,ganggu,ganggu
278,ganggu,open
279,gaya,ceta
280,gaya,gaya
281,gelap,poek
282,gentar,gentar
283,gentar,giler
284,gertak,gertak
285,gertak,nyentak
286,gila,burung
287,gila,gelo
288,guncang,endag
289,guncang,eundeur
290,guncang,goncang
291,guncangan,endagan
292,guncangan,eundeuran
293,guncangan,goncangan
294,ha,ha
295,habis,beak
296,habis,ledis
297,habis,seep
298,hal,hal
299,hal,ihwal
300,hal,perkawis
301,hancur,ancur
302,hantu,demit
303,hantu,jurig
304,harapan,harapan
305,harapan,harepan
306,harga,hargi
307,harga,pangaos
308,harta,harta
309,hasil,hasil
310,hati,ati
311,hati,hate
312,hati-hati,ati-ati
313,hati-hati,hati-hati
314,hebat,dahsyat
315,hebat,hade
316,hebat,hebat
317,heboh,geger
318,heboh,heboh
319,heboh,rame
