,indonesian,toba_batak
0,abu,abu
1,abu,orbuk
2,abu,sirabun
3,abu,sorbuk
4,adopsi,adopsi
5,adopsi,ain
6,adopsi,angkat
7,adopsi,jakhon
8,aduh,abak
9,aduh,ago
10,aduh,agoh
11,aduh,agoi
12,aduh,amangjo
13,aduh,daga
14,aduh,ue
15,aktif,aktif
16,aktif,hicca
17,aktif,mangolu
18,aku,ahu
19,aku,au
20,aku,iba
21,alam,alam
22,alam,lung
23,alam,portibi
24,alasan,dalian
25,alasan,mutmut
26,alasan,perbonsiran
27,alasan,sidalian
28,aman,aman
29,aman,dame
30,aman,lantas
31,aman,sonang
32,amat,hian
33,amat,mansai
34,amat,tung
35,amat,utus
36,ambil,ahut
37,ambil,ait
38,ambil,buat
39,ambil,horus
40,ambil,jomput
41,ancam,ancam
42,ancam,asup
43,ancam,asupi
44,ancam,ondam
45,ancaman,ancaman
46,ancaman,asupan
47,ancaman,oga-oga
48,ancaman,ondaman
49,ancaman,pulas
50,aneh,asing
51,aneh,tandi
52,anehnya,asing nai
53,anehnya,asingnai
54,anehnya,oing
55,anggun,bagak
56,anggun,tongam
57,anggun,uli
58,anti,alo
59,anti,musu
60,anti,sogo
61,anti,tundal
62,antisipasi,alatan
63,antisipasi,hatiaan
64,antisipasi,tagam
65,antisipasi,ulpukan
66,api,api
67,apresiasi,pamuntenon
68,apresiasi,pasangaphon
69,apresiasi,pujian
70,asing,asing
71,asing,leban
72,asing,pinjil
73,asyik,lengen
74,asyik,noni
75,asyik,tabo
76,badass,mantap
77,bagi,bagi
78,bagi,ris
79,bagi,sagi
80,bagus,bagak
81,bagus,bulus
82,bagus,denggan
83,bagus,jeges
84,bagus,lehet
85,bagus,uli
86,bahagia,antu
87,bahagia,bahagia
88,bahagia,dame
89,bahagia,sonang
90,bahaya,mamis
91,bahaya,mara
92,bahaya,marhinamago
93,bahaya,parmaraan
94,baik,bage
95,baik,bajur
96,baik,burju
97,baik,denggan
98,baik,lengket
99,baik,uli
100,baik,une
101,ban,ban
102,bangga,aga
103,bangga,anggar
104,bangga,asang
105,bangga,bangga
106,bangga,menga
107,bantu,tolopi
108,bantu,tumpaki
109,bantu,urupi
110,batal,dang jadi
111,batal,ndang jadi/saut
112,batal,sengsang
113,batal,sitel
114,batal,sundat
115,batas,balok
116,batas,batas
117,batas,bolat
118,batas,olat
119,batas,talpak
120,bebas,lentes
121,bebas,lomo
122,bebas,lungkas
123,bebas,malua
124,bebas,manalentes
125,beberapa,manang na piga
126,beberapa,piga-piga
127,beberapa,sasadia
128,bela,ampin
129,bela,ampini
130,bela,ondi
131,bela,tuturi
132,belakang,huduk
133,belakang,pudi
134,belakang,pudi-pudi
135,belakang,tundal
136,benar,bonar
137,benar,peto
138,benar,sintong
139,benar,tingkos
140,benar,toho
141,benar,tongon
142,benar,tutu
143,bencana,bala
144,bencana,mara
