id,lang,source,target
219,aceh,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Neumeuseunang ngon neubayeue bacut-bacut angsuran 0% persen sampoe dua blah buleuen keu nyang bloe tiket kapai teureubang ngon keureutu kredit BNI!
209,aceh,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Kueh nyang dihidang peuingat lon masa dilee. Bandum moden kueh jameun, get dari beuntuk atawa rasa. Kuehjih mangat dan yum pih murah."
436,aceh,Ibu pernah bekerja di grab indonesia,Ibu tom geukereuja bak Grab Indonesia
394,aceh,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paleng galak ta pajoh bu leuho inoe, manok ngon sambaijih mangat yum pih luar biasa hemat, rasa manok meunyuem troh bak tuleueng, eh lidah buaya pih segar jeuet keu peulieupie pruet lheuh tapajoh sambai nyang keueung, ureueng kereuja pih ligat dan rumeh, nyang lon galak bak tempat bayeue na dituleh siploh persen disumbang keu amai, sehingga 'oh ta pajoh leubeh mangat teuh prut."
592,aceh,Pelayanan bus DAMRI sangat baik,Peulayanan bus DAMRI cukop get
317,aceh,Mau bikin postingan yang isinya mengedukasi customers gojek.,Meuheuet peuget postingan nyang asoejih jeut keu sarana peurunoe awak pakek gojek
352,aceh,Ratusan rumah di medan terendam banjir,Meureutoh rumoh di Medan keunong ie raya
751,aceh,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barangjih lumayan, tapi nyang lon hireun xiaomi rednote 2 nyoe tombol peuudep cit lagee ka reuloh? lheuh nyan batre peue cit bagah that abeh toke?"
856,aceh,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Payah that ta pateh ureueng nyang ka tom ji meukhianat
504,aceh,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Lokasi di Gombel ngon pemandangan Semarang, jak keuh watee malam uroe sebab na deuh lampu kota, makanan mangat steak dan te hangat menu wajeb disinoe, taduek di luwa seubab angen sijuk leupie."
