id,lang,source,target
219,bali,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Nikmati cicilan 0% kanti 12 bulan antuk pemesanan tiket pesawat air asia nganggen kartu kredit bni!
209,bali,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Jaje-jaje ne sane kasajiang ngaenang tiang bernostalgia. Makejang sakadi jaje jaman ipidan, uli penampilanne tur  rasa ne. Jajene jaan lan ajine mudah. "
436,bali,Ibu pernah bekerja di grab indonesia,Ibu naenang makarya ring grab Indonesia
394,bali,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paling demen sajan ngajeng siang driki be siap lan sambelne jaen sajan ajine jeg mudah sajan, rasan be siap ne ngresep kanti ke tulang ne , es lidah buayane masih seger ngae adem waduk sesampun ngajeng sambel sane lalah, pelayan ne sigap lan ramah, sane demenin tiang ring genah kasir wenten tulisan 10% kanggen nyumbang dados wantuan, ngajeng ngrasa lebih jaen ke waduk. "
592,bali,Pelayanan bus DAMRI sangat baik,Pelayanan bus DAMRI luung pesan. 
317,bali,Mau bikin postingan yang isinya mengedukasi customers gojek.,Dot ngae postingan sane isine mengedukasi customers gojek.
352,bali,Ratusan rumah di medan terendam banjir,Satusan umah ring medan merendem banjir
751,bali,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barange lumayan, nanging sane tiang heran xiaomi redmi note 2 niki tombol onne mula agak usak? Terus batre mula enggal low bat bos?"
856,bali,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Keweh sajan ngugu anak ane suba taen berkhianat
504,bali,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Tongos ring gombel ajak pemandangan semarang, tekalah peteng krana lampu kota lakar ngenah, ajengan jaan steak lan teh anget menu wajib dini, jemak spot diwang krana udara dingin lan sejuk"
13,bali,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","Dugas ento mai mesen nasi goreng lan kentang goreng, nasi gorengne makejang demen. Kentang gorengne jaan pesan, lan carane nyajiang luung. Keluarga ngorahang kopine jaan. Ane paling melah dini minakadi tongosne jimbar lan sane di sisi ngidang ningalin palemahan dusun bamboo, nanging pelayananne makelo mawinan tiang mekeneh metakon mekudang-kudang indik pesenan tiang. Ajine cukup mael, nanging krana  makejang ajengane jaan dadine ten kenapi. Ten perlu makeneh dua kali yening kal meriki. "
978,bali,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","Nasi goreng thailang ring harga 35 tali, polos, ada be siap suir gen abedik. Seafoodne sing ada."
570,bali,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","Sekadi ane iraga tawang, brownies ane asli uli amerika sekadi punika jaja bantat ane mula warnane cokelat. Toko amanda ngae kreasi brownies ajak masakne ngukus. Brownies kukus ne tusing banget. Teksturne malah patuh ajak bolu biasa. Jadi menurut tiyang, ne tusing brownies. "
