id,lang,source,target
219,bugis,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,pirasai cicilan 0% lettu 12 uleng ko mappesang tike' pesawa' air asia pake kartu kredi'na bni!
209,bugis,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","beppa-beppa na taroe mapparingerrang. beppa riolo maneng, rupanna na re'ga rasana. malunra' beppana na masempo"
436,bugis,Ibu pernah bekerja di grab indonesia,pura emmakku ma'jama okko grab indonesia
394,bugis,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Laipoji ladde' manre tangesso okkoe manu' sibawa sambala' na malunra' ladde' ellinna maka topa sempo, rasa na manu'na mattemme' lettu' buku bukunna, Ese' lilla buayana aga makessing nacekkeri wettang e purata' manre sambala' pesse. Pajjamana magetti na ma bessa, iyae upojiangngi ri anroang kassere' na engka oki 10% laiyassumbangeng lao makkamala', napancajiwi anrewe pede' malunra' tama okko wettang e"
592,bugis,Pelayanan bus DAMRI sangat baik,Appangaderenna bus DAMRI maka kanja'
317,bugis,Mau bikin postingan yang isinya mengedukasi customers gojek.,Melo makkabbua postingan iya ise' na paddissengeng lao ri tau pake e gojek.
352,bugis,Ratusan rumah di medan terendam banjir,Maddatu bola okko medan nala lempe'
751,bugis,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","warangna biasa, cuma herangma mitai iyye xiaomi redmi note 2 tombolo onna masolang memeng ga? nappa batrenna masija' memeng ga low bat bos?"
856,bugis,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Mawatang ladde' tepperi tau iya purae mabbelle
504,bugis,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Anroanna okko gombel  iya pattiroanna semarang, engka ki' ko wenni i nasaba' lampunna kota e pitai, anre-anre malunra'  na steak sibawa teng pella mancaji menu mattette' okkoe, alaki anroang ri saliweng nasaba anging na macekke' dan ma mappamekke."
