id,lang,source,target
219,english,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!
209,english,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.",The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive
436,english,Ibu pernah bekerja di grab indonesia,Mom once worked for grab indonesia.
394,english,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach."
592,english,Pelayanan bus DAMRI sangat baik,The DAMRI Bus service is really good
317,english,Mau bikin postingan yang isinya mengedukasi customers gojek.,Wanna make some posts with contents that educate Gojek customers.
352,english,Ratusan rumah di medan terendam banjir,Hundreds of houses in Medan were submerged by the flood
751,english,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? "
856,english,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Really hard to trust people who had betrayed us before
504,english,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy."
13,english,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out."
978,english,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood."
570,english,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies."
489,english,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan","If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery."
862,english,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.","The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands "
774,english,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,"One of the most delicious culinary areas around. However, that just makes it hard to choose what to eat. In the end, I got myself a kerak telor and mie kocok while waiting for the music show with nostalgic western songs. Pretty recommended"
950,english,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,"To clarify, you may come to the corresponding branch office of Mandiri Bank during working hours in workdays to make a cash exchange."
614,english,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Rode on the Jayabaya train from Malang to Jakarta, stopped in Gubeng, the ticket costed 35 thousand plus 6k insurance via Traveloka."
569,english,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,DPR shows appreciation towards women's participation in the 2018 Regional Elections
666,english,"Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa.","I came to have dinner with my fam. It was our first time coming here. It wasn't too crowded. For the interior. it was rather filthy in my opinion. There were leftover morsles on the floor and table, seemed like it wasn't cleaned properly. For the food flavour, it was standard. Nothing to write home about."
965,english,"Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap.","Please remind the council not to forget revising the Perppu for Mass Organisations and if they don't revise it, then several factions from the public will not take this lying down."
486,english,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas,Cassava chips are the most delicious and appropriate snack to accompany me during assignment time.
545,english,"Batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain. Makanannya enak, terutama batator dan siomay serta basonya dan tidak pakai pengawet. Dan jika ingin buat oleh-oleh ada paket yang bisa dibawa pulang. Dipertahankan lagi kualitasnya.","Batagor and Siomay Kingsley doesn't have any branches outside this one. The food's great, especially the batagor and siomay as well as the baso, also none of them contain any preservatives. And if you're looking for a gift, there's a package you can take home. Keep the good quality going.  "
707,english,"Jangan pernah pesan melalui layanan ini ya teman-teman. Mengecewakan! Villa -nya kotor, semua peralatannya tidak layak pakai","Never order from this service, my friends. Utterly disappointing! The villa was dirty, and all the appliances were unusable"
514,english,"Pendaftaran mulai esok, kementerian kominfo buka beasiswa pelatihan digital untuk 1.000 orang","Registrations starts tomorrow, Ministry of Communication and Informatics offers Digital Training Scholarships for 1000 people. "
855,english,"Sebagai netijen yang baru april lalu piknik ke toba, hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana. Parapat -nya kotor, susah cari akomodasi yang benar-benar bagus, agen transportasi tidak profesional, pokoknya tidak direkomendasikan pergi ke parapat.","As a netizen who went on a picnic to Toba just last April, I just wanna say that there are indeed a lot of disappointments coming from the tourism system there. Parapat was dirty, it was hard to find actually good accomodations, the transport agents were unprofessional, just don't bother, Parapat is not recommended at all."
412,english,Kotor banget dan tidak di hiraukan oleh pelayan restoran. Mengecewakan sekali pelayanannya!,The place was so dirty and I was ignored by the servers. The service was so disappointing
590,english,"Tempatnya menurut saya biasa saja, kurang bersih. Makanannya pun biasa saja.","The place is mediocre for me. Not that clean, the food is also nothing special."
456,english,"Untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa-biasa saja. Yang mengecewakan adalah kualitas makanannya. Makanan hanya sekedar masak saja. Untuk kelas kuliner bandung yang enak-enak, ini mengecewakan. Ada karcis masuk per orang 10.000 dan mobil 15.000.","For the effort it took to get to this place, the payoff was so-so. The disappointing part was the food quality. It was the barest minimum effort for making a meal. For the high standard of Bandung culinary, this was a letdown. Not to mention there was an entry ticket, 10.000 per person and 15.000 for cars"
467,english,Saya sekeluarga sedang cari tempat makan habis nonton. Kami bosan makan di resto / kafe di mal. Tiba-tiba terlihat resto di kanan jalan. Sudah lama kami tidak makan kari. Mampirlah kami ke resto yang tergolong kecil hanya 9 meja. Ternyata enak tempat dan makanannya.,"My family and I were looking for a place to eat after watching a movie. We were bored with eating in restaurant / cafe in the mall. Suddenly we saw a restaurant on the right side of the street. We hadn't eaten curry in a long time. We stopped by a considerably small resto, with only 9 tables. Turns put the place was comfortable and the food was delicious."
852,english,Kopi starbucks kenapa bisa enak banget sih,How can the Starbucks coffee taste this good
861,english,"Katanya di sana akan dibangun transmart, di sebelah bangunan itu.","I heard they'll build a Transmart there, next to that building"
628,english,"Sungguh pengalaman unik, makan di tengah sawah di antara padi yang hampir menguning. Dengan pilihan menu yang variatif, penyajian yang menarik dan menggugah selera.","Truly a unique experience, eating in the middle of the ricefields among the yellowing rice. With a variety of menu choices, the presentation is interesting and appetising."
181,english,"Makan bersama dengan para sistah beberapa waktu yang lalu, tempat nyaman, enak buat nongkrong, pelayanan bagus. Dah beberapa kali makan di sini.","Dined togetha with da sistahs a lil' bit ago, cosy place, nice to hang out, good service. Have gone ta this place multiple times."
208,english,"Tempat oleh-olehnya lengkap dan cukup nyaman, mudah dijangkau, harganya terjangkau, serta pelayanannya ramah","The souvenir shop has pretty much everything and is pretty comfortable, the goods are easy to reach, affordable, and it has great service."
122,english,"Hai eviana, mohon maaf atas ketidaknyamanannya. Untuk kontak dari indosat dapat mengakses tautan ini: Silakan pengecekan ya. Terima kasih. Erf","Hi Eviana, we are sorry for the inconvenience. You can contact Indosat by clicking the following link. We implore you to check it out. Thank you. Erf."
655,english,Menunya indomie sama roti bakar. Untuk tempat sama seperti cabang yang lainnya nyaman buat kumpul. ,The menu's Indomie and toasts. The place is just the same as the other branches: comfortable for hanging out.
182,english,"Sambal dengan daun serawung, tomat, dan cabe rawit. Rasa sambal ini yang membuat kota di garut yang namanya cibiuk jadi terkenal. Sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng. Rasanya sangat enak. Selain di lengkokng cibiuk juga memiliki banyak cabang","Sambal with basil leaves, tomato and cayenne pepper. The flavour of this Sambal made the city called Cibiuk in Garut famous. fried gourami or with fried chicken. It tastes absolutely divine. Aside from Lengkong Cibiuk, they also have many other branches."
316,english,Saya sudah konfirmasi ke pihak gramedia tapi dilempar-lempar tak ada kejelasan. Pihak gramed sampai spv di outlet tersebut saling lempar dan menyebut tidak ada promo. Kecewa dilempar-lempar begitu,"""...Gramed's staff passed me..."""
216,english,"Selamat siang, jika ada hal lain yang bapak akan tanyakan dapat mention kami kembali. Terima kasih zan","Good afternoon. If there's anything you'd like to ask, just mention us again. Thank you, Zan"
865,english,"Menurut kami tempat ini biasa saja tidak ada atraksi atau pemandangan yang menarik dengan harga tiket 10000 / orang, kalau pemandangan gunung ya memang sudah seharusnya karena berada di daerah tinggi. Untuk wisata kuliner juga tidak terlalu banyak pilihan seperti tempat yang satu lagi.","We think this place is ordinary, no fun attractions or views for a 10.000 / person ticket. Well duh, the view of the mountains is a no-brainer for highland locations like this. The culinary side doesn't offer much options compared to the other place."
894,english,"Saya sudah menjadi pelanggan madtari sejak tahun 2002, saat itu masih berupa warung tenda kecil yang sangat ramai malam hari. Beberapa tahun silam menempati bangunan yang permanen, sejak itu saya merasa kualitasnya agak menurun dibandingkan dengan saat di warung tenda. Yang jelas, harga naik cukup signifikan, dibandingkan warung serupa, mungkin lebih mahal.","I've been a Madtari regular since 2002. At the time this place was just a small tent that overflowed with customers at night. A few years ago, after they moved to a permanent building, I thought that was when the quality dropped slightly compared to the tent days. One thing's for sure, the price went up significantly, even more expensive when compared to similar stalls."
329,english,"Komentar pertama sudah pasti venue yang kece, pelayanan ramah sekali, dan untuk menu yang dipilih adalah ikan bakar dan sop buntutnya yang aku kasih nilai 4 tapi buat es buah itu aku kasih nilai 5 ya!","First comment is that the venue is a banger, very nice service, and as for the chosen menu, it has to be the grilled fish and oxtail soup that I'd give a 4 for but for that iced fruit cocktail, I'd give a 5, yes!"
169,english,"Di restoran ini makanan yang disediakan banyak sekali dan harga cukup terjangkau, suasana yang enak dan nyaman","Terjemahan di sheet Translation sudah benar, tapi di sheet ini tidak lengkap"
374,english,Aku iri melihat kalian yang bisa menemukan kebahagiaan.,I'm jealous of how you guys can find happiness
558,english,Habis beli pulsa mau daftar paket internet gagal terus dan suruh mengulang terus di 363 dan tetap tidak bisa,After topping up my balance I wanna buy some internet package but it just keeps failing and tells me to try again in 363 and it still doesn't work.
776,english,"Tempatnya sangat bagus apa lagi malam hari dihias dengan lampu-lampu, sangat romantis. Cocok buat pasangan. Jauh dari keramaian. Udaranya sangat dingin. Kita dapat melihat keindahan kota dari atas.","The place is beautiful, especially at night with its decorative lights, so romantic. Perfect for couples. It's also far from the crowd. The air is so breezy, and we can see the town's beauty from above."
