id,lang,source,target
219,jawa,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Nikmatono cicilan 0% sampek 12 sasi dinggo pesen tiket kapal air asia nganggo kertu kredit bni!
209,jawa,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Roti-roti sing disajekne nggarai aku nostalgianan. Kabeh model roti jaman biyen, saka tampilane utawa rasa. Rotine enak lan regane uga mirah."
436,jawa,Ibu pernah bekerja di grab indonesia,Ibu uwis tahu kerja ing grab indonesia
394,jawa,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paling seneng banget mangan awan ing kene pithik karo sambele enak banget regane luwar biasa hemat, rasa pithike ngeresep nganti tekan balunge, es lidah buayane uga seger marakna adem wetenge sakbanjure mangan sambel sing pedes, pelayanane sigap lan grapyak, sing aku seneng ing panggon kasir ana tulisan 10% disumbangake kanggo amal, kanggo mangan dadi luwih enak ing weteng"
592,jawa,Pelayanan bus DAMRI sangat baik,Pelayanane bis DAMRI apik banget.
317,jawa,Mau bikin postingan yang isinya mengedukasi customers gojek.,Arep nggawe postingan sing isine ngedukasi pelanggan gojek.
352,jawa,Ratusan rumah di medan terendam banjir,Atusan omah ing medan kebanjiran
751,jawa,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barange lumayan, mung sung aku gumun xiaomi redmi note 2 iki tombol uripe tenan rada rusak? Banjur bateraine tenan cepet entek juragan?"
856,jawa,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Angel banget mercoyoi wong sing wis tau khianat
504,jawa,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Panggonan di gombel karo pemandangan semarang, tekao bengi merga lampu kutha bakale ketok, panganane enak steak lan teh anget menu wajib ning kene, njupuk spot ning jaba merga udara anyep lan sejuk"
