id,lang,source,target
219,madura,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Nikmati cecelan 0% sampek 12 bulen ghebey pamessenan karcis kapal air asia bik kartu kredit bni!
209,madura,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Jejen-jejen se esadiye'eghi ghebey makerrong engkok. Kabbhienna khas jejen jeman lambek, baik deri tampilanna otabe rassana. Jejenna nyaman ben regghena kiya mude."
436,madura,Ibu pernah bekerja di grab indonesia,Emak pernah alako e grab indonesia
394,madura,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paleng senneng ongghu ngakan aban e dinna' ajam bi' sambhel la nyaman ongghu ragghana ngoda, rassa ajamma masok dapa' ka tolang. Es lidah buayana kia ghabay seggher e tabu' samarena ngakan sambhel se peddes, palayanna sigap ban ramah, se engko' senneng e kennengngan majar bada tolesan 10% e sombangaghi ghabay amal, ghabay kakanan lebbi nyaman ka tabu'"
592,madura,Pelayanan bus DAMRI sangat baik,Pelayanan bis DAMRI bhegus sarah
317,madura,Mau bikin postingan yang isinya mengedukasi customers gojek.,Terro aghabay postingan se essena maghi pangajharan ka palanggan gojek.
352,madura,Ratusan rumah di medan terendam banjir,Ratosan bangko e medan  tarendem banjir.
751,madura,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barangnga pendhenan, pera' se engkok mengnga' xiaomi redmi note 2 riya tombol on na jhet bek rosak? Terros baterai jhek lekkas low bat jregan?"
856,madura,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Cek sulitte parcaje ka oreng se mare congoco.
504,madura,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Kennengngan e gombel bik pangabesen semarang, detengla malem polana dhemar kotta bhekal etangale, kakanan nyaman steak ben teh anga' menu wejib e diye, ngala' kennengngan e luar polana anginna cellep ben seggher"
