id,lang,source,target
219,ngaju,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Mengkeme angsuran nol% sampai  due welas bulan akan pameteh  tiket pesawat air asia hapan kartu kredit bni!
209,ngaju,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Wadai wadai je inyedia nampae aku bernostalgia. Uras wadai jaman huran, bahalap bara tempayah dengan angat. Wadai mangat tuntang rega ah murah."
436,ngaju,Ibu pernah bekerja di grab indonesia,Umay puji begawi hong grab indonesia
394,ngaju,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Paling sanang tutu kuman bentuk andau hong hetuh manuk hayak sambal ah manis menyak rega luar biasa hemat, angat manuk te tame merasuk sampai kan tulang ah, es lidah buaya te kea segar mawi sedingen kenai limbah kuman sambal ji bahari, pelayan te langkap dengan bejenta, ji aku sanang hong eka kasir tege tulisan sapuluh persen menengak akan beramal, mawi kuman jadi labih mangat kan kanai"
592,ngaju,Pelayanan bus DAMRI sangat baik,Pelayanan BUS Damri bahalap tutu
317,ngaju,Mau bikin postingan yang isinya mengedukasi customers gojek.,Handak mawi postingan je isi te mengedukasi customer gojek.
352,ngaju,Ratusan rumah di medan terendam banjir,Ratusan huma hong medan lelep awi banjir
751,ngaju,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Ramu ah sadang, cuma je aku hengan xiaomi redmi note due (2) tuh tombol onnya ah puna  agak rusak? Terus baterai puna cepat bakurang kah juragan?"
856,ngaju,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Bahali tutu mempercaya uluh ji jadi puji berkhianat.
504,ngaju,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Eka hung gombel dengan pemandangan semarang, dumah ih hamalem awi lampu kota tau tapayah, panginan mangat steak dengan teh balasut menu wajib hetuh, dua eka hung luar awi riwut te sadingen tuntang sejuk."
13,ngaju,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","Aku tuh sala ije ji ulun cukup setia dengan kampung daun bara awal buka hung tahun 2003 mun dia sala, kuallitas panginan pas nampara te bahalap, tapi bara sasar rami semakin ka hetuh, makanan je disediakan dia kilau biasa ah, dan kadang pelayan kilau cuek tutu, itah memeteh papire panginan tapi pas dumah panginan te jadi sadingen tuntang dia manarik, tapi eka bahalap."
978,ngaju,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","Bari sanga thailand hong rega telu puluh lime ribu, budas, baya tege suir manuk isut. Seafood nah jatunti."
570,ngaju,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","Kilau je itah katawan, brownies je asli bara amerika te wadai bantat puna berwarna coklat. Toko amanda mengkreasikan brownies dengan cara memasak ah bakukus. Brownies kukus tuh sama sinde dia tutu. Tekstur ampi sama ih kilau bolu biasa. Jadi kuangku, jituh beken brownies."
489,ngaju,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan","Amun dumah kan restoran tuh pas bujur halemei dengan hamalem, mimbit pasangan mangat tau mengkeme kamangat kuman hamalem ji romantis dengan tempayah ji mias kehalap ah"
862,ngaju,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.","Pengalaman haru pertama sukup mengesankan awi sukup tekejet sepuna limbah selesai memeteh penginan, ije biti staf menengak dawen pisang kan mejaku beken piring atau sendok, jadi amun kuman hetuh besiap ih akan kuman hapan lenge awi itah akan mengkeme sensasi unik dahang alas kuman te dawen pisang."
774,ngaju,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,Eka ije daerah kuliner je sukup menggugah belai. Baya jadi bingung kea mintih ah. Akhir ah aku nyoba kerak tanteluh tuntang mie kocok sambil mehining pertunjukan musik lagu lagu nostalgia barat. Sukup direkomendasikan.
950,ngaju,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,Akan memasti te indu tau dumah kan kantor cab bank mandiri tersewut pada andau tuntang jam begawi akan mahurup duit.
614,ngaju,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Mendai kareta jayabaya malang - jakarta tende hong gubeng, tiket telu puluh lime ribu dahang asuransi jahawen ribu bara traveloka"
569,ngaju,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,Dpr menengak apresiasi akan uluh bawi ji umba huang pilkada  due ribu hanya welas (2018)
