id,lang,source,target
219,sunda,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,Nikmati angsuran 0% dugi ka 12 bulan kanggo mesen tiket pasawat air asia nganggo kartu kiridit BNI!
209,sunda,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Kue anu disajikeun ngajantenkeun kuring nostalgia. Sadayana mangrupikeun khas tina zaman baheula, boh dina tampilan sareng rasa. Kuena ngeunah sareng hargina oge mirah."
436,sunda,Ibu pernah bekerja di grab indonesia,Ibu kantos ngadamel di grab indonesia
394,sunda,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Pang resepna tuang beubeurangan di dieu hayam sareng sambelna raos pisan pangaosna luar biasa hemat, rasa hayamna nyerep ka tulangna, es lidah buayana oge seger nyieun patuangan adem saatos tuang sambel nu lada, palayanna oge sigap sareng someah, nu ngajieun abdi resep di tempat kasir aya tulisan 10% disumbangkeun kanggo amal, ngajieun tuangeun leuwih raos ka patuangan."
592,sunda,Pelayanan bus DAMRI sangat baik,Palayanan beus DAMRI sae pisan
317,sunda,Mau bikin postingan yang isinya mengedukasi customers gojek.,Rek nyieun postingan nu eusina ngajarkeun palanggan gojek.
352,sunda,Ratusan rumah di medan terendam banjir,Ratusan bumi di medan karendem banjir
751,sunda,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","Barangna lumayan, ngan nu ku abdi heran xiaomi redmi note 2 ieu tombol onna bener rada reksak? Teras baterai na bener enggal  low bat juragan?"
856,sunda,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Sesah pisan percanten ka jalmi nu tos kantos ngakhianat
504,sunda,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Lokasina di Gombel nu pintonan semarang, datangna kedah weungi sabab lampu kota bakal katingali, kadaharan ngeunah na steak jeung teh haneut menu wajib di dieu, nyandak spot di luar sabab hawana tiis tur sejuk"
13,sunda,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","Sawaktos kadieu mesen nasi goreng jeung kentang goreng, nasi gorengna sadayana resep. Kentang goreng na raos pisan, jeung tampilanna sae. Kulawargi nyarios kopina ge raos. Anu sae pisan di dieu nyaeta tempat na lapang jeung anu di luar tiasa ningali pamandangan dusun bambu, ngan palayananana henteu gancang jadina abdi kudu tumaros sababaraha kali pesenan abdi. Pangaosna rada awis, ngan kusabab pituangeunna raos, sagala na jadi kabayar. Henteu kudu mikir dua kali mung hoyong ka dieu deui. "
978,sunda,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","Sangu goreng thailand pangarosna ti 35 rebu, polos ngan aya suir hayam saalit. Seafoodna teu ayaan"
570,sunda,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","Sakumaha nu urang terang, brownies nu asli ti Amerika nyaeta kueh bantat anu warnana coklat. Toko Amanda nyiptakeun brownies ku cara ngajieunna ngukus. Brownies kukus ieu henteu sae pisan. Malah teksturna sarua jeung bolu biasa. Janten dina pamanggih kuring, ieu sanes brownies."
489,sunda,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan","Upami sumping ka restoran ieu cocog pisan dina sonten atawa wengi dinten, nyandak pasangan kanggo nganikmatan tuang wengi nu romantis sareng pamandangan nu menakjubkeun pisan"
862,sunda,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.","Pangalaman mimiti cekap ngesankeun kusabab cekap reuwas tetela saentos salse mesen tuangeun, salah sahiji staf masihan daun cau ka meja kuring sanes piring atawa sendok, janten upami tuang di dieu siap-siap kanggo tuang ngagunakeun panangan kusabab arurang bakal ngarasakeun sensasi nu unik ditambih alas tuangna daun cau."
774,sunda,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,Salah sahiji area kuliner nu cekap ngagugah salera. Mung janten bingung oge milihna. Ahirna abdi cobi kerak telor sareng mie kocok sabari ngadangukeun pertunjukan musik ku tembang-tembang nostalgia barat. Cekap disarankeun.
950,sunda,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,Kanggo mastikeun ibu tiasa sumping ka kantor cab bank mandiri nu kasebat dina dinten sareng waktos damel kanggo nukeurkeun artos.
614,sunda,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Numpak kareta jayabaya malang - jakarta eureun di gubeng, tiket 35 rebu ditambih asuransi 6 rebu liwat traveloka"
569,sunda,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,DPR masihan pangajen kana partisipasi istri dina Pilkada 2018.
666,sunda,"Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa.","Abdi sumping kanggo tuang wengi sareng kulawargi. Ieu kalli kahiji abdi ka dieu. Kondisi teu kitu rame. Kanggo interior, rada kotor nyumutkeun abdi. Ku aya remah-remah sesa tuangeun dina ubin sareng meja, sigana teu diberesihkeun sacara sampurna. Kanggo rasa tuangeun, standar, teu pati istimewa."
965,sunda,"Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap.",Punteun saurkeun ka anggota dewan tong hilap revisi perppu ormas sareung emutkeun jangjina upami perppu teu direvisi. Sababaraha elemen masarakat bade ngaluarkeun sikeup.
486,sunda,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas,Karipik sampeu eta leeutan alit pangraosna sareng pas kanggo ngarencangan waktos nugas
545,sunda,"Batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain. Makanannya enak, terutama batator dan siomay serta basonya dan tidak pakai pengawet. Dan jika ingin buat oleh-oleh ada paket yang bisa dibawa pulang. Dipertahankan lagi kualitasnya.","Batagor jeung siomay kingsley henteu ngagaduhan cabang di tempat sanes. Dahareunna nikmat, utamina batator jeung siomay jeung basona teu nganggo pangawet. Sareng upami anjeun hoyong oleh-oleh aya paket anu tiasa anjeun bawa ka uih. Dijaga deui kualitasna nyak."
707,sunda,"Jangan pernah pesan melalui layanan ini ya teman-teman. Mengecewakan! Villa -nya kotor, semua peralatannya tidak layak pakai","Tong kantos mesen liwat layanan ieu nya rerencangan. Nguciwakeun! Villa-na kotor, sadaya parabotanna teu layak pake"
514,sunda,"Pendaftaran mulai esok, kementerian kominfo buka beasiswa pelatihan digital untuk 1.000 orang","Pendaptaran dimimitian enjing, Kamentrian Kominfo muka beasiswa pelatihan digital pikeun 1.000 urang"
855,sunda,"Sebagai netijen yang baru april lalu piknik ke toba, hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana. Parapat -nya kotor, susah cari akomodasi yang benar-benar bagus, agen transportasi tidak profesional, pokoknya tidak direkomendasikan pergi ke parapat.","Salaku netijen nu nembe april kamari piknik ka toba, ngan hoyong nyarios upami leres seueur perkawis nu nguciwakeun ti sistem pariwisata di ditu. Parapat-na kotor, hese milarian akomodasi nu bener-bener alus, agen transportasi teu profesional, pokokna teu disarankeun indit ka parapat."
412,sunda,Kotor banget dan tidak di hiraukan oleh pelayan restoran. Mengecewakan sekali pelayanannya!,Kotor pisan sareng teu diperhatoskeun ku palayan restoran. Nguciwakeun pisan palayananna!
590,sunda,"Tempatnya menurut saya biasa saja, kurang bersih. Makanannya pun biasa saja.","Tempatna mah saur abdi biasa wae, kirang beresih. Dahareunna oge biasa wae."
456,sunda,"Untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa-biasa saja. Yang mengecewakan adalah kualitas makanannya. Makanan hanya sekedar masak saja. Untuk kelas kuliner bandung yang enak-enak, ini mengecewakan. Ada karcis masuk per orang 10.000 dan mobil 15.000.","Kanggo usaha nu dikaluarkeun ka tempat ieu hasilna biasa-biasa wae. Nu nguciwakeun nyaeta kualitas tuangeunnana. Tuangeunana ngan asak hungkul wae. Kanggo kelas kuliner bandung nu raos-raos, ieu nguciwakeun. Aya karcis lebet per jalmi 10.000 sareng mobil 15.000."
467,sunda,Saya sekeluarga sedang cari tempat makan habis nonton. Kami bosan makan di resto / kafe di mal. Tiba-tiba terlihat resto di kanan jalan. Sudah lama kami tidak makan kari. Mampirlah kami ke resto yang tergolong kecil hanya 9 meja. Ternyata enak tempat dan makanannya.,Abdi sakulawargi nuju milarian tempat tuang saatos nongton. Arurang bosen tuang di resto / kafe di mal. Ngadadak katingali resto di katuhu jalan. Tos lami arurang teu tuang kari. Sumping arurang ka resto nu kaasup alit ngan 9 meja. Tetela raos tempat sareng tuangeunnana.
852,sunda,Kopi starbucks kenapa bisa enak banget sih,Kopi starbucks kunaon tiasa raos pisan sih
861,sunda,"Katanya di sana akan dibangun transmart, di sebelah bangunan itu.","Cenah di ditu bade diwangun transmart, di sabelah wangunan eta."
628,sunda,"Sungguh pengalaman unik, makan di tengah sawah di antara padi yang hampir menguning. Dengan pilihan menu yang variatif, penyajian yang menarik dan menggugah selera.","Bener pangalaman unik, tuang di tengah sawah di antawis pare nu ampir ngonengan. Ku pilihan menu nu rupi-rupi, panyajian nu menarik sareng ngagugah selera."
181,sunda,"Makan bersama dengan para sistah beberapa waktu yang lalu, tempat nyaman, enak buat nongkrong, pelayanan bagus. Dah beberapa kali makan di sini.","Tuang sasarengan sareng sobat awewe sababaraha waktos ka pengker, tempatna merenah, enakeun keur nongkrong, palayananna sae. Parantos sababaraha kali tuang didieu."
208,sunda,"Tempat oleh-olehnya lengkap dan cukup nyaman, mudah dijangkau, harganya terjangkau, serta pelayanannya ramah","Tempat pikeun souvenir lengkep sareng rada raoseun, babari dijangkau, hargina meujeuhna, sareng layananna ramah"
122,sunda,"Hai eviana, mohon maaf atas ketidaknyamanannya. Untuk kontak dari indosat dapat mengakses tautan ini: Silakan pengecekan ya. Terima kasih. Erf","Hai eviana, hapunten anu kirang merenah. Kanggo kontak ti Indosat, tiasa akses tautan ieu: Mangga parios. Hatur nuhun. Erf"
655,sunda,Menunya indomie sama roti bakar. Untuk tempat sama seperti cabang yang lainnya nyaman buat kumpul. ,"Menuna indomie sareng roti bakar. Kanggo tempat sami sapertos cabang nu lainna, rempes kanggo kempel."
182,sunda,"Sambal dengan daun serawung, tomat, dan cabe rawit. Rasa sambal ini yang membuat kota di garut yang namanya cibiuk jadi terkenal. Sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng. Rasanya sangat enak. Selain di lengkokng cibiuk juga memiliki banyak cabang","Sambeul jeung daun serawung, tomat, sareng cabe rawit. Rasa sambel ieu anu ngajantenkeun kota di garut namina cibiuk janten kawentar. Sambeul ieu tiasa dinikmati ku gurame goreng atanapi sareng hayam goreng. Rasana raos pisan. Salain ti lengkong cibiuk oge seueur cabangna"
316,sunda,Saya sudah konfirmasi ke pihak gramedia tapi dilempar-lempar tak ada kejelasan. Pihak gramed sampai spv di outlet tersebut saling lempar dan menyebut tidak ada promo. Kecewa dilempar-lempar begitu,Abdi tos konfirmasi ka pihak gramedia mung dialung-alung teu aya kajelasan. Pihak gramed dugi spv di toko eta pa alung-alung bari nyebatkeun teu aya promo. Kuciwa dialung-alung kitu.
216,sunda,"Selamat siang, jika ada hal lain yang bapak akan tanyakan dapat mention kami kembali. Terima kasih zan","Wilujeng siang, upami aya hal nu bapak bade taroskeun tiasa nyebatkeun kami deui. Hatur nuhun zan"
865,sunda,"Menurut kami tempat ini biasa saja tidak ada atraksi atau pemandangan yang menarik dengan harga tiket 10000 / orang, kalau pemandangan gunung ya memang sudah seharusnya karena berada di daerah tinggi. Untuk wisata kuliner juga tidak terlalu banyak pilihan seperti tempat yang satu lagi.","Ceuk arurang tempat ieu biasa wae teu aya atraksi atawa pamandangan nu menarik jeung harga tiket 10000 / jelema, lamun pamandangan gunung nya emang enggeus sakuduna kusabab di daerah luhur. Jang wisata kuliner ge teu pati loba pilihan jiga tempat nu hiji deui."
