id,lang,source,target
219,bataktoba,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,atimi ciccilan 10% sahat 12 bulan tu panuhoran tiket pesaway air asia dohot kartu kredit bni!
209,bataktoba,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.","Kue-kue na diparade mambahen au taringot tu angka nadung salpu. saluhut angka ragam ni kue tingki najolo, songon rupa nang dohot daina, kue na tabo argana pe ura."
436,bataktoba,Ibu pernah bekerja di grab indonesia,Inong hea karejo di grab Indonesia.
394,bataktoba,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut","Tung mansai lomo do roha mangan tonga ari dison manuk dohot sambal nai tung mansai tabo argana pe namuraan , dae ni manuk nai sahat tu holi-holi na, es lidah buaya nai ipe denggan mambahen butuha gabe lambok dung mangallang sambal na siak. Angka parhobasna pe hatop-hatop jala burju, na membahen lomo muse rohangku diinganan lao manggarar adong tarsurat 10 % dipasahat tu ulaon asi ni roha, mambahen lam tabo sipanganon i dibagasan siubeon."
592,bataktoba,Pelayanan bus DAMRI sangat baik,Panghobasion ni bus Damri mansai denggan.
317,bataktoba,Mau bikin postingan yang isinya mengedukasi customers gojek.,Naeng bahenon postingan na isina parsiajaran ni angka customers gojek
352,bataktoba,Ratusan rumah di medan terendam banjir,Marratus jabu di medan na hona banjir
751,bataktoba,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?","barang na tarhilala, alai na heran iba xiaomi redmi note2 i potik-potik  laho pagalakhon na memang na sega do? muse batere na  emang na hatop do habis tokke?"
856,bataktoba,Sulit sekali mempercayai orang yang sudah pernah berkhianat,Maol hian manghaporseai jolma naung hea mangose padan.
504,bataktoba,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk","Inganan di Gombel dohot panatapan Semarang, ro ma siborngin alana palito ni kota gabe haberengan, sipanganon tabo steak dohot aek las ido sipanganon na ikkon didai dison. Pillit ma inganan na di luar alana alogo namansai ngali jala lambok"
13,bataktoba,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","Tingki ro tuson au manuhor nasi goreng dohot kantang goreng, nasi goreng na sude marlomo ni roha. Kentang goreng na tabo hian, jala patoranghon denggan. Sisolhot mandok kopi na tabo. Na gabe na uli di son ima ingananna na bidang jala na di luar boi dibereng panatapan huta bambu, alai panghobasionna na dang  hatop gabe ikkon ahu sukkun piga-piga hali taringot tu na hu tuhor i. Argana lumayan arga, alai ala tabo do sipanganon na gabe lese do i sude. Dang pola porlu marpikkir dua hali molo naeng ro musek tu inganan on."
978,bataktoba,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","Indahan goreng thailand si arga 35 ribu, bulus, holan adong manukna otik. Seafood na dangadong."
570,bataktoba,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","Songon na ta boto, brownis na asli sian Amerika ima kue bantat na memang marwarna cokelat. Toko Amanda mambaen brownies dohot cara mangkukus. Brownis nadikukus on asli dang pass. Tekksturna gabe songon bolu nasomal. Jadi pandapothu, on dang brownies."
489,bataktoba,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan","Molo ro tuparmanganan on pas hian di botari dohot borngin ni ari, mamboan hallet laho mangatimi mangan borngin na uli dohot panatapan na mansai bagak."
862,bataktoba,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.","Pengalaman parjolo songon na mengesanhon alana songon na tarsonggot hape molo dung sae di pangido sipanganon, sada sian parhobas mangalehon bulung ni pisang tu mejaku dang pinggan manang sonduk, alani i molo dison mangarade ma laho mangan mamakke tangan alana hita naeng mangarasahon sensaso na unik di tabba muse alas ni sipanganonna bulung ni pisang."
774,bataktoba,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,sada sian inganan kuliner na lumayan manggoda. alai gabe bingung iba tong mamillit. ujungna hu coba ma korak ni tolor  dohot mi kocok sambil mambege lagu barat na jolo na di patupa. lumayan sipabotohonon.
950,bataktoba,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,Laho mamastihon sa inang boi ro tu kantor cabang bank mandiri na i ditikki ari dohot jam karejo laho manukkar hepeng.
614,bataktoba,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Markareta Jayabaya malang tu Jakarta maradi di Gubeng, Tiket 35 ribu dohot asuransi 6 ribu sian Traveloka."
569,bataktoba,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,DPR mangalean apresiasi alani parsidohot do parompuan di Pilkada 2018.
666,bataktoba,"Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa.","Au ro dang na lai mangan borngin rap dohot keluarga. On do pe parjolo sahali au ro tu son. Dang pola rame. Molo bagas na, songon na dorun do menuruthu. Adong akka sisa ni sipanganon di lantai dohot di meja, hera na so dipaias dohot denggan. Molo dai ni sipanganon, somal hian , dang pola sudung."
965,bataktoba,"Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap.","Urupi jo mandok tu anggota dewan unang lupa paturehon perppu ormas jala paingot jajji nai molo perppu dang di pature, marragam elemen masarakat naeng pakaluarhon pambahenan. "
486,bataktoba,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas,Karipik gadong i karupuk nauttabo dohot pas laho maddongani tikki karejo.
545,bataktoba,"Batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain. Makanannya enak, terutama batator dan siomay serta basonya dan tidak pakai pengawet. Dan jika ingin buat oleh-oleh ada paket yang bisa dibawa pulang. Dipertahankan lagi kualitasnya.","Batagor dohot Siomay kingsley on dang adong cabang na diinganan naasing. Sipanganonna tabo, apalagi batagor dohot siomay dohot basona jala dang pakke pengawet. Jala molo naeng gabe siboan-boan adong paket naboi diboan mulak. Dipertahanhon ma habagakonna."
707,bataktoba,"Jangan pernah pesan melalui layanan ini ya teman-teman. Mengecewakan! Villa -nya kotor, semua peralatannya tidak layak pakai","Hamu angka dongan unang ma hea mamesan sian on. Tarhirim! Vila na rotak,  sude angka parkakas na soada be na suman sipangkeon."
514,bataktoba,"Pendaftaran mulai esok, kementerian kominfo buka beasiswa pelatihan digital untuk 1.000 orang","Panuratan mulai marsogot, kementrian kominfo mangalean beasiswa mersiajar digital lao tu 1000 halak."
855,bataktoba,"Sebagai netijen yang baru april lalu piknik ke toba, hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana. Parapat -nya kotor, susah cari akomodasi yang benar-benar bagus, agen transportasi tidak profesional, pokoknya tidak direkomendasikan pergi ke parapat.","Nagabe jolma na baru april nalewat laho mardalani tu Toba, holan naeng mandokhon tutu godang do na mangecewahon sian sistem parawisata  disan. Parapat na rotak, maol luluan akomodasi nadenggan, agen transportasi pe dang profesional, gabe dang direkomendasihon laho tu Parapat."
412,bataktoba,Kotor banget dan tidak di hiraukan oleh pelayan restoran. Mengecewakan sekali pelayanannya!,Rotak hian jala dang dipardulihon parkarejo ni restoran. Mengecewahon hian do pelayanan na
590,bataktoba,"Tempatnya menurut saya biasa saja, kurang bersih. Makanannya pun biasa saja.","Inganan nai pandapothu somal do, hurang ias. Sipanganonna pe somal do."
456,bataktoba,"Untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa-biasa saja. Yang mengecewakan adalah kualitas makanannya. Makanan hanya sekedar masak saja. Untuk kelas kuliner bandung yang enak-enak, ini mengecewakan. Ada karcis masuk per orang 10.000 dan mobil 15.000.","Dohot gogo na nilehon tu inganan on hape parbuena songon na somal do.  Na mengecawahon ima kualitas ni sipanganon na. Sipanganonna holan asal masak. Tu kalas sipanganon  Bandung na tabo-tabo, on mengecewahon. Adong karsis masuk 10.000 par halak dohot motor 15.0000"
