id,text,label
219,Nikmati cicilan 0% kanti 12 bulan antuk pemesanan tiket pesawat air asia nganggen kartu kredit bni!,neutral
209,"Jaje-jaje ne sane kasajiang ngaenang tiang bernostalgia. Makejang sakadi jaje jaman ipidan, uli penampilanne tur  rasa ne. Jajene jaan lan ajine mudah. ",positive
436,Ibu naenang makarya ring grab Indonesia,neutral
394,"Paling demen sajan ngajeng siang driki be siap lan sambelne jaen sajan ajine jeg mudah sajan, rasan be siap ne ngresep kanti ke tulang ne , es lidah buayane masih seger ngae adem waduk sesampun ngajeng sambel sane lalah, pelayan ne sigap lan ramah, sane demenin tiang ring genah kasir wenten tulisan 10% kanggen nyumbang dados wantuan, ngajeng ngrasa lebih jaen ke waduk. ",positive
592,Pelayanan bus DAMRI luung pesan. ,positive
317,Dot ngae postingan sane isine mengedukasi customers gojek.,neutral
352,Satusan umah ring medan merendem banjir,neutral
751,"Barange lumayan, nanging sane tiang heran xiaomi redmi note 2 niki tombol onne mula agak usak? Terus batre mula enggal low bat bos?",negative
856,Keweh sajan ngugu anak ane suba taen berkhianat,negative
504,"Tongos ring gombel ajak pemandangan semarang, tekalah peteng krana lampu kota lakar ngenah, ajengan jaan steak lan teh anget menu wajib dini, jemak spot diwang krana udara dingin lan sejuk",positive
13,"Dugas ento mai mesen nasi goreng lan kentang goreng, nasi gorengne makejang demen. Kentang gorengne jaan pesan, lan carane nyajiang luung. Keluarga ngorahang kopine jaan. Ane paling melah dini minakadi tongosne jimbar lan sane di sisi ngidang ningalin palemahan dusun bamboo, nanging pelayananne makelo mawinan tiang mekeneh metakon mekudang-kudang indik pesenan tiang. Ajine cukup mael, nanging krana  makejang ajengane jaan dadine ten kenapi. Ten perlu makeneh dua kali yening kal meriki. ",positive
978,"Nasi goreng thailang ring harga 35 tali, polos, ada be siap suir gen abedik. Seafoodne sing ada.",negative
570,"Sekadi ane iraga tawang, brownies ane asli uli amerika sekadi punika jaja bantat ane mula warnane cokelat. Toko amanda ngae kreasi brownies ajak masakne ngukus. Brownies kukus ne tusing banget. Teksturne malah patuh ajak bolu biasa. Jadi menurut tiyang, ne tusing brownies. ",negative
489,"Yening ngerauhin restoran puniki cocok sajan pas sanja lan petengne, ngajak tunangane nikmatin ajengan wengi sane romantis lan pemandangan sane mankjubkan sajan.",positive
862,"Pengalaman pertama cukup mengesankan krana cukup kaget ternyata disubane suud mesen ajengan, salah satu staf ngemaang don biu ka meja tiyang tusing piring utawi sendok, dadine yen ngajeng dini bersiap gen untuk ngajeng nganggon lima krana iraga lakar ngasanin sensasi ane unik buina alas ngajengne don biu. ",positive
774,Silih sinunggil wewidangan kuliner sane cukup ngedotin pesan. nanging dados bingung masih milihne. Akhirne tiang nyobak kerak taluh lan mie kocok sambilang ningehin pertunjukkan musik sareng gending-gending nostalgia kauh. Cukup ka rekomensiang,positive
950,Anggen mastiang ibu dados rauh ka kantor cabang bank mandiri punika ring dina lan jam mekarya untuk penukaran jinah.,neutral
614,"Menek kereta jayabaya malang-jakarta mareren di gubeng, tiket 35 ribu ajak asuransi 6 ribu via traveloka",neutral
569,Dpr ngemaang apresiasi indik keikutsertaan anak luh dugas pilkada 2018. ,neutral
666,"Tiyang teka untuk ngajeng peteng ajak keluarga. Ne ping pertama tiyang main. Kondisi ten bes rame. Untuk interior, agak daki menurut tiyang. Adane remah-remah lad ajengan ring lantai lan meja, asane ten kedasine kanti sempurna. Untuk rasa ajengan, standar, ten bes istimewa.",negative
965,"Tulung orahang ka anggota dewan eda engsap revisi perppu ormas lan ingetang janjine yen perppu sing marevisi, mekudang elemen parajana lakar mesuang sikap. ",neutral
