id,text,label
219,Rasai cicilan 0% sampai 12 bulan gasan mamasan tikit pasawat air asia lawan kartu kridit bni!,neutral
209,"Wadai wadai nang disurung maulah banustaltalgia. Sabarataan mudilnya wadai jaman bahari, mulai panampilan wan jua rasa. Wadainya nyaman wan haraganya jua murah.",positive
436,Mama suah bagawi di grab indonesia,neutral
394,"Paling katuju banar makan siang disini ayam lawan sambalnya nyaman banar haraganya luar biasa imit, rasa ayamnya rasap sampai ka tulangnya, es lidah buayanya jua sigar maulah dingin parut imbah makan sambal nang padas, palayanannya sikap wan lamahan, nang ulun katuju di wadah kasir ada tulisan 10% disumbangakan gasan baa,al, maulah makan jadi nyaman ka parut.",positive
592,Palayanan bus DAMRI baik banar,positive
317,Hadan baulah postingan nang isinya mandidik palanggan gojek,neutral
352,Ratusan rumah di medan tarandam banjir.,neutral
751,"Barangnya talumayan, tagal nang ulun heran xiaomi redmi note 2 ngini picikan onnya dasar pina rusak? Mbahtu baterai dasar lakas low bat kah juragan?",negative
856,Ngalih banar mampercayai urang nang suah bahianat,negative
504,"Lukasi intang gombel wan pamandangan semarang, datang ai mun malam gegara lampu kuta nang bakal talihat, makanan nyaman steak wan teh hangat surungan nang wajib di sini, ambil wadah di luar karena hawanya dingin wan sajuk",positive
13,"Pas ngitu ka sini bapasan nasi basanga wan kentang basanga, nasi basanganya barataan katuju. kentang basanganya nyaman banar wan presentasinya baik. Kaluarga bapadah kupinya nyaman. Hal nang baik banar intang sini adalah wadahnya luas wan nang di luar kawa malihat pamandangan dusun bambu, tagal pelayanannya kada lakas jadi ulun harus batakun babarapa kalian tentang pasanan ulun. Haraganya mayan larang, tagal gegara makanannya nyaman barataan jadi tabayarakan. Kada usah salang bapikir dua kali amun handak ka sini pulang. ",positive
978,"Nasi goreng thailand di haraga 35 ribu, polos, babaya ada suir ayam saikit. Seafoodnya kadida.",negative
570,"Nang kaya kita tahu, brownies nang asli mulai amerika adalah wadai bantat nang dasar bawarna cokelat. Toko amanda mengkreasiakan brownies wan mamasaknya bakukus. Brownies kukus ngini sama sekali kada banar. Teksturnya malahan sama nang kaya bolu biasa. Jadi manurut ulun, ngini lain brownies. ",negative
489,"Mun datang ka risturan ini liwar cucuk pas sore wan malam hari, mambawa pasangan gasan manikmati makan malam nang rumantis wan pamandangan nang liwar mambari kapingin.",positive
862,"pangalaman sakali cukup mangesankan gara-gara cukup takajut sakalinya imbah tuntung makan mamesan makanan, saiukung staf mambariakan daun pisang ka meja ulun lain piring atawa sindok, jadi makan di sini basiap makan pakai tangan karena kita handak marasaakan sensasi nang unik ditambah alas makannya daun pisang",positive
774,Salah sauting area kuliner nang mayan manggugah salira. Tagal jadi bingung jua mamilhnya. Akhirnya ulun cuba karak intalu wan mie kocok sambil mandagariakan patunjukan musik wan laggu-lagu barat bahari. Mayan disurungakan,positive
950,Gasan mamastiakannya ibu kawa datang ka kantur cab bank mandiri ngitu pas hari wan jam bagawi gasan mahurupakan duit.,neutral
614,"Naik kereta jayabaya malang - jakarta basinggah di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka",neutral
569,Dpr mambari apresiasi gasan kaumpatan binian pada pilkada 2018,neutral
666,"Ulun datang gasan makan malam lawan kaluwarga. Ini pamulaan ulun ka sini. Kondisi kada talalu rami. Gasan interior, pina rigat manurut ulun. Adanya rimah-rimah bakas makanan di lantai wan meja, pinanya kada dibarasihakan buju2 bujur. Gasan rasa makanan, standar, kada talalu istimewa.",negative
965,"Tulung bapadah ka anggota dewan jangan kada ingat revisi perppu ormas wan ingatiakan janjinya amun perppu kada direvisi, bamacam elemen masyarakat bakalan mangaluarakan sikap",neutral
486,karipik jawaw itu makanan ringan paling nyaman wan cucuk gasan mangawani waktu tugas,positive
545,"Batagor wan siomay kingsley ngini kada baisi cabang di wadah lain. Makanannya nyaman, tautama batagor wan siomay wan baksonya nang kada makai pangawet. Wan lamun handak gasan oleh-oleh ada paket nang kawa dibawa buik. Dipertahankan lagi kualitasnya.",positive
707,"Jangan suah pesan liwat layanan ngini lah kakawalan. Mangaciwaakan! Villanya rigat, sabarataaan paralatannya kada layak pakai",negative
514,"Pandaftaran mulai isuk, kementerian kominfo buka beasiswa pelatihan digital gasan 1000 urang",neutral
855,"Jadi netizen nang hanyar april samalam raun ka toba, sahibar handak bapadah kalu bujur banyak barang nang maulah sangkal matan sistem pariwisata disana. Parapat-nya rigat, ngalih mancari wadah bamalam nang bujur-bujur bagus, agen transportasi kada profesional, pukunya kada disuruhakan tulak ke parapat",negative
412,Rigat banar wan kada di herani ulih palayan risturan. Mambari muar banar palayanannya!,negative
590,"Wadahnya manurut ulun biasa haja, kurang barasih. Makanannya gin biasa haja.",negative
456,"Gasan usaha nang dikaluarakan ka wadah ngini hasilnya biasa-biasa haja. Nang mangaciwakan ngitu kualitas makanannya. Makanan babaya masak haja. Gasan kalas kuliner bandung nang nyaman-nyaman, ngini managaciwakan, Ada karcis masuk paurangannya 10.000 wan mubil 15.000",negative
467,Ulun sakaluarga lagi bacari wadah makan habis nonton. kami dulak makan di ristu ./kafe mal. Sakalinya talihat ristu di kanan jalan. Sudah lawas kami kada makan kari. Singgah ay ke ristu nang tamasuk halus cuma 9 meja. Sakalinya nyaman wadah wan makanannya.,positive
852,Kopi starbucks kanapa kawa nyaman banar lah ,positive
861,"Ujarnya di sana handak diulah transmart, di sebelah bangunan itu",neutral
628,"Dasar pangalaman unik, makan di tangah pahumaan di antara banih nang handak manguning. Lawan pilihan menu nang bamamacam, panyajian nang asik wan manggugah salira.",positive
181,"Makan baimbaian wan bubuhan sistah babarapa hari nang lalu, wadahnya nyaman, nyaman gasan nongkrong, palayanan baik. Hudah barapa kalian ai makan intang sini. ",positive
208,"Wadah ulih-ulihnya langkap wan cukup nyaman, nyaman didatangi, haraganya tajangkau, lawan palayanannya ramah",positive
122,"Hai eviana, mohon maap atas kacamuhannya. Gasan kontak dari indosat kawa mamicik tautan ngini: Silakan diitihi lah. Tarima kasih. Erf",neutral
