id,text,label
219,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!,neutral
209,"Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah.",positive
436,Ibu pernah bekerja di grab indonesia,neutral
394,"Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut",positive
592,Pelayanan bus DAMRI sangat baik,positive
317,Mau bikin postingan yang isinya mengedukasi customers gojek.,neutral
352,Ratusan rumah di medan terendam banjir,neutral
751,"Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?",negative
856,Sulit sekali mempercayai orang yang sudah pernah berkhianat,negative
504,"Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk",positive
13,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.",positive
978,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.",negative
570,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.",negative
489,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan",positive
862,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.",positive
774,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,positive
950,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,neutral
614,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka",neutral
569,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,neutral
666,"Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa.",negative
965,"Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap.",neutral
486,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas,positive
545,"Batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain. Makanannya enak, terutama batator dan siomay serta basonya dan tidak pakai pengawet. Dan jika ingin buat oleh-oleh ada paket yang bisa dibawa pulang. Dipertahankan lagi kualitasnya.",positive
707,"Jangan pernah pesan melalui layanan ini ya teman-teman. Mengecewakan! Villa -nya kotor, semua peralatannya tidak layak pakai",negative
514,"Pendaftaran mulai esok, kementerian kominfo buka beasiswa pelatihan digital untuk 1.000 orang",neutral
855,"Sebagai netijen yang baru april lalu piknik ke toba, hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana. Parapat -nya kotor, susah cari akomodasi yang benar-benar bagus, agen transportasi tidak profesional, pokoknya tidak direkomendasikan pergi ke parapat.",negative
412,Kotor banget dan tidak di hiraukan oleh pelayan restoran. Mengecewakan sekali pelayanannya!,negative
590,"Tempatnya menurut saya biasa saja, kurang bersih. Makanannya pun biasa saja.",negative
456,"Untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa-biasa saja. Yang mengecewakan adalah kualitas makanannya. Makanan hanya sekedar masak saja. Untuk kelas kuliner bandung yang enak-enak, ini mengecewakan. Ada karcis masuk per orang 10.000 dan mobil 15.000.",negative
467,Saya sekeluarga sedang cari tempat makan habis nonton. Kami bosan makan di resto / kafe di mal. Tiba-tiba terlihat resto di kanan jalan. Sudah lama kami tidak makan kari. Mampirlah kami ke resto yang tergolong kecil hanya 9 meja. Ternyata enak tempat dan makanannya.,positive
852,Kopi starbucks kenapa bisa enak banget sih,positive
861,"Katanya di sana akan dibangun transmart, di sebelah bangunan itu.",neutral
628,"Sungguh pengalaman unik, makan di tengah sawah di antara padi yang hampir menguning. Dengan pilihan menu yang variatif, penyajian yang menarik dan menggugah selera.",positive
181,"Makan bersama dengan para sistah beberapa waktu yang lalu, tempat nyaman, enak buat nongkrong, pelayanan bagus. Dah beberapa kali makan di sini.",positive
208,"Tempat oleh-olehnya lengkap dan cukup nyaman, mudah dijangkau, harganya terjangkau, serta pelayanannya ramah",positive
122,"Hai eviana, mohon maaf atas ketidaknyamanannya. Untuk kontak dari indosat dapat mengakses tautan ini: Silakan pengecekan ya. Terima kasih. Erf",neutral
655,Menunya indomie sama roti bakar. Untuk tempat sama seperti cabang yang lainnya nyaman buat kumpul. ,positive
182,"Sambal dengan daun serawung, tomat, dan cabe rawit. Rasa sambal ini yang membuat kota di garut yang namanya cibiuk jadi terkenal. Sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng. Rasanya sangat enak. Selain di lengkokng cibiuk juga memiliki banyak cabang",positive
316,Saya sudah konfirmasi ke pihak gramedia tapi dilempar-lempar tak ada kejelasan. Pihak gramed sampai spv di outlet tersebut saling lempar dan menyebut tidak ada promo. Kecewa dilempar-lempar begitu,negative
216,"Selamat siang, jika ada hal lain yang bapak akan tanyakan dapat mention kami kembali. Terima kasih zan",neutral
865,"Menurut kami tempat ini biasa saja tidak ada atraksi atau pemandangan yang menarik dengan harga tiket 10000 / orang, kalau pemandangan gunung ya memang sudah seharusnya karena berada di daerah tinggi. Untuk wisata kuliner juga tidak terlalu banyak pilihan seperti tempat yang satu lagi.",negative
