id,text,label
219,Nikmatono cicilan 0% sampek 12 sasi dinggo pesen tiket kapal air asia nganggo kertu kredit bni!,neutral
209,"Roti-roti sing disajekne nggarai aku nostalgianan. Kabeh model roti jaman biyen, saka tampilane utawa rasa. Rotine enak lan regane uga mirah.",positive
436,Ibu uwis tahu kerja ing grab indonesia,neutral
394,"Paling seneng banget mangan awan ing kene pithik karo sambele enak banget regane luwar biasa hemat, rasa pithike ngeresep nganti tekan balunge, es lidah buayane uga seger marakna adem wetenge sakbanjure mangan sambel sing pedes, pelayanane sigap lan grapyak, sing aku seneng ing panggon kasir ana tulisan 10% disumbangake kanggo amal, kanggo mangan dadi luwih enak ing weteng",positive
592,Pelayanane bis DAMRI apik banget.,positive
317,Arep nggawe postingan sing isine ngedukasi pelanggan gojek.,neutral
352,Atusan omah ing medan kebanjiran,neutral
751,"Barange lumayan, mung sung aku gumun xiaomi redmi note 2 iki tombol uripe tenan rada rusak? Banjur bateraine tenan cepet entek juragan?",negative
856,Angel banget mercoyoi wong sing wis tau khianat,negative
504,"Panggonan di gombel karo pemandangan semarang, tekao bengi merga lampu kutha bakale ketok, panganane enak steak lan teh anget menu wajib ning kene, njupuk spot ning jaba merga udara anyep lan sejuk",positive
13,"Wektu kuwi mara mrene pesen sega goreng karo kentang goreng, sega gorenge kabehane seneng, Kentang gorenge enak tenan, lan dhelokane apik. Keluarga ngomong yen kopine enak. Babagan paling apik nang kene yaiku panggonane jembar lan sek nang njaba iso ndhelok pemandangan dusun pring, nanging pelayanane ora cepet dadi aku kudu takon kaping pirang-pirang babagan pesenanku. Regane cukup larang, nanging amarga panganane enak kabeh dadi kabayar. Ora kudhu mikir ping pindho yen pengen mara panggonan iki maneh.",positive
978,"Sega goreng thailand ning rega 35 ewu, polos, mung ana suwir pithik sethithik. Panganan laute ora ana.",negative
570,"Kaya sing awakdewe eruh, brownies sing asli saka amerika iku roti bantat sing pancene wernane cokelat. Toko amanda ngreasikne browies karo masake carane dikukus. Brownies kukus iki jan blas ora banget. Teksture malah podo karo bolu biasa. Dadi menurutku, iki uduk brownies.",negative
489,"Yen teka marang restoran iki cocok banget pas sore lan mbengi, nggawa pasangan kanggo nikmati mangan mbengi sing romantis lan pemandangan sing nakjubake banget",positive
