id,text,label
219,Nikmati angsuran 0% dugi ka 12 bulan kanggo mesen tiket pasawat air asia nganggo kartu kiridit BNI!,neutral
209,"Kue anu disajikeun ngajantenkeun kuring nostalgia. Sadayana mangrupikeun khas tina zaman baheula, boh dina tampilan sareng rasa. Kuena ngeunah sareng hargina oge mirah.",positive
436,Ibu kantos ngadamel di grab indonesia,neutral
394,"Pang resepna tuang beubeurangan di dieu hayam sareng sambelna raos pisan pangaosna luar biasa hemat, rasa hayamna nyerep ka tulangna, es lidah buayana oge seger nyieun patuangan adem saatos tuang sambel nu lada, palayanna oge sigap sareng someah, nu ngajieun abdi resep di tempat kasir aya tulisan 10% disumbangkeun kanggo amal, ngajieun tuangeun leuwih raos ka patuangan.",positive
592,Palayanan beus DAMRI sae pisan,positive
317,Rek nyieun postingan nu eusina ngajarkeun palanggan gojek.,neutral
352,Ratusan bumi di medan karendem banjir,neutral
751,"Barangna lumayan, ngan nu ku abdi heran xiaomi redmi note 2 ieu tombol onna bener rada reksak? Teras baterai na bener enggal  low bat juragan?",negative
856,Sesah pisan percanten ka jalmi nu tos kantos ngakhianat,negative
504,"Lokasina di Gombel nu pintonan semarang, datangna kedah weungi sabab lampu kota bakal katingali, kadaharan ngeunah na steak jeung teh haneut menu wajib di dieu, nyandak spot di luar sabab hawana tiis tur sejuk",positive
13,"Sawaktos kadieu mesen nasi goreng jeung kentang goreng, nasi gorengna sadayana resep. Kentang goreng na raos pisan, jeung tampilanna sae. Kulawargi nyarios kopina ge raos. Anu sae pisan di dieu nyaeta tempat na lapang jeung anu di luar tiasa ningali pamandangan dusun bambu, ngan palayananana henteu gancang jadina abdi kudu tumaros sababaraha kali pesenan abdi. Pangaosna rada awis, ngan kusabab pituangeunna raos, sagala na jadi kabayar. Henteu kudu mikir dua kali mung hoyong ka dieu deui. ",positive
978,"Sangu goreng thailand pangarosna ti 35 rebu, polos ngan aya suir hayam saalit. Seafoodna teu ayaan",negative
570,"Sakumaha nu urang terang, brownies nu asli ti Amerika nyaeta kueh bantat anu warnana coklat. Toko Amanda nyiptakeun brownies ku cara ngajieunna ngukus. Brownies kukus ieu henteu sae pisan. Malah teksturna sarua jeung bolu biasa. Janten dina pamanggih kuring, ieu sanes brownies.",negative
489,"Upami sumping ka restoran ieu cocog pisan dina sonten atawa wengi dinten, nyandak pasangan kanggo nganikmatan tuang wengi nu romantis sareng pamandangan nu menakjubkeun pisan",positive
862,"Pangalaman mimiti cekap ngesankeun kusabab cekap reuwas tetela saentos salse mesen tuangeun, salah sahiji staf masihan daun cau ka meja kuring sanes piring atawa sendok, janten upami tuang di dieu siap-siap kanggo tuang ngagunakeun panangan kusabab arurang bakal ngarasakeun sensasi nu unik ditambih alas tuangna daun cau.",positive
774,Salah sahiji area kuliner nu cekap ngagugah salera. Mung janten bingung oge milihna. Ahirna abdi cobi kerak telor sareng mie kocok sabari ngadangukeun pertunjukan musik ku tembang-tembang nostalgia barat. Cekap disarankeun.,positive
950,Kanggo mastikeun ibu tiasa sumping ka kantor cab bank mandiri nu kasebat dina dinten sareng waktos damel kanggo nukeurkeun artos.,neutral
614,"Numpak kareta jayabaya malang - jakarta eureun di gubeng, tiket 35 rebu ditambih asuransi 6 rebu liwat traveloka",neutral
569,DPR masihan pangajen kana partisipasi istri dina Pilkada 2018.,neutral
666,"Abdi sumping kanggo tuang wengi sareng kulawargi. Ieu kalli kahiji abdi ka dieu. Kondisi teu kitu rame. Kanggo interior, rada kotor nyumutkeun abdi. Ku aya remah-remah sesa tuangeun dina ubin sareng meja, sigana teu diberesihkeun sacara sampurna. Kanggo rasa tuangeun, standar, teu pati istimewa.",negative
965,Punteun saurkeun ka anggota dewan tong hilap revisi perppu ormas sareung emutkeun jangjina upami perppu teu direvisi. Sababaraha elemen masarakat bade ngaluarkeun sikeup.,neutral
486,Karipik sampeu eta leeutan alit pangraosna sareng pas kanggo ngarencangan waktos nugas,positive
545,"Batagor jeung siomay kingsley henteu ngagaduhan cabang di tempat sanes. Dahareunna nikmat, utamina batator jeung siomay jeung basona teu nganggo pangawet. Sareng upami anjeun hoyong oleh-oleh aya paket anu tiasa anjeun bawa ka uih. Dijaga deui kualitasna nyak.",positive
707,"Tong kantos mesen liwat layanan ieu nya rerencangan. Nguciwakeun! Villa-na kotor, sadaya parabotanna teu layak pake",negative
