abu,abee,,,,
adopsi,cok,,,,
aduh,aduh,alahmak,kapalo,,
aktif,aktif,,,,
aku,Loen,,,,
alam,Alam,,,,
alasan,alasan,daleh,,,
aman,aman,tentram,,,
amat,that,teuleupah,,,
ambil,cok,,,,
ancam,agak,ancam,,,
ancaman,ayeuk,,,,
aneh,aneh,ganje,janggai,,
anehnya,yang janggai,,,,
anggun,tari,lagak,,,
anti,anti,,,,
antisipasi,ceugah,,,,
api,apui,,,,
apresiasi,pujoe,,,,
asing,aseng,,,,
asyik,hayeu,,,,
badass,paleh,,,,
bagi,bagi,,,,
bagus,lagak,get,mantap,,
bahagia,bahgia,seunang,gembira,meuria-ria,
bahaya,bahaya,peutaka,,,
baik,get,jroh,,,
ban,bhan,,,,
bangga,seunang,akla,,,
bantu,bantu,tulong,,,
batal,bateu,hana jadeh,,,
batas,batah,ceu,,,
bebas,bebaih,merdeka,,,
beberapa,meupadum,ladom,,,
bela,bila,,,,
belakang,likot,,,,
benar,beutoi,keubit,lagee na,saheh,
bencana,peutaka,musibah,bala,,
benci,glak,hana galak,banci,,
berani,keujeut,beube,,,
berarti,berarti,meukeusan,,,
berat,brat,,,,
berbahaya,meubahaya,,,,
berdarah,meudarah,,,,
berdoa,lakee doa,,,,
berduka,meuseudeh,,,,
berguna,ngeui,meuguna,,,
berhak,berhak,patot,,,
berharap,meuharap,,,,
beri,bri,jok,,,
berkomitmen,meukomitmen,,,,
berlebihan,teuleubeh-leubeh,,,,
bermanfaat,beumanfaat,,,,
bersaing,meusaeng,,,,
bersama,sama-sama,meusaban,,,
bersedih,weuh hatee,meuseudeh,,,
bersembunyi,meusom,,,,
bersorak,peukra,meusurak,,,
besar,rayeuk,raya,,,
biadab,biadab,hana adab,,,
biaya,biaya,peng,,,
bingung,bingong,mumang,,,
bodoh,bangai,ngeut,,,
bohong,sulet,peungeut,hana beutoi,,
bom,bom,,,,
buka,buka,teuhah,,,
bunga,bungoeng,keumang,,,
bungkam,iem,seungap,,,
bunuh,peumatee,,,,
bunuh diri,poh droe,peumatee droe,,,
buruk,brok,,,,
buta,buta,seupot mata,,,
cantik,lagak,tari,ceudah,,
capai,hek,,,,
cari,mita,eu,,,
cedera,teupeh,cidra,luka,,
cegah,ceugah,,,,
cemas,khawate,dawok,meh-moh,,
cepat,bagah,ligat,laju,,
cerdas,caroeng,cerdik,bakoe,,
cinta,cinta,sayang,galak,,
cium,com,tuah,,,
cocok,cocok,pah,,,
copet,pancuri,,,,
damai,damee,tentram,,,
dapat,meuteumeu,meuteumee,roh,,
daya,daya,wat,,,
diabaikan,han dipereumeun,tan jihiroe,,,
diam,iem,seungap,,,
diancam,dipeuagak,diancam,,,
dibersihkan,dipeugleh,,,,
dicuri,dicu,,,,
dihukum,dihukom,,,,
dikalahkan,dipeutaloe,,,,
dipercaya,dipeucaya,dipateh,,,
dipermalukan,dipeumalee,,,,
dipertanyakan,ditanyoeng,dipeusoal,,,
diprovokasi,dipeusuum,dipeukompho,,,
disebut-sebut,diteuoh,diungket,,,
ditakuti,dipeuyo,disegan,,,
ditangkap,dipeudrop,,,,
diteror,dipeukaru,,,,
ditinggalkan,ditinggai,,,,
ditingkatkan,ditingkatkan,,,,
dituduh,ditudoh,,,,
ditunda,dipeutanggoh,dipeueunteuk,,,
doa,du'a,,,,
doktrin,doktrin,,,,
duka,seudeh,duka,,,
dukung,dukung,sokong,,,
dukungan,dukungan,bantuan,,,
efektif,efektif,pah,,,
eksklusif,eksklusif,khusus,,,
empati,iba,weuh,,,
fitnah,fitnah,haba hana beutoi,,,
fokus,peurati,,,,
gagah,gagah,meuagam,peukasa,,
gagal,taloe,hana meuhasee,ceuleunga,,
gampang,mudah,,,,
ganggu,peukaru,peuayang,,,
gaya,gaya,,,,
gelap,klap,seupot,,,
gentar,yo,goyang,,,
gertak,kacak,,,,
gila,pungo,mabok,setreh,,
guncang,goncang,goyang,geunta,,
guncangan,meugeunta,,,,
ha,ha,,,,
habis,abeh,hana le,,,
hal,hai,bhah,peukara,,
hancur,anco,,,,
hantu,hantu,jen,,,
harapan,harapan,,,,
harga,yum,,,,
harta,areuta,,,,
hasil,hasee,,,,
hati,atee,,,,
hati-hati,beuteugoh,beuget-get,beujroh,,
hebat,hebat,dahsyat,,,
heboh,hayeu,,,,
heroik,lagee pahlawan,,,,
hidup,udep,,,,
hilang,gadoh,,,,
hukum,hukom,,,,
ikut,iku,jak,,,
ilham,ileuham,,,,
iman,iman,,,,
indah,lagak,tari,ceudah,,
ingat,ingat,,,,
ingin,keuneuk,hawa,meuheut,,
interogasi,teumanyoeng,,,,
isi,asoe,,,,
istimewa,istimewa,,,,
jahat,jeuheut,jahee,,,
jamin,jamin,,,,
jatuh,rhot,reubah,,,
jawab,jaweub,,,,
jaya,jaya,maju,,,
jelas,jeulah,glah,,,
jelek,brok,,,,
jenis,jeuneh,,,,
jual,meukat,publoe,,,
kalah,talo,,,,
kalimat,kalimat,,,,
kapal,kapai,,,,
karya,buet,,,,
kasihan,sayang,weuh,iba,,
kaya,kaya,,,,
keadilan,ade,,,,
keamanan,kemanan,,,,
kebaikan,kebaikan,,,,
kebencian,kebencian,,,,
keberanian,kha,,,,
kebetulan,hana sahaja,,,,
kecewa,keucewa,cut atee,teulah,,
kehancuran,binasa,,,,
kehilangan,binasa,geunadoh,,,
kejahatan,buet jeuheut,buet jahee,,,
kejam,kejam,angkara,,,
keji,keuji,kabeh,,,
kekayaan,khazanah,keuneubah,areuta,,
kekerasan,kreuh,,,,
kekuatan,ek,kha,kekuatan,,
kelaparan,teudeuk-deuk,kla,,,
keluar,teubit,,,,
kematian,mawot,ajai,,,
kembali,balek,woe,riwang,,
kena,keunong,teupeh,,,
kenal,turi,tusoe,,,
kenyamanan,seuniya,,,,
kepentingan,kepentingan,,,,
keras,kreuh,,,,
keren,hayeu,,,,
kerugian,rugoe,,,,
kerusakan,reuloh,,,,
kesalahan,silap,khilaf,,,
kesan,kesan,,,,
kesempatan,peluang,,,,
kesepian,seungu,,,,
kesulitan,payah,susah,,,
ketakutan,teumakot,,,,
ketat,keutat,meubungkoh,,,
ketegangan,teugang,,,,
kompak,konco,sabee,,,
konflik,konflik,,,,
