abu,abu,buabuh,,,,,,,,
adopsi,ngadopsi,ngalak,,,,,,,,
aduh,adduh,waduh,adoh,adau,,,,,,
aktif,aktip,,,,,,,,,
aku,engkok,sèngkok,gule,abdhina,,,,,,
alam,alam,dunynya.,,,,,,,,
alasan,alesan,,,,,,,,,
aman,aman,,,,,,,,,
amat,sarah,,,,,,,,,
ambil,ngalak,,,,,,,,,
ancam,ngancem,,,,,,,,,
ancaman,nganceman,,,,,,,,,
aneh,ani,anih,,,,,,,,
anehnya,aninah,,,,,,,,,
anggun,raddhin,,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,nyagherri,nyage'i,,,,,,,,
api,apoi,,,,,,,,,
apresiasi,ngalem,ngarghein,,,,,,,,
asing,asing,,,,,,,,,
asyik,asik,,,,,,,,,
badass,badass,,,,,,,,,
bagi,begi,,,,,,,,,
bagus,Bheghus,Bagos,mapan,,,,,,,
bahagia,bahagia,senneng,bhunga,,,,,,,
bahaya,bahaya,,,,,,,,,
baik,baèk,bhegus,,,,,,,,
ban,ban,,,,,,,,,
bangga,Bhunga,,,,,,,,,
bantu,bhento,nolongin,,,,,,,,
batal,bhental,,,,,,,,,
batas,betes,engghen,,,,,,,,
bebas,bebas,,,,,,,,,
beberapa,panberempan,,,,,,,,,
bela,bèla,,,,,,,,,
belakang,budih,,,,,,,,,
benar,bendher,,,,,,,,,
bencana,cobheh,celakak,,,,,,,,
benci,bejhik,,,,,,,,,
berani,bengal,,,,,,,,,
berarti,berartèh,,,,,,,,,
berat,berre',,,,,,,,,
berbahaya,bahaya,celakah,,,,,,,,
berdarah,adere'en,,,,,,,,,
berdoa,adhuwe,,,,,,,,,
berduka,kasossa'an,kepatèan,,,,,,,,
berguna,aghuna,,,,,,,,,
berhak,andik hak,agheduwi,,,,,,,,
berharap,ngarep,,,,,,,,,
beri,merrik,aberrik,,,,,,,,
berkomitmen,andik teggu'en,,,,,,,,,
berlebihan,bitelebbi,,,,,,,,,
bermanfaat,aghuna,,,,,,,,,
bersaing,a saèng,,,,,,,,,
bersama,a bhereng,,,,,,,,,
bersedih,seddi,,,,,,,,,
bersembunyi,ngitek,,,,,,,,,
bersorak,asorak,,,,,,,,,
besar,Raje,,,,,,,,,
biadab,tak sopan,,,,,,,,,
biaya,bândhâ,,,,,,,,,
bingung,bhingung,posang,,,,,,,,
bodoh,gendeng,bunggen,bhuduh,,,,,,,
bohong,Lècèk,carpak,,,,,,,,
bom,bom,,,,,,,,,
buka,mukkak,,,,,,,,,
bunga,Ghembheng,,,,,,,,,
bungkam,atotop,tak asuarah,,,,,,,,
bunuh,pate'en,,,,,,,,,
bunuh diri,bunuh diri,araddhe',,,,,,,,
buruk,jhube',,,,,,,,,
buta,butah,,,,,,,,,
cantik,raddhin,,,,,,,,,
capai,depa',,,,,,,,,
cari,nyarèh,,,,,,,,,
cedera,rogheh,,,,,,,,,
cegah,alanglang,,,,,,,,,
cemas,kobetèr,takok,,,,,,,,
cepat,lekkas,ghencang,ceppet,santak,kancang,,,,,
cerdas,cerdas,pènter,,,,,,,,
cinta,kepèncot,senneng,terro,,,,,,,
cium,nyium,ciyom,,,,,,,,
cocok,cocok,eppas,karaddhu,,,,,,,
copet,copèt,,,,,,,,,
damai,tennang,nyaman,,,,,,,,
dapat,ollè,,,,,,,,,
daya,daya,tenaga,,,,,,,,
diabaikan,tak èkèjepin,tak èyèddeppin,,,,,,,,
diam,nengneng,,,,,,,,,
diancam,èyancem,,,,,,,,,
dibersihkan,è bhersè'è,,,,,,,,,
dicuri,è kècok,,,,,,,,,
dihukum,èyokom,,,,,,,,,
dikalahkan,èpakala,,,,,,,,,
dipercaya,è parcaje,,,,,,,,,
dipermalukan,è patodus,,,,,,,,,
dipertanyakan,è tanyaagi,,,,,,,,,
diprovokasi,è hasut,,,,,,,,,
disebut-sebut,è butsebbut,,,,,,,,,
ditakuti,è takok è,è katako'è,,,,,,,,
ditangkap,è tangkep,,,,,,,,,
diteror,è teror,è koktako'èn,,,,,,,,
ditinggalkan,è dhina,,,,,,,,,
ditingkatkan,è tingkatagi,,,,,,,,,
dituduh,è sangkah,,,,,,,,,
ditunda,è tunda,,,,,,,,,
doa,dhuwe,,,,,,,,,
doktrin,ajheren,,,,,,,,,
duka,sossa,,,,,,,,,
dukung,dukung,,,,,,,,,
dukungan,dukungan,,,,,,,,,
efektif,lancar,de'hambatan,,,,,,,,
eksklusif,mapan sarah,,,,,,,,,
empati,niserran,,,,,,,,,
fitnah,fitna,,,,,,,,,
fokus,fokus,,,,,,,,,
gagah,gegek,,,,,,,,,
gagal,gagal,burung,,,,,,,,
gampang,ghempang,,,,,,,,,
ganggu,genggu,,,,,,,,,
gaya,gaya,,,,,,,,,
gelap,petteng,,,,,,,,,
gentar,aondhu,aonjek,,,,,,,,
gertak,gettak,,,,,,,,,
gila,ghileh,,,,,,,,,
guncang,ondhu,,,,,,,,,
guncangan,èyondhu,,,,,,,,,
ha,ha,,,,,,,,,
habis,tadek,obus,,,,,,,,
hal,hal,,,,,,,,,
hancur,ancor,,,,,,,,,
hantu,cobhe,baong,,,,,,,,
harapan,ngarep,,,,,,,,,
harga,regghe,,,,,,,,,
harta,arta,dunynya,,,,,,,,
hasil,asèl,,,,,,,,,
hati,atèh,,,,,,,,,
hati-hati,tèngatèh,ngastètèh,,,,,,,,
hebat,hebat,,,,,,,,,
heboh,heboh,griduh,,,,,,,,
heroik,pahlawan,,,,,,,,,
hidup,odik,,,,,,,,,
hilang,èlang,,,,,,,,,
hukum,okom,hokom,,,,,,,,
ikut,norok,,,,,,,,,
ilham,ilham,petodhu,,,,,,,,
iman,iman,,,,,,,,,
indah,lèbur,,,,,,,,,
ingat,èngak,,,,,,,,,
ingin,terro,,,,,,,,,
interogasi,tanyaaghi,,,,,,,,,
isi,èssè,,,,,,,,,
istimewa,istimewa,mapan sarah,,,,,,,,
jahat,jahat,,,,,,,,,
jamin,jamin,,,,,,,,,
jatuh,labu,geggher,,,,,,,,
jawab,jeweb,,,,,,,,,
jaya,jaya,,,,,,,,,
jelas,jellas,paddheng,,,,,,,,
jelek,jhubek,,,,,,,,,
jenis,jennis,macem,,,,,,,,
jual,juel,,,,,,,,,
kalah,kala,,,,,,,,,
kalimat,ca'oca',,,,,,,,,
kapal,kapal,,,,,,,,,
karya,karya,ollenah,,,,,,,,
kasihan,nèser,,,,,,,,,
kaya,soghi,,,,,,,,,
keadilan,keadhilen,,,,,,,,,
keamanan,keamanan,,,,,,,,,
kebaikan,kabhegusen,,,,,,,,,
kebencian,kebejhi'i,,,,,,,,,
keberanian,kebengalan,,,,,,,,,
kebetulan,kabhenderen,,,,,,,,,
kecewa,kecewa,kacèwa,kecèbe,,,,,,,
kehancuran,kaancoran,,,,,,,,,
kehilangan,kaèlangan,,,,,,,,,
kejahatan,kejahatan,,,,,,,,,
kejam,kejjem,,,,,,,,,
keji,kejjem,,,,,,,,,
kekayaan,kesoghien,,,,,,,,,
kekerasan,kekerasan,,,,,,,,,
kekuatan,kekoatan,,,,,,,,,
kelaparan,kalaparan,,,,,,,,,
keluar,keluar,,,,,,,,,
kematian,kepatèan,,,,,,,,,
kembali,abelih,,,,,,,,,
kena,teppak,,,,,,,,,
kenal,kenal,,,,,,,,,
kenyamanan,kanyamanan,,,,,,,,,
kepentingan,kepentèngan,,,,,,,,,
keras,keras,kasar,,,,,,,,
keren,kerren,gaol,,,,,,,,
kerugian,kerogien,,,,,,,,,
kerusakan,kerosakan,,,,,,,,,
kesalahan,kesala'an,,,,,,,,,
kesan,kesan,lampet,,,,,,,,
kesempatan,kasempatan,,,,,,,,,
kesepian,keseppèan,,,,,,,,,
kesulitan,kemelaratan,,,,,,,,,
ketakutan,ketako'an,,,,,,,,,
ketat,kettat,,,,,,,,,
ketegangan,teggang,,,,,,,,,
kompak,kompak,,,,,,,,,
konflik,acekcok,,,,,,,,,
konspirasi,asekongkol,,,,,,,,,
korban,korban,,,,,,,,,
korban jiwa,korban jiwa,,,,,,,,,
kosong,kosong,tadek,,,,,,,,
kotor,ghedde',,,,,,,,,
kuat,koat,,,,,,,,,
kurang,korang,,,,,,,,,
kutuk,bhestoh,,,,,,,,,
kutukan,bhestoan,,,,,,,,,
langgar,langgher,,,,,,,,,
larang,larang,,,,,,,,,
larangan,larangan,,,,,,,,,
lawan,laben,,,,,,,,,
