abu,abu,,,
adopsi,adopsi,,,
aduh,ndeh,aduh,,
aktif,aktif,,,
aku,wak,awak,den,ambo
alam,alam,,,
alasan,alasan,,,
aman,aman,,,
amat,sangaik,,,
ambil,ambiak,,,
ancam,ancam,,,
ancaman,ancaman,,,
aneh,balain,aneh,lain,
anehnya,anehnyo,,,
anggun,anggun,rancak,,
anti,anti,,,
antisipasi,antisipasi,,,
api,api,,,
apresiasi,apresiasi,,,
asing,asiang,,,
asyik,asik,,,
badass,paten,badass,,
bagi,bagi,untuak,,
bagus,ancak,rancak,,
bahagia,sanang,,,
bahaya,bahayo,,,
baik,elok,baiak,,
ban,ban,,,
bangga,bangga,,,
bantu,bantu,tolong,,
batal,bata,,,
batas,bateh,,,
bebas,bebas,,,
beberapa,babarapo,,,
bela,bela,,,
belakang,balakang,,,
benar,bana,,,
bencana,bancano,,,
benci,banci,,,
berani,bagak,barani,,
berarti,bararti,,,
berat,barek,,,
berbahaya,babahayo,,,
berdarah,badarah,,,
berdoa,badoa,,,
berduka,baduko,,,
berguna,baguno,,,
berhak,bahak,,,
berharap,baarok,,,
beri,agiah,,,
berkomitmen,bakomitmen,,,
berlebihan,balabiahan,bakalabiahan,,
bermanfaat,bamanfaaik,bamanpaaik,baguno,
bersaing,basaiang,,,
bersama,basamo,,,
bersedih,basadiah,baibo hati,,
bersembunyi,mandok,,,
bersorak,basorak,,,
besar,gadang,,,
biadab,biadab,kalera,,
biaya,biaya,,,
bingung,binguang,,,
bodoh,pandia,ele,,
bohong,duto,,,
bom,bom,,,
buka,bukak,,,
bunga,bungo,,,
bungkam,anok,diam,,
bunuh,bunuah,,,
bunuh diri,bunuah diri,,,
buruk,buruak,,,
buta,buto,,,
cantik,ancak,rancak,,
capai,capai,,,
cari,cari,,,
cedera,luko,,,
cegah,ambek,cegah,,
cemas,cameh,,,
cepat,capek,,,
cerdas,santiang,cadiak,,
cinta,cinto,,,
cium,cium,sungok,,
cocok,cocok,,,
copet,copet,,,
damai,damai,,,
dapat,dapek,,,
daya,dayo,daya,,
diabaikan,diabaian,,,
diam,diam,anok,,
diancam,diancam,,,
dibersihkan,dibarasiahan,,,
dicuri,diciluik,,,
dihukum,dihukum,,,
dikalahkan,dikalahan,,,
dipercaya,dipicayo,,,
dipermalukan,dipamaluan,,,
dipertanyakan,dipatanyoan,,,
diprovokasi,diprovokasi,,,
disebut-sebut,disabuik-sabuik,,,
ditakuti,ditakuiki,,,
ditangkap,ditangkok,,,
diteror,diteror,,,
ditinggalkan,ditinggaan,,,
ditingkatkan,ditingkekan,,,
dituduh,dituduah,,,
ditunda,ditundo,,,
doa,doa,,,
doktrin,doktrin,,,
duka,duka,,,
dukung,dukuang,,,
dukungan,dukuangan,,,
efektif,efektif,,,
eksklusif,eksklusif,,,
empati,empati,,,
fitnah,fitnah,,,
fokus,fokus,,,
gagah,gagah,,,
gagal,gagal,,,
gampang,mudah,,,
ganggu,gaduah,,,
gaya,gaya,,,
gelap,galok,kalam,,
gentar,tagok,,,
gertak,garagak,,,
gila,gilo,,,
guncang,guncang,,,
guncangan,guncangan,,,
ha,ha,,,
habis,abih,,,
hal,hal,,,
hancur,hancua,ancua,,
hantu,hantu,,,
harapan,harapan,,,
harga,harago,,,
harta,harato,,,
hasil,asia,,,
hati,hati,,,
hati-hati,hati-hati,elok-elok,,
hebat,hebat,,,
heboh,eboh,,,
heroik,heroik,,,
hidup,iduik,,,
hilang,ilang,,,
hukum,hukum,,,
ikut,ikuik,,,
ilham,ilham,,,
iman,iman,,,
indah,indah,ancak,,
ingat,ingek,takana,,
ingin,ingin,nio,,
interogasi,interogasi,ditanyo-tanyo,,
isi,isi,,,
istimewa,istimewa,anak ameh,,
jahat,jaek,,,
jamin,jamin,,,
jatuh,jatuah,,,
jawab,jawab,,,
jaya,jaya,,,
jelas,jaleh,,,
jelek,buruak,indak ancak,,
jenis,jenis,macam,,
jual,jua,,,
kalah,kalah,,,
kalimat,kalimat,,,
kapal,kapa,,,
karya,karya,,,
kasihan,ibo,,,
kaya,kayo,,,
keadilan,kaadilan,,,
keamanan,kaamanan,,,
kebaikan,kaelokan,,,
kebencian,kabancian,,,
keberanian,kabaranian,,,
kebetulan,kebetulan,,,
kecewa,kecewa,,,
kehancuran,kaancuaan,,,
kehilangan,kahilangan,,,
kejahatan,kajahatan,,,
kejam,kejam,,,
keji,keji,,,
kekayaan,kakayoan,,,
kekerasan,kakarehan,,,
kekuatan,kakuatan,,,
kelaparan,kalitakan,,,
keluar,kalua,,,
kematian,kamatian,,,
kembali,baliak,,,
kena,kanai,,,
kenal,kenal,,,
kenyamanan,kanyamanan,,,
kepentingan,kapantiangan,,,
keras,kareh,,,
keren,ancak,keren,,
kerugian,karugian,,,
kerusakan,karusakan,,,
kesalahan,kasalahan,,,
kesan,kasan,,,
kesempatan,kasempatan,,,
kesepian,kasepian,,,
kesulitan,kasulikan,kapayahan,,
ketakutan,katakuikan,,,
ketat,ketat,,,
ketegangan,katagangan,,,
kompak,kompak,,,
konflik,konflik,,,
konspirasi,konspirasi,,,
korban,korban,,,
korban jiwa,korban jiwa,,,
kosong,kosong,,,
kotor,kumuah,,,
kuat,kuaik,,,
kurang,kurang,,,
kutuk,kutuk,,,
kutukan,kutukan,,,
langgar,langga,,,
larang,larang,,,
larangan,larangan,,,
lawan,lawan,,,
layak,layak,,,
lebih,labiah,,,
lebih baik,labiah elok,labiah baiak,,
lembut,lambuik,,,
lengkap,langkok,,,
lenyap,lanyok,,,
lewat,lewat,,,
lihat,caliak,liek,,
lmao,lmao,,,
luar biasa,luar biasa,paten,,
lucu,lucu,,,
luka,luko,,,
lupa,lupo,,,
maaf,maaf,,,
mahal,maha,,,
mampu,mampu,talok,,
marah,berang,,,
masalah,masalah,,,
mati,mati,,,
mayat,mayik,,,
melakukan,mangarajoan,,,
melanggar,malangga,,,
melemahkan,malamahan,,,
melindungi,malinduangi,,,
melumpuhkan,malumpuahan,,,
memastikan,mamastian,,,
membahayakan,mambahayoan,,,
membantu,manolong,,,
membatalkan,mambataan,,,
membenci,mambanci,,,
membuka,mambukak,,,
membunuh,mambunuah,,,
memerangi,mamarangi,,,
mempertanyakan,mampatanyoan,,,
memuji,mamuji,,,
menahan,manahan,,,
menanti,mananti,,,
menarik,manarik,,,
mencurigakan,mancurigaan,,,
mendapatkan,mandapekan,,,
menderita,sansaro,,,
mendoktrin,mandoktrin,,,
mendorong,mandorong,,,
mendukung,mandukuang,,,
mendung,kalam,galok,,
menembak,manembak,,,
menerima,manarimo,,,
mengakui,maakui,,,
mengamankan,maamanan,,,
mengeluarkan,mangaluaan,,,
mengembalikan,mambaliakan,,,
mengerikan,mangarian,,,
menghancurkan,maancuaan,,,
menghargai,maharagoi,,,
menghindari,maindai,,,
mengusir,mausia,,,
mengutuk,mangutuak,,,
meninggal,maningga,,,
meningkatkan,maningkekan,,,
menolak,manolak,,,
menunggu,manunggu,,,
menurunkan,manurunan,,,
menyadari,manyadari,,,
menyalahkan,manyalahan,,,
menyambut,manyambuik,,,
menyebabkan,manyebaban,,,
menyerang,manyarang,,,
menyeret,manyeret,mairik,,
menyesatkan,manyesetan,,,
menyita,manyita,,,
meragukan,maraguan,,,
meruntuhkan,maruntuahan,,,
minta,mintak,,,
minta maaf,mintak maaf,,,
miskin,miskin,,,
moga,untuang-untuang,,,
muda,mudo,,,
mudah,mudah,,,
muka,muko,,,
mulia,mulia,,,
mundur,mundur,,,
murah,murah,,,
murka,marabo,murka,,
musuh,musuah,,,
nanti,beko,,,
nekat,nekat,,,
neraka,narako,,,
ngeri,ngeri,,,
ngerti,ngarati,,,
nilai,nilai,,,
oke,oke,,,
oleh,dek,,,
orang bodoh,urang pandia,,,
pada,pado,wakatu,waktu,
padat,padek,,,
pahlawan,pahlawan,,,
palsu,palsu,,,
panas,paneh,angek,,
panik,panik,,,
panjang,panjang,,,
pantat,ikua,,,
parodi,parodi,lawak-lawak,,
pasti,pasti,,,
pecah,pacah,,,
peduli,paduli,,,
pelaku,palaku,,,
pelaku kejahatan,palaku kajahatan,,,
pembela,pambela,,,
pemberani,pambarani,,,
pemberontakan,pambarontakan,,,
penangkapan,panangkokan,,,
pendukung,pandukuang,,,
penembakan,panembakan,,,
pengecut,pangacuik,,,
pengunjung,pangunjuang,,,
penjara,panjaro,,,
penting,pantiang,,,
penuh,panuah,,,
penularan,panularan,,,
penyelamat,panyalamat,,,
penyelidikan,panyalidikan,,,
perampok,parampok,,,
perang,parang,,,
perasaan,parasaan,,,
percaya,picayo,,,
perdamaian,padamaian,,,
peringatan,paringatan,,,
perjuangan,pajuangan,,,
pertanyaan,pertanyaan,,,
pertempuran,patampuran,,,
pikir,pikia,,,
pintar,santiang,,,
