abu,kawu,,,,,,,,,
adopsi,maangkat,mangkat,,,,,,,,
aduh,akay,akuy,kayah,,,,,,,
aktif,gerek,hagerek,,,,,,,,
aku,aku,ku,,,,,,,,
alam,alam,dunia,,,,,,,,
alasan,alasan,,,,,,,,,
aman,aman,,,,,,,,,
amat,tutu,bujur,,,,,,,,
ambil,duan,,,,,,,,,
ancam,,,,,,,,,,
ancaman,,,,,,,,,,
aneh,,,,,,,,,,
anehnya,,,,,,,,,,
anggun,,,,,,,,,,
anti,,,,,,,,,,
antisipasi,,,,,,,,,,
api,apuy,,,,,,,,,
apresiasi,merega,,,,,,,,,
asing,,,,,,,,,,
asyik,,,,,,,,,,
badass,,,,,,,,,,
bagi,,,,,,,,,,
bagus,bahalap,,,,,,,,,
bahagia,sanang,,,,,,,,,
bahaya,,,,,,,,,,
baik,bejenta,,,,,,,,,
ban,,,,,,,,,,
bangga,,,,,,,,,,
bantu,duhup,,,,,,,,,
batal,balang,,,,,,,,,
batas,,,,,,,,,,
bebas,,,,,,,,,,
beberapa,pire-pire,,,,,,,,,
bela,hakabela,,,,,,,,,
belakang,likut,,,,,,,,,
benar,bujur,,,,,,,,,
bencana,,,,,,,,,,
benci,benci,,,,,,,,,
berani,bahanyi,,,,,,,,,
berarti,berima,,,,,,,,,
berat,behat,ehat,,,,,,,,
berbahaya,bebahaya,,,,,,,,,
berdarah,bedaha,,,,,,,,,
berdoa,bedoa,,,,,,,,,
berduka,beduka,,,,,,,,,
berguna,baguna,,,,,,,,,
berhak,puna hak,,,,,,,,,
berharap,beharap,,,,,,,,,
beri,nenga,,,,,,,,,
berkomitmen,bejanji,,,,,,,,,
berlebihan,belabihan,,,,,,,,,
bermanfaat,beguna,,,,,,,,,
bersaing,besaing,,,,,,,,,
bersama,hayak,,,,,,,,,
bersedih,besedih,,,,,,,,,
bersembunyi,nyehukan,,,,,,,,,
bersorak,besorak,,,,,,,,,
besar,hai,,,,,,,,,
biadab,jatunti hadat,,,,,,,,,
biaya,ongkos,,,,,,,,,
bingung,hengan,,,,,,,,,
bodoh,mameh,humung,kepaleng,bungul,,,,,,
bohong,nenjaru,,,,,,,,,
bom,bom,,,,,,,,,
buka,mukei,,,,,,,,,
bunga,kambang,,,,,,,,,
bungkam,benyem,,,,,,,,,
bunuh,munu,,,,,,,,,
bunuh diri,munu arep,,,,,,,,,
buruk,papa,,,,,,,,,
buta,bebute,,,,,,,,,
cantik,bungas,,,,,,,,,
capai,dinun,supa,,,,,,,,
cari,gau,,,,,,,,,
cedera,,,,,,,,,,
cegah,,,,,,,,,,
cemas,,,,,,,,,,
cepat,capat,,,,,,,,,
cerdas,pintar,,,,,,,,,
cinta,sinta,,,,,,,,,
cium,nyingut,,,,,,,,,
cocok,pas,,,,,,,,,
copet,penakau,,,,,,,,,
damai,damai,,,,,,,,,
dapat,dinun,,,,,,,,,
daya,daya,,,,,,,,,
diabaikan,nelua,,,,,,,,,
diam,benyem tunis,,,,,,,,,
diancam,,,,,,,,,,
dibersihkan,irasih,,,,,,,,,
dicuri,inakau,,,,,,,,,
dihukum,,,,,,,,,,
dikalahkan,,,,,,,,,,
dipercaya,,,,,,,,,,
dipermalukan,impahawen,,,,,,,,,
dipertanyakan,,,,,,,,,,
diprovokasi,,,,,,,,,,
disebut-sebut,inyewut-nyewut,,,,,,,,,
ditakuti,impikeh,,,,,,,,,
ditangkap,inekap,,,,,,,,,
diteror,ineror,,,,,,,,,
ditinggalkan,ilihi,,,,,,,,,
ditingkatkan,,,,,,,,,,
dituduh,,,,,,,,,,
ditunda,inunda,,,,,,,,,
doa,doa,,,,,,,,,
doktrin,,,,,,,,,,
duka,,,,,,,,,,
dukung,,,,,,,,,,
dukungan,,,,,,,,,,
efektif,,,,,,,,,,
eksklusif,,,,,,,,,,
empati,umba angat,,,,,,,,,
fitnah,,,,,,,,,,
fokus,,,,,,,,,,
gagah,segah,,,,,,,,,
gagal,,,,,,,,,,
gampang,mudah,,,,,,,,,
ganggu,ngeraen,,,,,,,,,
gaya,,,,,,,,,,
gelap,kaput,,,,,,,,,
gentar,,,,,,,,,,
gertak,,,,,,,,,,
