abu,abu,hawu,,,,,,,,
adopsi,adopsi,,,,,,,,,
aduh,adeuh,alah,euleuh,,,,,,,
aktif,aktif,mincrak,,,,,,,,
aku,abdi ,kuring,urang,aing,,,,,,
alam,alam,,,,,,,,,
alasan,alesan,,,,,,,,,
aman,aman,,,,,,,,,
amat,pisan,meuni,,,,,,,,
ambil,candak,cokot,gadag,,,,,,,
ancam,ancem,,,,,,,,,
ancaman,anceman,,,,,,,,,
aneh,aneh,aheng,,,,,,,,
anehnya,anehna,ahengna,,,,,,,,
anggun,geulis,sae,alus,,,,,,,
anti,anti,,,,,,,,,
antisipasi,antisipasi,,,,,,,,,
api,seuneu,,,,,,,,,
apresiasi,ngahargaan,,,,,,,,,
asing,asing,sejen,,,,,,,,
asyik,pogot,uplek,,,,,,,,
badass,sae,ajib,,,,,,,,
bagi,kanggo,jang,,,,,,,,
bagus,sae,alus,hade,,,,,,,
bahagia,seneng,bungah,atoh,,,,,,,
bahaya,bahaya,cilaka,,,,,,,,
baik,sae,bageur,,,,,,,,
ban,ban,,,,,,,,,
bangga,reueus,agul,,,,,,,,
bantu,banteun,bantos,,,,,,,,
batal,bedo,bolay,,,,,,,,
batas,wates,,,,,,,,,
bebas,bebas,leupas,,,,,,,,
beberapa,babaraha,,,,,,,,,
bela,bela,,,,,,,,,
belakang,pengker,tukang,,,,,,,,
benar,leres,bener,ecreug,baleg,,,,,,
bencana,musibah,bala,,,,,,,,
benci,ijid,ceuceub,,,,,,,,
berani,wantun,wani,ludeung,,,,,,,
berarti,hartina,hartosna,,,,,,,,
berat,abot,beurat,,,,,,,,
berbahaya,ngabahayakeun,ngacilakakeun,,,,,,,,
berdarah,getihan,,,,,,,,,
berdoa,ngadu'a,,,,,,,,,
berduka,hanjelu,,,,,,,,,
berguna,guna,,,,,,,,,
berhak,berhak,,,,,,,,,
berharap,ngaharepkeun,,,,,,,,,
beri,pasih,bere,,,,,,,,
berkomitmen,ngomitmen,,,,,,,,,
berlebihan,leuleuwihan,,,,,,,,,
bermanfaat,mangpaat,,,,,,,,,
bersaing,saingan,,,,,,,,,
bersama,sareng,bareng,,,,,,,,
bersedih,hanjelu,,,,,,,,,
bersembunyi,nyumput,,,,,,,,,
bersorak,ngagorowok,nyurakan,,,,,,,,
besar,ageung,gede,badag,,,,,,,
biadab,biadab,telenges,,,,,,,,
biaya,biaya,waragad,,,,,,,,
bingung,bingung,talimbeng,,,,,,,,
bodoh,bodo,belet,,,,,,,,
bohong,wadul,debul,waduk,,,,,,,
bom,bom,,,,,,,,,
buka,buka,muka,,,,,,,,
bunga,kembang,,,,,,,,,
bungkam,bungkem,balem,,,,,,,,
bunuh,paehan,,,,,,,,,
bunuh diri,maehan sorangan,,,,,,,,,
buruk,awon,butut,goreng,,,,,,,
buta,lolong,,,,,,,,,
cantik,geulis,ayu,sae,,,,,,,
capai,hontal,,,,,,,,,
cari,pilari,teang,siar,,,,,,,
cedera,luka,geuring,,,,,,,,
cegah,cegah,pahing,,,,,,,,
cemas,hariwang,ringrang,,,,,,,,
cepat,enggal,gancang,,,,,,,,
cerdas,calakan,,,,,,,,,
cinta,geugeut,tresna,bogoh,,,,,,,
cium,cium,ambeu,,,,,,,,
cocok,cocog,,,,,,,,,
copet,copet,,,,,,,,,
damai,damai,tengtrem,,,,,,,,
dapat,menang,,,,,,,,,
daya,walakaya,,,,,,,,,
diabaikan,diantepkeun,,,,,,,,,
diam,cicing,jedog,,,,,,,,
diancam,diancem,,,,,,,,,
dibersihkan,diberesihkeun,,,,,,,,,
dicuri,dicolong,dipadog,dipaok,,,,,,,
dihukum,dihukum,,,,,,,,,
dikalahkan,dielehkeun,dikawonkeun,,,,,,,,
dipercaya,dipercanten,,,,,,,,,
dipermalukan,dieera,,,,,,,,,
dipertanyakan,dipertaroskeun,,,,,,,,,
diprovokasi,diwisuna,,,,,,,,,
disebut-sebut,dicarioskeun,,,,,,,,,
ditakuti,disieunan,,,,,,,,,
ditangkap,ditewak,,,,,,,,,
diteror,diteror,,,,,,,,,
ditinggalkan,ditinggalkeun,,,,,,,,,
ditingkatkan,dironjatkeun,,,,,,,,,
dituduh,dituduh,,,,,,,,,
ditunda,ditunda,,,,,,,,,
doa,du'a,,,,,,,,,
doktrin,doktrin,,,,,,,,,
duka,sedih ,hanjelu,,,,,,,,
dukung,dukung,rojong,,,,,,,,
dukungan,dukungan,rojongan,,,,,,,,
efektif,efektif,tokcer,,,,,,,,
eksklusif,khusus,,,,,,,,,
empati,empati,,,,,,,,,
fitnah,jerum,,,,,,,,,
fokus,fokus,,,,,,,,,
gagah,gagah,digjaya,mandraguna,,,,,,,
gagal,bedo,bolay,,,,,,,,
gampang,gampang,gampil,,,,,,,,
ganggu,ganggu,open,,,,,,,,
gaya,gaya,ceta,,,,,,,,
gelap,poek,,,,,,,,,
gentar,giler,,,,,,,,,
gertak,nyentak,,,,,,,,,
gila,gelo,burung,,,,,,,,
guncang,eundeur,endag,,,,,,,,
guncangan,eundeuran,endagan,,,,,,,,
ha,ha,,,,,,,,,
habis,seep,beak,ledis,,,,,,,
hal,perkawis,ihwal,,,,,,,,
hancur,ancur,,,,,,,,,
hantu,jurig,demit,,,,,,,,
harapan,harepan,,,,,,,,,
harga,pangaos,,,,,,,,,
harta,harta,,,,,,,,,
hasil,hasil,,,,,,,,,
hati,hate,ati,,,,,,,,
hati-hati,ati-ati,,,,,,,,,
hebat,hebat,dahsyat,hade,,,,,,,
heboh,heboh,geger,,,,,,,,
heroik,heroik,,,,,,,,,
hidup,hirup,,,,,,,,,
hilang,leungit,lapur,,,,,,,,
hukum,hukum,,,,,,,,,
ikut,milu,ngiring,,,,,,,,
ilham,ilham,,,,,,,,,
iman,iman,,,,,,,,,
indah,endah,,,,,,,,,
ingat,emut,inget,,,,,,,,
ingin,hoyong,hayang,bade,arek,,,,,,
interogasi,tarosan,,,,,,,,,
isi,eusi,,,,,,,,,
istimewa,istimiwa,,,,,,,,,
jahat,jahat,durjana,,,,,,,,
jamin,tandon,,,,,,,,,
jatuh,geubis,murag,labuh,,,,,,,
jawab,waler,tembal,,,,,,,,
jaya,jaya,,,,,,,,,
jelas,jentre,,,,,,,,,
jelek,awon,butut,goreng,,,,,,,
jenis,rupi,,,,,,,,,
jual,ical,,,,,,,,,
kalah,eleh,kawon,,,,,,,,
kalimat,kalimah,,,,,,,,,
kapal,kapal,,,,,,,,,
karya,karya,,,,,,,,,
kasihan,karunya,,,,,,,,,
kaya,beunghar,,,,,,,,,
keadilan,kaadilan,,,,,,,,,
keamanan,kaamanan,,,,,,,,,
kebaikan,kaalusan,,,,,,,,,
kebencian,kaceuceuban,,,,,,,,,
keberanian,kawani,kawantun,,,,,,,,
kebetulan,kaleureusan,,,,,,,,,
kecewa,kuciwa,,,,,,,,,
kehancuran,kaancuran,,,,,,,,,
kehilangan,kaleungitan,kalapuran,,,,,,,,
kejahatan,kajahatan,,,,,,,,,
kejam,telenges,,,,,,,,,
keji,telenges,,,,,,,,,
kekayaan,kabeungharan,,,,,,,,,
kekerasan,kakerasan,,,,,,,,,
kekuatan,kakiatan,,,,,,,,,
kelaparan,kalaparan,,,,,,,,,
keluar,kaluar,,,,,,,,,
kematian,pupus,maot,,,,,,,,
kembali,balik,mulih,,,,,,,,
kena,beunang,,,,,,,,,
kenal,wawuh,apal,,,,,,,,
kenyamanan,kamerenahan,,,,,,,,,
kepentingan,kapentingan,,,,,,,,,
keras,teuas,heuras,,,,,,,,
keren,sae,alus,ajib,,,,,,,
kerugian,karugelan,,,,,,,,,
kerusakan,karuksakan,karajetan,,,,,,,,
kesalahan,kalepatan,,,,,,,,,
kesan,kesan,,,,,,,,,
kesempatan,kasempetan,,,,,,,,,
kesepian,tiiseun,,,,,,,,,
kesulitan,kahese,kasesahan,,,,,,,,
ketakutan,kasieunan,,,,,,,,,
ketat,heureut,,,,,,,,,
