abu,abu,,,,,,,,,
adopsi,adopsi,,,,,,,,,
aduh,agoh,,,,,,,,,
aktif,aktif,,,,,,,,,
aku,ahu,,,,,,,,,
alam,alam,,,,,,,,,
alasan,sidalian,,,,,,,,,
aman,aman,,,,,,,,,
amat,hian,,,,,,,,,
ambil,buat,,,,,,,,,
ancam,ancam,,,,,,,,,
ancaman,ancaman,,,,,,,,,
aneh,asing,,,,,,,,,
anehnya,asingnai,,,,,,,,,
anggun,uli,,,,,,,,,
anti,alo,,,,,,,,,
antisipasi,tagam,,,,,,,,,
api,api,,,,,,,,,
apresiasi,pujian,,,,,,,,,
asing,asing,,,,,,,,,
asyik,tabo,,,,,,,,,
badass,mantap,,,,,,,,,
bagi,bagi,,,,,,,,,
bagus,denggan,,,,,,,,,
bahagia,bahagia,,,,,,,,,
bahaya,mara,,,,,,,,,
baik,burju,,,,,,,,,
ban,ban,,,,,,,,,
bangga,bangga,,,,,,,,,
bantu,urupi,,,,,,,,,
batal,sundat,dang jadi,,,,,,,,
batas,batas,,,,,,,,,
bebas,lomo,,,,,,,,,
beberapa,piga-piga,,,,,,,,,
bela,ampini,,,,,,,,,
belakang,pudi,,,,,,,,,
benar,tingkos,sintong,,,,,,,,
bencana,sorimago,,,,,,,,,
benci,sogo roha,,,,,,,,,
berani,barani,garang,,,,,,,,
berarti,mararti,,,,,,,,,
berat,borat,,,,,,,,,
berbahaya,marmara,,,,,,,,,
berdarah,marmudar,,,,,,,,,
berdoa,martangiang,,,,,,,,,
berduka,marhobot ni roha,,,,,,,,,
berguna,marguna,,,,,,,,,
berhak,marhak,,,,,,,,,
berharap,manghirim,,,,,,,,,
beri,lehon,,,,,,,,,
berkomitmen,markomitmen,,,,,,,,,
berlebihan,marlobian,,,,,,,,,
bermanfaat,marpangke,,,,,,,,,
bersaing,marsaing,,,,,,,,,
bersama,rap,,,,,,,,,
bersedih,marlungun roha,,,,,,,,,
bersembunyi,martabuni,,,,,,,,,
bersorak,marsorak,,,,,,,,,
besar,balga,,,,,,,,,
biadab,biadap,,,,,,,,,
biaya,biaya,,,,,,,,,
bingung,momar,,,,,,,,,
bodoh,oto,,,,,,,,,
bohong,margabus,,,,,,,,,
bom,bom,,,,,,,,,
buka,buka,,,,,,,,,
bunga,bunga,,,,,,,,,
bungkam,tutup,,,,,,,,,
bunuh,pamate,,,,,,,,,
bunuh diri,maningkot,,,,,,,,,
buruk,buruk,,,,,,,,,
buta,mapitung,,,,,,,,,
cantik,bagak,,,,,,,,,
capai,sahat,,,,,,,,,
cari,lului,diori,,,,,,,,
cedera,cedera,,,,,,,,,
cegah,sundati,,,,,,,,,
cemas,cemas,,,,,,,,,
cepat,hatop,ligat,,,,,,,,
cerdas,malo,pistar,,,,,,,,
cinta,holong,,,,,,,,,
cium,umma,,,,,,,,,
cocok,cocok,,,,,,,,,
copet,copet,,,,,,,,,
damai,dame,,,,,,,,,
dapat,dapot,,,,,,,,,
daya,gogo,,,,,,,,,
diabaikan,dipasombu,,,,,,,,,
diam,sip,,,,,,,,,
diancam,diancam,,,,,,,,,
dibersihkan,dipaias,,,,,,,,,
dicuri,ditangko,,,,,,,,,
dihukum,dihukum,,,,,,,,,
dikalahkan,dipatalu,,,,,,,,,
dipercaya,dihaporseai,,,,,,,,,
dipermalukan,dipaila,,,,,,,,,
dipertanyakan,disungkun-sungkun,,,,,,,,,
diprovokasi,dipabada-bada,,,,,,,,,
disebut-sebut,didokhon-dokhon,,,,,,,,,
ditakuti,dihabiari,,,,,,,,,
ditangkap,ditangkup,,,,,,,,,
diteror,diteror,,,,,,,,,
ditinggalkan,ditinggalhon,,,,,,,,,
ditingkatkan,ditingkathon,,,,,,,,,
dituduh,ditudu,,,,,,,,,
ditunda,disundati,,,,,,,,,
doa,tangiang,,,,,,,,,
doktrin,doktrin,,,,,,,,,
duka,hobot,,,,,,,,,
dukung,dukung,,,,,,,,,
dukungan,dukungan,,,,,,,,,
efektif,efektif,,,,,,,,,
eksklusif,aksklusif,,,,,,,,,
empati,marroha,,,,,,,,,
fitnah,fitna,,,,,,,,,
fokus,fokus,,,,,,,,,
gagah,gagah,,,,,,,,,
gagal,gagal,,,,,,,,,
gampang,gampang,,,,,,,,,
ganggu,ganggu,,,,,,,,,
gaya,gaya,,,,,,,,,
gelap,golap,,,,,,,,,
gentar,mabiar,,,,,,,,,
gertak,ordit,,,,,,,,,
gila,rintik,,,,,,,,,
guncang,hutur,,,,,,,,,
guncangan,guncangan,,,,,,,,,
ha,ha,,,,,,,,,
habis,habis,suda,job,,,,,,,
hal,hal,,,,,,,,,
hancur,sega,,,,,,,,,
hantu,begu,,,,,,,,,
harapan,hiriman,,,,,,,,,
harga,arga,,,,,,,,,
harta,arta,,,,,,,,,
hasil,parbue,,,,,,,,,
hati,ate-ate,,,,,,,,,
hati-hati,manat-manat,,,,,,,,,
hebat,hebat,,,,,,,,,
heboh,heboh,,,,,,,,,
heroik,heroik,,,,,,,,,
hidup,ngolu,,,,,,,,,
hilang,mago,,,,,,,,,
hukum,uhum,,,,,,,,,
ikut,dohot,ihut,,,,,,,,
ilham,ilham,,,,,,,,,
iman,haporseaon,,,,,,,,,
indah,bagak,,,,,,,,,
ingat,ingot,,,,,,,,,
ingin,naeng,,,,,,,,,
interogasi,manukkuni,,,,,,,,,
isi,isi,,,,,,,,,
istimewa,istimewa,,,,,,,,,
jahat,jungkat,,,,,,,,,
jamin,jamin,,,,,,,,,
jatuh,dabu,,,,,,,,,
jawab,alus,,,,,,,,,
jaya,jaya,,,,,,,,,
jelas,jelas,,,,,,,,,
jelek,roa,,,,,,,,,
jenis,ragam,,,,,,,,,
jual,gadis,,,,,,,,,
kalah,talu,,,,,,,,,
kalimat,kalimat,,,,,,,,,
kapal,kapal,,,,,,,,,
karya,karya,,,,,,,,,
kasihan,asi roha,,,,,,,,,
kaya,mora,,,,,,,,,
keadilan,haadilon,,,,,,,,,
keamanan,haamanon,,,,,,,,,
kebaikan,haburjuon,,,,,,,,,
kebencian,hasosogo ni roha,,,,,,,,,
keberanian,hagarangon,,,,,,,,,
kebetulan,tarsor,,,,,,,,,
kecewa,marsak,,,,,,,,,
kehancuran,hasesega,,,,,,,,,
kehilangan,hamagoan,,,,,,,,,
kejahatan,hajahaton,hajukkaton,,,,,,,,
kejam,kejam,,,,,,,,,
keji,keji,,,,,,,,,
kekayaan,hamoraon,,,,,,,,,
kekerasan,kekerasan,,,,,,,,,
kekuatan,hagogoon,,,,,,,,,
kelaparan,kelaparan,,,,,,,,,
keluar,kaluar,,,,,,,,,
kematian,hamamate,,,,,,,,,
kembali,mulak,,,,,,,,,
kena,hona,,,,,,,,,
kenal,tanda,,,,,,,,,
kenyamanan,haamanon,,,,,,,,,
kepentingan,haporluan,,,,,,,,,
keras,karas,,,,,,,,,
keren,keren,,,,,,,,,
kerugian,harugian,,,,,,,,,
kerusakan,hasesega,,,,,,,,,
kesalahan,hasalaan,,,,,,,,,
kesan,siingoton,,,,,,,,,
kesempatan,kesempatan,,,,,,,,,
kesepian,lungunan,,,,,,,,,
kesulitan,hasusaan,,,,,,,,,
ketakutan,mabiar,,,,,,,,,
ketat,ketat,,,,,,,,,
ketegangan,hategangon,,,,,,,,,
kompak,kompak,,,,,,,,,
konflik,paraloan,parbadaan,,,,,,,,
konspirasi,konspirasi,,,,,,,,,
korban,korban,,,,,,,,,
korban jiwa,korban jiwa,,,,,,,,,
kosong,kosong,,,,,,,,,
kotor,rotak,dorsum,,,,,,,,
kuat,gogo,,,,,,,,,
kurang,hurang,,,,,,,,,
kutuk,kutuk,,,,,,,,,
kutukan,kutukan,,,,,,,,,
langgar,langgar,,,,,,,,,
larang,orai,,,,,,,,,
larangan,naso siulaon,,,,,,,,,
lawan,alo,,,,,,,,,
layak,layak,,,,,,,,,
lebih,lobi,,,,,,,,,
lebih baik,dumenggan,,,,,,,,,
lembut,lambok,,,,,,,,,
lengkap,lengkap,,,,,,,,,
lenyap,lenyap,,,,,,,,,
lewat,lewat,,,,,,,,,
lihat,ida,,,,,,,,,
lmao,,,,,,,,,,
luar biasa,luar biasa,,,,,,,,,
lucu,lucu,,,,,,,,,
luka,luka,,,,,,,,,
lupa,lupa,,,,,,,,,
maaf,maaf,,,,,,,,,
mahal,arga,,,,,,,,,
mampu,boi,,,,,,,,,
marah,muruk,,,,,,,,,
masalah,masala,,,,,,,,,
mati,mate,,,,,,,,,
mayat,bangke,,,,,,,,,
melakukan,mangulahon,,,,,,,,,
melanggar,mangalanggar,,,,,,,,,
melemahkan,pagalehon,,,,,,,,,
melindungi,mangalindungi,,,,,,,,,
melumpuhkan,palumpuhon,,,,,,,,,
memastikan,mamastihon,,,,,,,,,
membahayakan,mambahayahon,,,,,,,,,
