,source,target
0,abu,sirabun
1,air,aek
2,akar,urat
3,aku,ahu
4,anak,dakdanak
5,anda,hamu
6,angin,alogo
7,anjiN,biaN
8,anjing,asu
9,anjiŋ,asu
10,anZiN,biaN
11,apa,aha
12,api,api
13,asap,timus
14,atap,tarup
15,awan,obbun
16,ayah,amaŋ
17,aŋin,alogo
18,bagaimana,boha
19,bagus,deŋgan
20,bahasa Batak Toba,Hata Batak
21,bahu,abara
22,baik,deŋgan
23,bapak,amaŋ
24,baru,ibbaru
25,basah,bornok
26,batu,batu
27,bekerja,markarejo
28,belakaŋ,taŋguruŋ
29,belok,gelok
30,bélok,gelok
31,belulaN,hulikuliN
32,benar,sittoŋ
33,berat,borat
34,berbaring,gále-gále
35,berbariŋ,gále-gále
36,berbicara,marhata
37,berburu,marburu
38,berdiri,joŋjoŋ
39,berenang,marlaŋe
40,berenaŋ,marlaŋe
41,berfikir,marpikkir
42,berjalan,mardalan
43,berkata,marhata
44,bermimpi,marnipi
45,bernafas,marhosa
46,bernapas,marhosa
47,bersembunyi,martabuni
48,bertiup,maŋullus
49,besar,balga
50,bila,add|igan
51,bintaN,bitaN
52,bintang,bittaŋ
53,bintaŋ,bittaŋ
54,buah,parbue
55,buah-buahan,parbue
56,buah dada,susu
57,bukan,daoŋ
58,bulan,bulan
59,bulu,abbulu
60,bunda,inang
61,bunga,bunga
62,burung,pidoŋ
63,buruŋ,pidoŋ
64,busuk,busuk
65,buŋa,bunga
66,cacing,panahit
67,caciŋ,panahit
68,dada,susu
69,daging,sibuk
70,dagiŋ,sibuk
71,dahan,dakka
72,dan,dohot
73,danau,tao
74,darah,mudar
75,dataN,ro
76,datang,ro
77,dataŋ,ro
78,daun,buluŋ
79,debu,orbuk
80,dekat,jonok
81,delapan,uwalu
82,di,di
83,[d]ia,ibana
84,dia,ibana
85,[di] atas,di gijjaŋ
86,di atas,di gijjaŋ
87,di bawah,di toru
88,[di] dalam,di bagasan
89,di dalam,di bagasan
90,di mana,di dia
91,dimana,di dia
92,dingin,ŋali
93,diŋin,ŋali
94,dua,dua
95,duan,buluN
96,duduk,huddul
97,ekor,ihur
98,ékor,ihur
99,emak,inang
100,empat,opat
101,enam,onom
102,eŋkau,hamu
103,garam,sira
104,gemuruh,roŋgur
105,gigi,ŋiŋi
106,gigit,makkarat
107,guntur,roŋgur
108,hari,ari
109,hati,ate-ate
110,hiduN,iguN
111,hidung,iguŋ
112,hidup,maŋolu
113,hiduŋ,iguŋ
114,hijau,rata-rata
115,hitam,biroŋ
116,hujan,udan
117,hutan,rabba
118,ibu,inang
119,ibunda,inang
120,ikan,ihan
121,ikut,ro
122,ini,on
123,%insan,halak
124,isi perut,usus
125,isteri,tuŋganiboru
126,itu,i
127,jahat,jahat
128,jalaN,dalan
129,jalan,dalan
130,jarum,jarum
131,jatuh,madabu
132,jauh,dao
133,kabut,hobot
134,kaki,pat
135,kalau,molo
136,kalian,hamu saluhut
137,kami,hita
138,kamu,hamu
139,kanan,sihamun
140,kapan,add|igan
141,kayu,hau
142,kecil,gėlleŋ
143,kepala,ulu
144,kering,mahiaŋ
145,keriŋ,mahiaŋ
146,ketawa,mekkel
147,kilat,hilap
148,kiri,sihambiraŋi
149,kita,hita
150,kotor,rotak
151,kulit,hulikkuliŋ
152,kuning,gorsiŋ
153,kuniŋ,gorsiŋ
154,%kupiN,piNg~ol
155,kupiŋ,piŋgol
156,kutu,hutu
157,laba-laba,tabbaŋ-rabbaŋ
158,lain,asiŋ
159,laki-laki,baoa
160,lama,toras
161,lambuŋ,usus
162,langit,laŋ..it
163,laut,laut
164,laŋit,laŋ..it
165,lebar,bidaŋ
166,lébar,bidaŋ
167,leher,rukkuŋ
168,léhér,rukkuŋ
169,lemak,tabo-tabo
170,lidah,dila
171,lihat,mamereN
172,lima,lima
173,luas,bidaŋ
174,makan,maŋan
175,malam,bȯrŋin
176,malu,maila
177,mangunyah,makkilhil
178,mata,mata
179,mati,mate
180,melempar,maddaŋgurhon
181,melémparkan,maddaŋgurhon
182,melihat,mamereŋ
183,meludah,marsitijur
184,meludahi,marsitijur
185,memanjat,nakkok
186,memasak,maŋaloppa
187,membakar,manutuŋ
188,membelah,mabbola
189,membeli,manuhor
190,membengkak,marbokkak
191,membeŋkak,marbokkak
192,membuka,mabbukka
193,membunuh,mabbunu
194,memegang,maniop
195,memegaŋ,maniop
196,memeras,mamoro
197,memikir,marpikkir
198,memilih,mamillit
199,memotong,mamotoŋ
200,memotoŋ,mamotoŋ
201,memukul,madduda
202,menanam,manuan
203,menangis,taŋis
204,menaŋis,taŋis
205,mencium,maŋaŋgo
206,mencuri,manakko
207,mendaki,nakkok
208,mendataŋ,ro
209,mendataŋi,ro
210,mendekati,ro
211,mendeNar,mabege
212,mendengar,mabbege
213,mendeŋar,mabbege
214,menduduk,huddul
215,menembak,manembak
216,menémbak,manembak
217,menetak,mamotoŋ
218,mengalir,mardalan
219,menggali,makkuar
220,menggaruk,makkao
221,menghitung,maŋetoŋ
222,mengikat,makkobet
223,mengisap,maŋoncop
224,menguap,hohoamon
225,menikam,maniham
226,meniup,maŋullus
227,menjahit,maŋjait
228,menumbuk,madduda
229,menusuk,maniham
230,merah,rara
231,mérah,rara
232,mereka,nasida
233,meréka,nasida
234,meremas,mamoro
235,meŋalir,mardalan
236,meŋgarut,makkao
237,meŋgigit,makkarat
238,meŋguap,hohoamon
239,meŋhituŋ,maŋetoŋ
240,meŋikat,makkobet
241,meŋisap,maŋoncop
242,meŋuñah,makkilhil
243,mimpi,marnipi
244,minum,minim
245,mulut,hehe
246,muntah,muta-uta
247,naik,nakkok
248,%nama,goar
249,nama,goar
250,ñamuk,roŋit
251,nen,hita
252,nyamuk,roŋit
253,oraN,halak
254,orang,halak
255,oraŋ,halak
256,panas,law
257,panjang,ganjaŋ
258,panjaŋ,ganjaŋ
259,pasir,rihit
260,%payudara,susu
261,pendek,jeppek
262,péndék,jeppek
263,perempuan,boru-boru
264,perut,butuha
265,punggung,taŋguruŋ
266,putih,bottår
267,rambut,obuk
268,rimba,rabba
269,rumah,bagas
270,rumput,duhut
271,sakit,marsahit
272,satu,sade
273,saudara,hamu
274,saya,ahu
275,sayap,haboŋ
276,sebiji buah,parbue
277,sembilan,sia
278,sembuñi,martabuni
279,sempit,soppit
280,semua,saluhut
281,sepuluh,sampulu
282,serta,ro
283,siapa,ise
284,suami,tuŋganidoli
285,susu,susu
286,tahu,boto
287,tahun,taon
288,tajam,tajóm
289,takut,mabiar
290,tali,tali
291,tanah,tano
292,taNan,taNan
293,tangan,taŋan
294,taŋan,taŋan
295,tebal,hapal
296,teliNa,piNg~ol
297,telinga,piŋgol
298,teliŋa,piŋgol
299,telor,tinaru
300,telur,tinaru
301,terbang,habaŋ
302,terbaŋ,habaŋ
303,tertawa,mekkel
304,tidak,daoŋ
305,tidur,modom
306,tiga,tolu
307,tikus,baguduŋ
308,tipis,nipis
309,tua,toras
310,tujuh,pitu
311,tulaN,holiholi
312,tulang,holi-holi
313,tulaŋ,holi-holi
314,tuma,hutu
315,tumbuh,tubu
316,tumpul,majal
317,ular,ulok
318,urat,urat
319,usus,usus
320,usus besar,usus
321,usus kecil,usus
322,Zalan,dalan
323,zon,ahu
