,source,target
0,abang,raka
1,abu,lebu
2,abu-abu,hawuk
3,Accra,Accra
4,adenosina trifosfat,adénosin trifosfat
5,adenosin trifosfat,adénosin trifosfat
6,adik perempuan,dédé
7,aditif makanan,aditif kadaharan
8,adjektiva,adjéktif
9,Advanced Technology Attachment,Advanced Technology Attachment
10,advokat,advokat
11,aerogel,aérojél
12,Afganistan,Afganistan
13,Afghanistan,Apganistan
14,Afrika,Afrika
15,agama Buddha,agama Buddha
16,Agustus,august
17,aikido,aikido
18,air,cai
19,air terjun,curug
20,akar,akar
21,akselerasi,akselerasi
22,aku,kuring
23,Aku cinta kamu,Abdi bogoh ka anjeun
24,aku cinta kamu,Abdi bogoh ka anjeun
25,Aku cinta kepadamu,Abdi bogoh ka anjeun
26,aku cinta kepadamu,Abdi bogoh ka anjeun
27,Aku cinta padamu,Abdi bogoh ka anjeun
28,aku cinta padamu,Abdi bogoh ka anjeun
29,Aku sayang kamu,Abdi bogoh ka anjeun
30,aku sayang kamu,Abdi bogoh ka anjeun
31,Aku suka sama kamu,Abdi bogoh ka anjeun
32,aku suka sama kamu,Abdi bogoh ka anjeun
33,alam,alam
34,Alam semesta,Jagat
35,alam semesta,jagat
36,Albania,Albania
37,alfabet,alpabét
38,alir,kucur
39,aliterasi,purwakanti
40,Aljazair,Aljazair
41,Aljir,Aljir
42,alkana,alkana
43,Alkitab,Alkitab
44,alkuna,alkuna
45,Allah,Alloh
46,Al-Qur'an,Qur'an
47,aluminium,aluminium
48,alur,kucur
49,Alzheimer,panyakit Alzheimer
50,amin,amen
51,Amsterdam,Amsterdam
52,anai-anai,rinyuh
53,anak,budak
54,anak kunci,sosi
55,anak sungai,susukan
56,anda,maneh
57,Andorra,Andorra
58,anemia,anémia
59,angin,angin
60,angka kenyataan,data
61,angsa,soang
62,anjiN,anjiN
63,anjing,anjing
64,anjing jantan,asu
65,anjiŋ,anjing
66,Antigua dan Barbuda,Antigua at Barbuda
67,antioksidan,antioksidan
68,antonim,antonim
69,anus,bool
70,anZiN,anjiN
71,apa,naon
72,apabila,upami
73,aparatus Golgi,awak Golgi
74,apel,apel
75,api,seuneu
76,April,April
77,apung,ambang
78,Arab Saudi,Saudi Arabia
79,araneo,lancah
80,asam 2-hidroksipropanoat,asam laktat
81,asam aminat,asam aminat
82,asam amino,asam amino
83,asam asetat,asam asétat
84,asam cuka,asam asétat
85,asam deoksiribonukleat,asam déoksiribonukléat
86,asam dokosaheksaenoat,"asam (4Z,7Z,10Z,13Z,16Z,19Z)-dokosahéksaénoat"
87,asam etanoat,asam asétat
88,asam format,asam aminat
89,asam formiat,asam aminat
90,asam formilat,asam aminat
91,asam hidrogen karboksilat,asam aminat
92,asam laktat,asam laktat
93,asam metakarbonoat,asam aminat
94,asam metanakarboksilat,asam asétat
95,asam metanoat,asam aminat
96,asam oksokarbinat,asam aminat
97,asam semut,asam aminat
98,asam susu,asam laktat
99,asap,haseup
100,asetil hidroksida,asam asétat
101,Asia,Asia
102,Asia Selatan,Asia Kidul
103,Asia Tenggara,Asia Tenggara
104,asma,asma
105,astrologi,astrologi
106,astronomi,astronomi
107,atap,hateup
108,atom,atom
109,ATP,adénosin trifosfat
110,aur,awi
111,Australia,Australia
112,awan,awan
113,ayah,bapa
114,ayahanda,rama
115,ayatullah,Ayatollah
116,aŋin,angin
117,babi hutan,bagong
118,babi jantan,bagong
119,badak,badak
120,badan Golgi,awak Golgi
121,bagaimana,kumaha
122,bagus,alus
123,bahan bakar,suluh
124,bahan tambahan makanan,aditif kadaharan
125,baharu,weuteuh
126,bahasa,basa
127,bahasa akkadia,basa Inggris
128,bahasa asing,basa kosta
129,bahasa Cebuano,Cebuano
130,bahasa esti,basa Jepang
131,bahasa indonesia,basa Indonésia
132,Bahasa Inggris,basa Inggris
133,bahasa Inggris,basa Inggris
134,bahasa inggris,basa Inggris
135,bahasa italia,basa itali
136,bahasa jawa,basa Jawa
137,bahasa jepang,basa Jepang
138,bahasa Jerman,basa Jérman
139,bahasa korea,basa Koréa
140,bahasa latin,basa Latin
141,bahasa Melayu,Malayu
142,bahasa pemrograman,basa program
143,bahasa Sansekerta,basa Sangsakerta
144,bahasa Sanskerta,basa Sangsakerta
145,Bahasa Sunda,Basa Sunda
146,bahasa Sunda,basa Sunda
147,bahasa sunda,basa Sunda
148,bahasa swedia,basa Swédia
149,bahasa turki,basa Turki
150,bahu,taktak
151,baik,alus
152,baja,waja
153,bakar,duruk
154,Baku,Baku
155,balet,balet
156,Bali,Bali
157,balsem,duyungson
158,bambu,awi
159,bangkai,layon
160,bangsat,tumbila
161,banjir,caah
162,bank,bank
163,bantal,bantal
164,bantu,bantos
165,banyak,seueur
166,bapa,rama
167,bapak,rama
168,bara,ruhay
169,barat,kulon
170,baring,kedeng
171,baris,gurat
172,baru,anyar
173,basah,baseuh
174,basalt,basalt
175,batik,batik
176,batu,batu
177,batuan beku,batu igneus
178,batuan endapan,batu tamperan
179,batuan metamorf,batu metamorfosis
180,batuan sedimen,batu tamperan
181,batu ginjal,geureugeuseun
182,batu nisan,paésan
183,bawang merah,bawang beureum
184,bebal,béno
185,bebek,meri
186,beberapa,sababaraha
187,Beijing,Beijing
188,bekerja,digawe
189,beku,kimpel
190,belah,beulah
191,belah ketupat,beulahat kupat
192,belakaŋ,tonggong
193,belalang sentadu,congcorang
194,Belanda,Walanda
195,belatung,bilatung
196,belerang,walirang
197,Belgia,Bélgia
198,beliau,maneh-na
199,belok,méngkol
200,bélok,méngkol
201,belulaN,kulit
202,benar,bener
203,bengkak,bareuh
204,bengkok,bingkeng
205,berangkat,angkat
206,berat,beurat
207,berawan,reueuk
208,berbariN,NabohuN
209,berbaring,ngagoler
210,berbariŋ,ngagoler
211,berbicara,ngomong
212,berburu,moro
213,berdebu,belewuk
214,berdiri,adeg
215,berenaN,Nojay
216,berenang,ngojay
217,berenaŋ,ngojay
218,berfikir,mikir
219,beri,pasihan
220,berjalan,leumpang
221,berkata,carios
222,berlumpur,bolokot
223,bermain,ameng
224,bermimpi,ngimpi
225,bernafas,ambekan
226,bernapas,nyeunghap
227,bersembunyi,ñumput
228,bertiup,niup
229,Beruang,Biruang
230,beruang,biruang
231,beruang madu,ontohod
232,besar,badag
233,betina,awewe
234,betul,bener
235,bianglala,katumbiri
236,biawak,bayawak
237,bibi,ébé
238,bibit,siki
239,bicara,carios
240,biji,siki
241,bila,iraha
242,Bilangan bulat,Integer
243,binatang,sato
244,binatang melata,réptil
245,bintaN,bentaN
246,bintang,béntang
247,bintaŋ,bentang
248,biokimia,biokimia
249,biologi,biologi
250,bis,beus
251,bisu,belegug
252,biZi,siki
253,bleng,pijer
254,bodoh,béno
255,bom,bom
256,boraks,pijer
257,botak,butak
258,buah,bubuahan
259,buah-buahan,bubuahan
260,buah dada,susu
261,buah pelir,téstis
262,buaya,buhaya
263,bubur,bubur
264,bukan,henteu
265,bukit,pasir
266,buku,buku
267,Bulan,Bulan
268,bulan,bulan
269,bulat,buleud
270,bulu,bulu
271,buluh,awi
272,Bumi,Marcapada
273,bumi,lemah
274,bunda,biang
275,bundar,bunder
276,bunga,kembang
277,bunglon,londok
278,buntut,buntut
279,bunuh,maéhan
280,bupati,dalem
281,buru,bujeng
282,buruk,goréng
283,buruN,manuk
284,burung,manuk
285,buruŋ,manuk
286,bus,beus
287,busuk,buruk
288,buta warna,lolong warna
289,buŋa,kembang
290,cacing,cacing
